Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
S.sid,24,24-14,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 22,Sample 22_Plate4.csv
S.sid,27,27-5,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 1,Sample 1_Plate5.csv
S.sid,27,27-12,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 2,Sample 2_Plate5.csv
S.sid,27,27-21,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 3,Sample 3_Plate5.csv
S.sid,27,27-45,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 4,Sample 4_Plate5.csv
S.sid,28,28-3,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 5,Sample 5_Plate5.csv
S.sid,28,28-6,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 6,Sample 6_Plate5.csv
S.sid,28,28-9,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 7,Sample 7_Plate5.csv
S.sid,30,30-2,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 8,Sample 8_Plate5.csv
S.sid,30,30-5,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 9,Sample 9_Plate5.csv
S.sid,30,30-9,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 10,Sample 10_Plate5.csv
S.sid,30,30-13,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 11,Sample 11_Plate5.csv
S.sid,20,20-3,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 12,Sample 12_Plate5.csv
S.sid,20,20-11,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 13,Sample 13_Plate5.csv
S.sid,20,20-17,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 14,Sample 14_Plate5.csv
S.sid,20,20-23,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 15,Sample 15_Plate5.csv
S.sid,22,22-6,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 16,Sample 16_Plate5.csv
S.sid,22,22-12,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 17,Sample 17_Plate5.csv
S.sid,22,22-18,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 18,Sample 18_Plate5.csv
S.sid,22,22-25,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 19,Sample 19_Plate5.csv
S.sid,23,23-56,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 20,Sample 20_Plate5.csv
S.sid,23,23-59,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 21,Sample 21_Plate5.csv
S.sid,23,23-63,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate5,Sample 22,Sample 22_Plate5.csv
S.sid,23,23-67,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 1,Sample 1_Plate6.csv
S.sid,24,24-5,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 2,Sample 2_Plate6.csv
S.sid,24,24-11,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 3,Sample 3_Plate6.csv
S.sid,24,24-15,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 4,Sample 4_Plate6.csv
S.sid,27,27-6,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 5,Sample 5_Plate6.csv
S.sid,27,27-18,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 6,Sample 6_Plate6.csv
S.sid,27,27-27,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 7,Sample 7_Plate6.csv
S.sid,27,27-46,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 8,Sample 8_Plate6.csv
S.sid,28,28-4,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 9,Sample 9_Plate6.csv
S.sid,28,28-7,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 10,Sample 10_Plate6.csv
S.sid,28,28-10,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 11,Sample 11_Plate6.csv
S.sid,30,30-3,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 12,Sample 12_Plate6.csv
S.sid,30,30-7,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 13,Sample 13_Plate6.csv
S.sid,30,30-10,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 14,Sample 14_Plate6.csv
S.sid,30,30-14,NP,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/25,"C, D, Ssid",Plate6,Sample 15,Sample 15_Plate6.csv
S.sid,20,20-26,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 16,Sample 16_Plate6.csv
S.sid,20,20-32,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 17,Sample 17_Plate6.csv
S.sid,20,20-38,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 18,Sample 18_Plate6.csv
S.sid,20,20-45,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 19,Sample 19_Plate6.csv
S.sid,22,22-26,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 20,Sample 20_Plate6.csv
S.sid,22,22-32,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 21,Sample 21_Plate6.csv
S.sid,22,22-35,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate6,Sample 22,Sample 22_Plate6.csv
S.sid,22,22-39,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 1,Sample 1_Plate7.csv
S.sid,23,23-68,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 2,Sample 2_Plate7.csv
S.sid,23,23-72,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 3,Sample 3_Plate7.csv
S.sid,23,23-75,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 4,Sample 4_Plate7.csv
S.sid,23,23-79,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 5,Sample 5_Plate7.csv
S.sid,24,24-16,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 6,Sample 6_Plate7.csv
S.sid,24,24-19,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 7,Sample 7_Plate7.csv
S.sid,24,24-23,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 8,Sample 8_Plate7.csv
S.sid,27,27-57,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 9,Sample 9_Plate7.csv
S.sid,27,27-73,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 10,Sample 10_Plate7.csv
S.sid,27,27-85,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 11,Sample 11_Plate7.csv
S.sid,27,27-94,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 12,Sample 12_Plate7.csv
S.sid,28,28-11,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 13,Sample 13_Plate7.csv
S.sid,28,28-15,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 14,Sample 14_Plate7.csv
S.sid,28,28-20,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 15,Sample 15_Plate7.csv
S.sid,28,28-29,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 16,Sample 16_Plate7.csv
S.sid,30,30-15,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 17,Sample 17_Plate7.csv
S.sid,30,30-20,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 18,Sample 18_Plate7.csv
S.sid,30,30-23,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 19,Sample 19_Plate7.csv
S.sid,30,30-26,Control,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 20,Sample 20_Plate7.csv
S.sid,20,20-29,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 21,Sample 21_Plate7.csv
S.sid,20,20-33,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/25,"C, D, Ssid",Plate7,Sample 22,Sample 22_Plate7.csv
S.sid,20,20-39,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 1,Sample 1_Plate8.csv
S.sid,20,20-46,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 2,Sample 2_Plate8.csv
S.sid,22,22-27,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 3,Sample 3_Plate8.csv
S.sid,22,22-33,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 4,Sample 4_Plate8.csv
S.sid,22,22-36,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 5,Sample 5_Plate8.csv
S.sid,22,22-41,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 6,Sample 6_Plate8.csv
S.sid,23,23-70,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 7,Sample 7_Plate8.csv
S.sid,23,23-73,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 8,Sample 8_Plate8.csv
S.sid,23,23-76,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 9,Sample 9_Plate8.csv
S.sid,23,23-80,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 10,Sample 10_Plate8.csv
S.sid,24,24-17,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 11,Sample 11_Plate8.csv
S.sid,24,24-21,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 12,Sample 12_Plate8.csv
S.sid,24,24-24,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 13,Sample 13_Plate8.csv
S.sid,24,24-27,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 14,Sample 14_Plate8.csv
S.sid,27,27-67,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 15,Sample 15_Plate8.csv
S.sid,27,27-75,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 16,Sample 16_Plate8.csv
S.sid,27,27-86,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 17,Sample 17_Plate8.csv
S.sid,27,27-97,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 18,Sample 18_Plate8.csv
S.sid,28,28-13,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 19,Sample 19_Plate8.csv
S.sid,28,28-18,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 20,Sample 20_Plate8.csv
S.sid,28,28-21,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 21,Sample 21_Plate8.csv
S.sid,28,28-30,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate8,Sample 22,Sample 22_Plate8.csv
S.sid,30,30-16,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 1,Sample 1_Plate9.csv
S.sid,30,30-21,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 2,Sample 2_Plate9.csv
S.sid,30,30-24,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 3,Sample 3_Plate9.csv
S.sid,30,30-27,N,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 4,Sample 4_Plate9.csv
S.sid,20,20-30,NP,R2,2017/12/14,2017/12/19,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 5,Sample 5_Plate9.csv
S.sid,20,20-36,NP,R2,2017/12/14,2017/12/20,2017/12/20,2017/12/21,2017/12/22,2018/01/26,"C, D, Ssid",Plate9,Sample 6,Sample 6_Plate9.csv
S.sid,20,20-41,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 7,Sample 7_Plate9.csv
S.sid,20,20-48,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 8,Sample 8_Plate9.csv
S.sid,22,22-31,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 9,Sample 9_Plate9.csv
S.sid,22,22-34,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 10,Sample 10_Plate9.csv
S.sid,22,22-38,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 11,Sample 11_Plate9.csv
S.sid,22,22-42,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 12,Sample 12_Plate9.csv
S.sid,23,23-71,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 13,Sample 13_Plate9.csv
S.sid,23,23-74,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 14,Sample 14_Plate9.csv
S.sid,23,23-78,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 15,Sample 15_Plate9.csv
S.sid,23,23-81,NP,R2,2017/12/14,2017/12/20,2017/12/23,2017/12/27,2017/12/28,2018/01/26,"C, D, Ssid",Plate9,Sample 16,Sample 16_Plate9.csv
