"","Sample","Treatment","Replicate","Colony","Core","Date","C.Ssid","D.Ssid","TotalSH","logC.SH","logD.SH","logSH","D.Prp","Community"
"16","28-14_2017-12-14","NP","R2","28","28-14",2017-12-14,0.000384470488835842,0.00259123070773357,0.00297570119656941,-3.41513699013465,-2.58649391830128,-2.52641068038294,0.870796674989046,"D"
"17","28-19_2017-12-14","NP","R2","28","28-19",2017-12-14,0.000121408218173271,0.00168167975384212,0.00180308797201539,-3.9157519146899,-2.77425670436519,-2.74398308368869,0.932666503211395,"D"
"18","28-23_2017-12-14","NP","R2","28","28-23",2017-12-14,9.31181721128056e-05,0.00798454818551054,0.00807766635762334,-4.03096555770614,-2.09774965386378,-2.09271408902634,0.988472144306267,"D"
"19","30-18_2017-12-14","NP","R2","30","30-18",2017-12-14,0.000604794469346971,0,0.000604794469346971,-3.21839218897357,NA,-3.21839218897357,0,"C"
"20","30-22_2017-12-14","NP","R2","30","30-22",2017-12-14,0.000862498127391896,0,0.000862498127391896,-3.06424183916976,NA,-3.06424183916976,0,"C"
"21","30-25_2017-12-14","NP","R2","30","30-25",2017-12-14,0.00035626845777516,0,0.00035626845777516,-3.4482226262052,NA,-3.4482226262052,0,"C"
"22","30-28_2017-12-14","NP","R2","30","30-28",2017-12-14,0.000757470220576568,0,0.000757470220576568,-3.12063443648044,NA,-3.12063443648044,0,"C"
"23","24-9_2018-02-01","Control","R1","24","24-9",2018-02-01,0.00405260923382061,0,0.00405260923382061,-2.39226527037058,NA,-2.39226527037058,0,"C"
"24","30-1_2018-02-01","Control","R1","30","30-1",2018-02-01,0.000720357358792351,0,0.000720357358792351,-3.14245200294479,NA,-3.14245200294479,0,"C"
"25","30-4_2018-02-01","Control","R1","30","30-4",2018-02-01,0.00150619225897807,0,0.00150619225897807,-2.82211958877009,NA,-2.82211958877009,0,"C"
"26","30-8_2018-02-01","Control","R1","30","30-8",2018-02-01,0.00134127383075841,0,0.00134127383075841,-2.87248254873527,NA,-2.87248254873527,0,"C"
"27","30-12_2018-02-01","Control","R1","30","30-12",2018-02-01,0.00243182825221848,0,0.00243182825221848,-2.61406710034818,NA,-2.61406710034818,0,"C"
"28","20-2_2018-02-01","N","R1","20","20-2",2018-02-01,0.000408100052921675,0,0.000408100052921675,-3.3892333489082,NA,-3.3892333489082,0,"C"
"29","20-8_2018-02-01","N","R1","20","20-8",2018-02-01,0.000227839622621174,0,0.000227839622621174,-3.64237074737995,NA,-3.64237074737995,0,"C"
"30","20-15_2018-02-01","N","R1","20","20-15",2018-02-01,0.000214818576981467,0,0.000214818576981467,-3.6679281646313,NA,-3.6679281646313,0,"C"
"31","20-22_2018-02-01","N","R1","20","20-22",2018-02-01,0.00058419866487095,0,0.00058419866487095,-3.233439439899,NA,-3.233439439899,0,"C"
"32","22-3_2018-02-01","N","R1","22","22-3",2018-02-01,4.60466561684398e-06,0.0263867010442813,0.0263913057098981,-5.33680190206479,-1.57861490336929,-1.57853912252812,0.999825523387609,"D"
"33","22-11_2018-02-01","N","R1","22","22-11",2018-02-01,2.3366127341777e-06,0.0402346451983459,0.0402369818110801,-5.63141326079837,-1.39539982406438,-1.39537460329888,0.999941928727529,"D"
"34","24-12_2018-02-01","Control","R1","24","24-12",2018-02-01,0.00842496436437085,0,0.00842496436437085,-2.07443192741684,NA,-2.07443192741684,0,"C"
"35","22-17_2018-02-01","N","R1","22","22-17",2018-02-01,0,0.0275149875545503,0.0275149875545503,NA,-1.56043067929082,-1.56043067929082,1,"D"
"36","22-24_2018-02-01","N","R1","22","22-24",2018-02-01,2.40268959609089e-05,0.0177314480298085,0.0177554749257694,-4.61930233215589,-1.75125579650983,-1.75066770664131,0.998646789451628,"D"
"37","23-55_2018-02-01","N","R1","23","23-55",2018-02-01,3.47962772025367e-05,0.0207964265217892,0.0208312227989917,-4.45846721803277,-1.68201128403708,-1.68128523608837,0.998329609474283,"D"
"38","27-3_2018-02-01","Control","R1","27","27-3",2018-02-01,0,0.00713880297874178,0.00713880297874178,NA,-2.14637460381336,-2.14637460381336,1,"D"
"39","27-9_2018-02-01","Control","R1","27","27-9",2018-02-01,0,0.00373125843711795,0.00373125843711795,NA,-2.42814466949919,-2.42814466949919,1,"D"
"40","27-19_2018-02-01","Control","R1","27","27-19",2018-02-01,5.10715214889829e-06,0.027799680313565,0.0278047874657139,-5.29182120373783,-1.55596019828527,-1.55588042023536,0.999816321122569,"D"
"41","27-28_2018-02-01","Control","R1","27","27-28",2018-02-01,8.18536446409392e-05,0.006190482598535,0.00627233624317594,-4.08696197828981,-2.20827549286827,-2.20257066833355,0.98695005473758,"D"
"42","28-2_2018-02-01","Control","R1","28","28-2",2018-02-01,5.78166689260795e-05,0.00970927722510968,0.00976709389403576,-4.23794693356982,-2.01281309849877,-2.01023463725659,0.99408046348757,"D"
"43","28-5_2018-02-01","Control","R1","28","28-5",2018-02-01,0.000101688761832618,0.00262196451195989,0.00272365327379251,-3.9927270406246,-2.58137319074063,-2.56484817974856,0.962664571584391,"D"
"44","28-8_2018-02-01","Control","R1","28","28-8",2018-02-01,0.000600751361667481,0.0129547997855982,0.0135555511472657,-3.22130523614786,-1.88756929457949,-1.86788281999791,0.955682262186096,"D"
"45","23-58_2018-02-01","N","R1","23","23-58",2018-02-01,0,0.0621959241315287,0.0621959241315287,NA,-1.20623807487808,-1.20623807487808,1,"D"
"46","27-21_2018-02-01","N","R1","27","27-21",2018-02-01,0.000258511188597047,0.0168983444869605,0.0171568556755576,-3.58752065550697,-1.772155840676,-1.7655623020281,0.984932484513154,"D"
"47","27-45_2018-02-01","N","R1","27","27-45",2018-02-01,1.55067910856133e-05,0.0259192782431297,0.0259347850342153,-4.80947806408166,-1.58637709614212,-1.58611734739436,0.999402085227807,"D"
"48","28-3_2018-02-01","N","R1","28","28-3",2018-02-01,0.000147865758327523,0.0278039807726056,0.0279518465309331,-3.83013238510473,-1.55589302049164,-1.55358949683996,0.994709982463452,"D"
"49","28-6_2018-02-01","N","R1","28","28-6",2018-02-01,0.000396980956461692,0.00693300664769539,0.00732998760415708,-3.40123032623933,-2.15907838337889,-2.13489675979963,0.9458415241744,"D"
"50","28-9_2018-02-01","N","R1","28","28-9",2018-02-01,5.7234374426673e-05,0.015509038986366,0.0155662733607927,-4.24234305966975,-1.80941511229915,-1.80781534713398,0.996323180693278,"D"
"51","30-2_2018-02-01","N","R1","30","30-2",2018-02-01,0.00371441707206817,0,0.00371441707206817,-2.43010933324885,NA,-2.43010933324885,0,"C"
"52","30-5_2018-02-01","N","R1","30","30-5",2018-02-01,0.00227247129057332,0,0.00227247129057332,-2.64350159476137,NA,-2.64350159476137,0,"C"
"53","30-9_2018-02-01","N","R1","30","30-9",2018-02-01,0.00222497675886345,0,0.00222497675886345,-2.65267452111005,NA,-2.65267452111005,0,"C"
"54","30-13_2018-02-01","N","R1","30","30-13",2018-02-01,0.0024733736456361,0,0.0024733736456361,-2.6067102710304,NA,-2.6067102710304,0,"C"
"55","20-3_2018-02-01","NP","R1","20","20-3",2018-02-01,0.000448014810317784,0,0.000448014810317784,-3.34870762900861,NA,-3.34870762900861,0,"C"
"56","23-61_2018-02-01","N","R1","23","23-61",2018-02-01,0,0.0445621886959697,0.0445621886959697,NA,-1.3510334867024,-1.3510334867024,1,"D"
"57","20-11_2018-02-01","NP","R1","20","20-11",2018-02-01,0.000256918677551799,0,0.000256918677551799,-3.59020432211424,NA,-3.59020432211424,0,"C"
"58","20-17_2018-02-01","NP","R1","20","20-17",2018-02-01,0.000430860971129557,0,0.000430860971129557,-3.36566284401964,NA,-3.36566284401964,0,"C"
"59","20-23_2018-02-01","NP","R1","20","20-23",2018-02-01,0.000382795240354967,0,0.000382795240354967,-3.41703347084406,NA,-3.41703347084406,0,"C"
"60","23-66_2018-02-01","N","R1","23","23-66",2018-02-01,0,0.0459462640014633,0.0459462640014633,NA,-1.33774979634561,-1.33774979634561,1,"D"
"61","24-3_2018-02-01","N","R1","24","24-3",2018-02-01,0.00393491495943693,0,0.00393491495943693,-2.40506464908544,NA,-2.40506464908544,0,"C"
"62","24-7_2018-02-01","N","R1","24","24-7",2018-02-01,0.00141020202155717,0,0.00141020202155717,-2.85071866708736,NA,-2.85071866708736,0,"C"
"63","24-10_2018-02-01","N","R1","24","24-10",2018-02-01,0.00385390827055709,0.000292271714949418,0.00414617998550651,-2.41409862649037,-3.53421321213409,-2.38235184912695,0.0704918059445296,"C"
"64","24-14_2018-02-01","N","R1","24","24-14",2018-02-01,0.00185905466043301,8.65435119545513e-05,0.00194559817238757,-2.73070784079537,-4.0627654850151,-2.71094685036499,0.0444816988331914,"C"
"65","27-5_2018-02-01","N","R1","27","27-5",2018-02-01,0,0.0303773310233252,0.0303773310233252,NA,-1.51745038625866,-1.51745038625866,1,"D"
"66","27-12_2018-02-01","N","R1","27","27-12",2018-02-01,0,0.0490233688723092,0.0490233688723092,NA,-1.30959684746212,-1.30959684746212,1,"D"
"67","22-6_2018-02-01","NP","R1","22","22-6",2018-02-01,0,0.0495934104172706,0.0495934104172706,NA,-1.30457602531498,-1.30457602531498,1,"D"
"68","24-11_2018-02-01","NP","R1","24","24-11",2018-02-01,0.00285007606926685,0.00104420356985733,0.00389427963912417,-2.54514354840484,-2.98121482638417,-2.40957286602398,0.268137798674409,"C"
"69","24-15_2018-02-01","NP","R1","24","24-15",2018-02-01,0.00373647008132723,0,0.00373647008132723,-2.42753849087777,NA,-2.42753849087777,0,"C"
"70","27-6_2018-02-01","NP","R1","27","27-6",2018-02-01,6.66217564058781e-06,0.0372893800125826,0.0372960421882231,-5.17638392182008,-1.42841483732393,-1.42833725256164,0.999821370439068,"D"
"71","27-18_2018-02-01","NP","R1","27","27-18",2018-02-01,6.86732789739916e-05,0.0426000980898004,0.0426687713687744,-4.16321221565643,-1.37058940090174,-1.36988986230693,0.998390549416563,"D"
"72","27-27_2018-02-01","NP","R1","27","27-27",2018-02-01,2.61906064070122e-05,0.0125987597383472,0.0126249503447542,-4.58185444597453,-1.89967220609702,-1.89877032133141,0.997925488362978,"D"
"73","27-46_2018-02-01","NP","R1","27","27-46",2018-02-01,1.35927796514451e-05,0.0146215174247573,0.0146351102044088,-4.86669172326426,-1.83500755384864,-1.83460400292022,0.999071221230206,"D"
"74","28-4_2018-02-01","NP","R1","28","28-4",2018-02-01,0.000276709872060166,0.000934854163633389,0.00121156403569356,-3.55797534644353,-3.02925613337261,-2.91665362683114,0.77160937110372,"D"
"75","28-7_2018-02-01","NP","R1","28","28-7",2018-02-01,0.000513369509395215,0.00634106679736313,0.00685443630675834,-3.28956992899266,-2.19783767189214,-2.16402825479574,0.925104051387998,"D"
"76","28-10_2018-02-01","NP","R1","28","28-10",2018-02-01,0.000378376517449978,0.00451853156222168,0.00489690807967166,-3.4220758243272,-2.34500267979896,-2.31007804808839,0.922731545846099,"D"
"77","30-3_2018-02-01","NP","R1","30","30-3",2018-02-01,0.00224698051788256,0,0.00224698051788256,-2.64840069305162,NA,-2.64840069305162,0,"C"
"78","22-12_2018-02-01","NP","R1","22","22-12",2018-02-01,0,0.0314946492603842,0.0314946492603842,NA,-1.50176322380015,-1.50176322380015,1,"D"
"79","30-7_2018-02-01","NP","R1","30","30-7",2018-02-01,0.00269419839688543,0,0.00269419839688543,-2.56957042661599,NA,-2.56957042661599,0,"C"
"80","30-10_2018-02-01","NP","R1","30","30-10",2018-02-01,0.00177393917269626,0,0.00177393917269626,-2.75106127594469,NA,-2.75106127594469,0,"C"
"81","30-14_2018-02-01","NP","R1","30","30-14",2018-02-01,0.00148308021674247,0,0.00148308021674247,-2.82883535824576,NA,-2.82883535824576,0,"C"
"82","22-18_2018-02-01","NP","R1","22","22-18",2018-02-01,0,0.0456120853890826,0.0456120853890826,NA,-1.34092007131821,-1.34092007131821,1,"D"
"83","22-25_2018-02-01","NP","R1","22","22-25",2018-02-01,0,0.0200113361549286,0.0200113361549286,NA,-1.69872391259621,-1.69872391259621,1,"D"
"84","23-56_2018-02-01","NP","R1","23","23-56",2018-02-01,0,0.0404504413303072,0.0404504413303072,NA,-1.39307673570136,-1.39307673570136,1,"D"
"85","23-59_2018-02-01","NP","R1","23","23-59",2018-02-01,0,0.0442084343494897,0.0442084343494897,NA,-1.35449486544738,-1.35449486544738,1,"D"
"86","23-63_2018-02-01","NP","R1","23","23-63",2018-02-01,0,0.0215731510564949,0.0215731510564949,NA,-1.66608641556042,-1.66608641556042,1,"D"
"87","23-67_2018-02-01","NP","R1","23","23-67",2018-02-01,1.73821598215554e-05,0.0410326670013044,0.041050049161126,-4.75989626124147,-1.38687025426616,-1.38668631843753,0.999576561778201,"D"
"88","24-5_2018-02-01","NP","R1","24","24-5",2018-02-01,0.00282075643503352,0.000488156373249973,0.00330891280828349,-2.54963441242232,-3.31144103627364,-2.48031467659362,0.147527723313811,"C"
"89","20-26_2018-02-01","Control","R2","20","20-26",2018-02-01,0.000482854707281208,0,0.000482854707281208,-3.31618353036352,NA,-3.31618353036352,0,"C"
"90","23-72_2018-02-01","Control","R2","23","23-72",2018-02-01,0.000230451606006183,0.0136527834407012,0.0138832350467073,-3.63742026095151,-1.86477879846173,-1.857509323562,0.983400727191402,"D"
"91","23-75_2018-02-01","Control","R2","23","23-75",2018-02-01,2.00488431295193e-05,0.0120573265706808,0.0120773754138103,-4.69791068224386,-1.91874897613534,-1.91802743385583,0.998339966884975,"D"
"92","23-79_2018-02-01","Control","R2","23","23-79",2018-02-01,0,0.0207015131454157,0.0207015131454157,NA,-1.6839979092925,-1.6839979092925,1,"D"
"93","24-16_2018-02-01","Control","R2","24","24-16",2018-02-01,0.000921146736433263,0,0.000921146736433263,-3.0356711822383,NA,-3.0356711822383,0,"C"
"94","24-19_2018-02-01","Control","R2","24","24-19",2018-02-01,0.00142666391551755,2.55044240283921e-05,0.00145216833954594,-2.84567832319016,-4.59338447978288,-2.83798303604762,0.0175629941335635,"C"
"95","24-23_2018-02-01","Control","R2","24","24-23",2018-02-01,0.00262548790002657,1.09296607908746e-05,0.00263641756081744,-2.58078997888666,-4.96139331645262,-2.57898580424598,0.00414564860791089,"C"
"96","27-57_2018-02-01","Control","R2","27","27-57",2018-02-01,7.3172646831683e-05,0.0314105276510182,0.0314837002978498,-4.13565123520025,-1.50292476802681,-1.50191423042679,0.997675856200528,"D"
"97","27-73_2018-02-01","Control","R2","27","27-73",2018-02-01,1.78951311622784e-05,0.0260371332275442,0.0260550283587065,-4.74726511410298,-1.58440683469664,-1.58410844980395,0.999313179363464,"D"
"98","27-85_2018-02-01","Control","R2","27","27-85",2018-02-01,9.16129710031674e-06,0.018384995139921,0.0183941564370213,-5.03804303248617,-1.73553648060098,-1.73532012428555,0.999501945243769,"D"
"99","27-94_2018-02-01","Control","R2","27","27-94",2018-02-01,1.06100609203081e-05,0.0111448708622748,0.0111554809231951,-4.97428212248153,-1.95292495940684,-1.95251170213607,0.999048892558433,"D"
"100","20-32_2018-02-01","Control","R2","20","20-32",2018-02-01,0.000459627786872046,0,0.000459627786872046,-3.33759372384708,NA,-3.33759372384708,0,"C"
"101","28-11_2018-02-01","Control","R2","28","28-11",2018-02-01,0.000132625660857558,0.00487550070395403,0.00500812636481159,-3.87737243904856,-2.31198077651971,-2.3003247215612,0.973517908455861,"D"
"102","28-15_2018-02-01","Control","R2","28","28-15",2018-02-01,8.49362781509176e-05,0.00216383359740161,0.00224876987555253,-4.07090677341283,-2.66477614028864,-2.64805498515628,0.962229893296641,"D"
"103","28-20_2018-02-01","Control","R2","28","28-20",2018-02-01,7.08185882648043e-05,0.000108703751009231,0.000179522339274035,-4.14985273494753,-3.96375546957972,-3.74588150129299,0.605516569407543,"D"
"104","20-38_2018-02-01","Control","R2","20","20-38",2018-02-01,0.000353756259698128,0,0.000353756259698128,-3.45129586658199,NA,-3.45129586658199,0,"C"
"105","20-45_2018-02-01","Control","R2","20","20-45",2018-02-01,0.000168957827039793,0,0.000168957827039793,-3.77222168455523,NA,-3.77222168455523,0,"C"
"106","22-32_2018-02-01","Control","R2","22","22-32",2018-02-01,0,0.0277512817543544,0.0277512817543544,NA,-1.55671695322643,-1.55671695322643,1,"D"
"107","22-35_2018-02-01","Control","R2","22","22-35",2018-02-01,0,0.0262866487229103,0.0262866487229103,NA,-1.58026477843986,-1.58026477843986,1,"D"
"108","22-39_2018-02-01","Control","R2","22","22-39",2018-02-01,0,0.0361450745607381,0.0361450745607381,NA,-1.44195087504528,-1.44195087504528,1,"D"
"109","23-68_2018-02-01","Control","R2","23","23-68",2018-02-01,0,0.0105613810089598,0.0105613810089598,NA,-1.97627928962831,-1.97627928962831,1,"D"
"110","28-29_2018-02-01","Control","R2","28","28-29",2018-02-01,1.94989699357887e-05,8.97182742860665e-05,0.000109217244221855,-4.70998833033075,-4.04711908858045,-3.96170878581495,0.82146619725929,"D"
"111","22-27_2018-02-01","N","R2","22","22-27",2018-02-01,0,0.00368700268538421,0.00368700268538421,NA,-2.43332654608059,-2.43332654608059,1,"D"
"112","22-33_2018-02-01","N","R2","22","22-33",2018-02-01,0,0.00356254428360134,0.00356254428360134,NA,-2.44823972852612,-2.44823972852612,1,"D"
"113","22-36_2018-02-01","N","R2","22","22-36",2018-02-01,0,0.00254417144992348,0.00254417144992348,NA,-2.59445362523796,-2.59445362523796,1,"D"
"114","22-41_2018-02-01","N","R2","22","22-41",2018-02-01,0,0.00345054103441136,0.00345054103441136,NA,-2.46211280352462,-2.46211280352462,1,"D"
"115","23-70_2018-02-01","N","R2","23","23-70",2018-02-01,0,0.00476207087341701,0.00476207087341701,NA,-2.32220414532239,-2.32220414532239,1,"D"
"116","23-73_2018-02-01","N","R2","23","23-73",2018-02-01,0,0.00706388347181072,0.00706388347181072,NA,-2.15095647363873,-2.15095647363873,1,"D"
"117","23-76_2018-02-01","N","R2","23","23-76",2018-02-01,1.81397387879128e-05,0.00608321046951027,0.00610135020829819,-4.74136897106781,-2.21586715737143,-2.21457404644404,0.997026930405791,"D"
"118","23-80_2018-02-01","N","R2","23","23-80",2018-02-01,0,0.00541215185802802,0.00541215185802802,NA,-2.26663002615824,-2.26663002615824,1,"D"
"119","24-17_2018-02-01","N","R2","24","24-17",2018-02-01,0.000385844581132645,0,0.000385844581132645,-3.41358759467725,NA,-3.41358759467725,0,"C"
"120","24-21_2018-02-01","N","R2","24","24-21",2018-02-01,0.00102525371462639,0.000149189589942745,0.00117444330456914,-2.98916864853273,-3.826261479733,-2.93016794364336,0.127030048502407,"C"
"121","30-15_2018-02-01","Control","R2","30","30-15",2018-02-01,0.000389381506243771,0,0.000389381506243771,-3.40962467923358,NA,-3.40962467923358,0,"C"
"122","24-24_2018-02-01","N","R2","24","24-24",2018-02-01,0.000465275170124053,0,0.000465275170124053,-3.33229012340879,NA,-3.33229012340879,0,"C"
"123","24-27_2018-02-01","N","R2","24","24-27",2018-02-01,0.000746848114082906,4.49643524660502e-05,0.000791812466548956,-3.12676771133408,-4.34713165650263,-3.10137766485863,0.0567866185057976,"C"
"124","27-67_2018-02-01","N","R2","27","27-67",2018-02-01,2.37102048530562e-05,0.0119653191718574,0.0119890293767105,-4.62506469375831,-1.92207571220076,-1.92121597565026,0.998022341583455,"D"
"125","30-20_2018-02-01","Control","R2","30","30-20",2018-02-01,0.000124355814815833,0,0.000124355814815833,-3.90533390252604,NA,-3.90533390252604,0,"C"
"126","30-23_2018-02-01","Control","R2","30","30-23",2018-02-01,0.000661543771618037,0,0.000661543771618037,-3.17944141505431,NA,-3.17944141505431,0,"C"
"127","30-26_2018-02-01","Control","R2","30","30-26",2018-02-01,0.000389876019277227,0,0.000389876019277227,-3.40907347683013,NA,-3.40907347683013,0,"C"
"128","20-29_2018-02-01","N","R2","20","20-29",2018-02-01,0.000191872661889475,0,0.000191872661889475,-3.71698689934648,NA,-3.71698689934648,0,"C"
"129","20-33_2018-02-01","N","R2","20","20-33",2018-02-01,2.21655502623561e-05,0,2.21655502623561e-05,-4.65432148281993,NA,-4.65432148281993,0,"C"
"130","20-39_2018-02-01","N","R2","20","20-39",2018-02-01,6.48740409648982e-05,0,6.48740409648982e-05,-4.18792904928578,NA,-4.18792904928578,0,"C"
"131","20-46_2018-02-01","N","R2","20","20-46",2018-02-01,0.000100644653246596,9.93030258714372e-06,0.00011057495583374,-3.9972092920836,-5.00303751787676,-3.95634322542584,0.0898060732854812,"C"
"132","27-75_2018-02-01","N","R2","27","27-75",2018-02-01,0,0.00554049121213413,0.00554049121213413,NA,-2.25645172962857,-2.25645172962857,1,"D"
"133","30-24_2018-02-01","N","R2","30","30-24",2018-02-01,0.00202358599573581,0,0.00202358599573581,-2.69387833479604,NA,-2.69387833479604,0,"C"
"134","30-27_2018-02-01","N","R2","30","30-27",2018-02-01,0.00101784725048619,0,0.00101784725048619,-2.99231739218437,NA,-2.99231739218437,0,"C"
"135","20-30_2018-02-01","NP","R2","20","20-30",2018-02-01,0.000208533165121136,6.31838948267646e-06,0.000214851554603813,-3.68082486498912,-5.19939360651513,-3.66786149953924,0.0294081627397465,"C"
"136","20-36_2018-02-01","NP","R2","20","20-36",2018-02-01,3.09424634669497e-05,0.000845695644151553,0.000876638107618503,-4.50944511314755,-3.07278590628448,-3.05717965441134,0.964703264439406,"D"
"137","20-41_2018-02-01","NP","R2","20","20-41",2018-02-01,1.21211277045019e-05,0,1.21211277045019e-05,-4.91645697315165,NA,-4.91645697315165,0,"C"
"138","20-48_2018-02-01","NP","R2","20","20-48",2018-02-01,4.87803663390272e-05,0,4.87803663390272e-05,-4.31175494247205,NA,-4.31175494247205,0,"C"
"139","22-31_2018-02-01","NP","R2","22","22-31",2018-02-01,9.9333521594007e-06,0.00569020763199808,0.00570014098415748,-5.00290416755118,-2.2448718861909,-2.2441144025934,0.998257349741522,"D"
"140","22-34_2018-02-01","NP","R2","22","22-34",2018-02-01,2.79248633488905e-06,0.00453915834376154,0.00454195083009643,-5.5540089434395,-2.34302466708698,-2.34275757164279,0.999385179091683,"D"
"141","22-38_2018-02-01","NP","R2","22","22-38",2018-02-01,1.26085558463235e-06,0.00620718463584964,0.00620844549143427,-5.89933465362435,-2.20710533611322,-2.20701712752145,0.999796912836495,"D"
"142","22-42_2018-02-01","NP","R2","22","22-42",2018-02-01,0,0.0120730383585178,0.0120730383585178,NA,-1.91818341952293,-1.91818341952293,1,"D"
"143","27-86_2018-02-01","N","R2","27","27-86",2018-02-01,4.94850430944373e-06,0.00520897272254975,0.0052139212268592,-5.30552604719006,-2.28324791679981,-2.28283553454069,0.999050905432949,"D"
"144","23-71_2018-02-01","NP","R2","23","23-71",2018-02-01,0,0.00869410397726452,0.00869410397726452,NA,-2.06077517016287,-2.06077517016287,1,"D"
"145","23-74_2018-02-01","NP","R2","23","23-74",2018-02-01,9.82264843918698e-06,0.0073848834947426,0.00739470614318179,-5.00777139943825,-2.13165635180627,-2.13107907966984,0.998671664803307,"D"
"146","23-78_2018-02-01","NP","R2","23","23-78",2018-02-01,1.01981864294498e-05,0.00737693552045057,0.00738713370688002,-4.9914770531117,-2.13212401256099,-2.13152404019187,0.998619466381128,"D"
"147","27-97_2018-02-01","N","R2","27","27-97",2018-02-01,9.14688966456143e-07,0.00727966872238575,0.00728058341135221,-6.03872655961192,-2.13788838377946,-2.13783381818985,0.999874365979376,"D"
"148","28-13_2018-02-01","N","R2","28","28-13",2018-02-01,1.16678665358436e-05,0.00227403936575607,0.00228570723229191,-4.93300854724641,-2.64320202153806,-2.64097939753771,0.994895292638094,"D"
"149","28-18_2018-02-01","N","R2","28","28-18",2018-02-01,0.000271987156720826,0.00138935299048944,0.00166134014721027,-3.56545160293993,-2.85718739980197,-2.77954143983475,0.836284485643985,"D"
"150","28-21_2018-02-01","N","R2","28","28-21",2018-02-01,3.6921016234549e-05,0.00281215408935321,0.00284907510558776,-4.43272635371918,-2.55096088624027,-2.54529610200222,0.987041051967308,"D"
"151","28-30_2018-02-01","N","R2","28","28-30",2018-02-01,0.000142521426960406,5.95173900931789e-05,0.000202038817053585,-3.84611983803357,-4.22535612136309,-3.69456518296609,0.294583936696648,"C"
"152","30-16_2018-02-01","N","R2","30","30-16",2018-02-01,0.00130999339545103,0,0.00130999339545103,-2.88273089390637,NA,-2.88273089390637,0,"C"
"153","30-21_2018-02-01","N","R2","30","30-21",2018-02-01,0.000923496474233553,0,0.000923496474233553,-3.03456475828961,NA,-3.03456475828961,0,"C"
"154","23-81_2018-02-01","NP","R2","23","23-81",2018-02-01,7.56843695119161e-07,0.00216633963106211,0.00216709647475723,-6.12099380260872,-2.66427345522072,-2.66412175433681,0.999650756805738,"D"
"155","28-14_2018-02-01","NP","R2","28","28-14",2018-02-01,4.4196533858491e-05,0.000124189012198788,0.000168385546057279,-4.35461178913863,-3.9059168272877,-3.77369519037184,0.737527745739787,"D"
"156","28-19_2018-02-01","NP","R2","28","28-19",2018-02-01,5.01241265000264e-05,2.05501338261581e-05,7.06742603261845e-05,-4.29995318264157,-4.68718534557513,-4.15073872812231,0.290772534884874,"C"
