D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate13.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08 12:14:22 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,NOAMP,Tm1,Tm2,Tm3,Tm4
F3,0,Sample 5,Acer,UNKNOWN,SYBR,None,23.403,23.568,0.233,,,,,,,,0,0.200,1,3,18,Amp,,0.977,N,N,N,N,73.121,,,
F4,0,Sample 5,A,UNKNOWN,SYBR,None,23.834,23.899,0.091,,,,,,,,0,0.200,1,3,18,Amp,,0.983,N,N,N,N,84.473,,,
F5,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.885,22.914,0.040,,,,,,,,0,0.200,1,3,18,Amp,,0.962,N,N,N,N,73.269,,,
F6,0,Sample 12,A,UNKNOWN,SYBR,None,23.926,23.994,0.096,,,,,,,,0,0.200,1,3,19,Amp,,0.977,N,N,N,N,84.473,,,
F7,0,Sample 12,Acer,UNKNOWN,SYBR,None,22.942,22.914,0.040,,,,,,,,0,0.200,1,3,18,Amp,,0.980,N,N,N,N,73.269,,,
F8,0,Sample 12,A,UNKNOWN,SYBR,None,24.062,23.994,0.096,,,,,,,,0,0.200,1,3,19,Amp,,0.978,N,N,N,N,84.473,,,
F9,0,Sample 20,Acer,UNKNOWN,SYBR,None,22.743,22.905,0.228,,,,,,,,0,0.200,1,3,18,Amp,,0.974,N,N,N,N,73.269,,,
F10,0,Sample 20,A,UNKNOWN,SYBR,None,24.332,24.381,0.070,,,,,,,,0,0.200,1,3,19,Amp,,0.985,N,N,N,N,84.473,,,
F11,0,Sample 20,Acer,UNKNOWN,SYBR,None,23.066,22.905,0.228,,,,,,,,0,0.200,1,3,17,Amp,,0.962,N,N,N,N,73.269,,,
F12,0,Sample 20,A,UNKNOWN,SYBR,None,24.430,24.381,0.070,,,,,,,,0,0.200,1,3,18,Amp,,0.979,N,N,N,N,84.473,,,
G1,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.053,23.297,0.345,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,N,N,N,72.974,,,
G2,0,Sample 6,A,UNKNOWN,SYBR,None,24.366,24.341,0.036,,,,,,,,0,0.200,1,3,18,Amp,,0.960,N,N,N,N,84.178,,,
G3,0,Sample 6,Acer,UNKNOWN,SYBR,None,23.541,23.297,0.345,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,73.121,,,
G4,0,Sample 6,A,UNKNOWN,SYBR,None,24.316,24.341,0.036,,,,,,,,0,0.200,1,3,19,Amp,,0.967,N,N,N,N,84.473,,,
G5,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.872,23.922,0.072,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,73.269,,,
G6,0,Sample 13,A,UNKNOWN,SYBR,None,24.829,24.857,0.039,,,,,,,,0,0.200,1,3,19,Amp,,0.978,N,N,N,N,84.473,,,
G7,0,Sample 13,Acer,UNKNOWN,SYBR,None,23.973,23.922,0.072,,,,,,,,0,0.200,1,3,18,Amp,,0.991,N,N,N,N,73.269,,,
G8,0,Sample 13,A,UNKNOWN,SYBR,None,24.884,24.857,0.039,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,84.620,,,
G9,0,Sample 21,Acer,UNKNOWN,SYBR,None,23.973,24.136,0.230,,,,,,,,0,0.200,1,3,18,Amp,,0.989,N,N,N,N,73.121,,,
G10,0,Sample 21,A,UNKNOWN,SYBR,None,26.572,26.550,0.031,,,,,,,,0,0.200,1,3,21,Amp,,0.958,N,Y,N,N,84.325,75.185,,
G11,0,Sample 21,Acer,UNKNOWN,SYBR,None,24.298,24.136,0.230,,,,,,,,0,0.200,1,3,19,Amp,,0.985,N,N,N,N,73.121,,,
G12,0,Sample 21,A,UNKNOWN,SYBR,None,26.528,26.550,0.031,,,,,,,,0,0.200,1,3,22,Amp,,0.989,N,Y,N,N,84.325,73.564,,
H1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,N,Y,Y,60.001,,,
H2,0,+,A,UNKNOWN,SYBR,None,25.243,25.196,0.066,,,,,,,,0,0.200,1,3,19,Amp,,0.983,N,N,N,N,84.030,,,
H3,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.679,22.788,0.154,,,,,,,,0,0.200,1,3,16,Amp,,0.984,N,N,N,N,72.974,,,
H4,0,Sample 14,A,UNKNOWN,SYBR,None,23.837,24.033,0.277,,,,,,,,0,0.200,1,3,18,Amp,,0.984,N,Y,N,N,84.473,74.743,,
H5,0,Sample 14,Acer,UNKNOWN,SYBR,None,22.897,22.788,0.154,,,,,,,,0,0.200,1,3,18,Amp,,0.983,N,N,N,N,73.121,,,
H6,0,Sample 14,A,UNKNOWN,SYBR,None,24.229,24.033,0.277,,,,,,,,0,0.200,1,3,19,Amp,,0.945,N,N,N,N,84.325,,,
H7,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.584,22.724,0.198,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,73.121,,,
H8,0,Sample 22,A,UNKNOWN,SYBR,None,24.660,24.814,0.217,,,,,,,,0,0.200,1,3,19,Amp,,0.987,N,N,N,N,84.473,,,
H9,0,Sample 22,Acer,UNKNOWN,SYBR,None,22.864,22.724,0.198,,,,,,,,0,0.200,1,3,18,Amp,,0.957,N,N,N,N,73.121,,,
H10,0,Sample 22,A,UNKNOWN,SYBR,None,24.968,24.814,0.217,,,,,,,,0,0.200,1,3,20,Amp,,0.941,N,N,N,N,84.325,,,
H11,0,+,Acer,UNKNOWN,SYBR,None,23.424,23.421,0.005,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,N,N,N,73.121,,,
H12,0,NTC,A,UNKNOWN,SYBR,None,39.684,39.684,,,,,,,,,0,0.200,1,3,34,Inconclusive,,0.000,Y,Y,N,N,74.596,81.967,,
