"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","B.Ofav","C.Ofav","D.Ofav","TotalSH","logB.SH","logC.SH","logD.SH","logSH","D.Prp","C.Prp","B.Prp","Community"
"A","R2","Of_31-24","Of_31",2017-11-15,0,"T5","Baseline","Of_31-24_T5",0.162138065961847,0,0.00535361993181665,0.167491685893663,-0.790115011700556,NA,-2.27135246381284,-0.776006746000986,0.0319634965953805,0,0.968036503404619,"B"
"A","R2","Of_31-46","Of_31",2017-11-15,0,"T5","Baseline","Of_31-46_T5",0.0969575022268268,0,0.00543971360680618,0.102397215833633,-1.01341858112208,NA,-2.26442396468746,-0.989711851607532,0.0531236475769439,0,0.946876352423056,"B"
"N","R1","Of_20-2","Of_20",2017-11-15,0,"T5","Baseline","Of_20-2_T5",0,0,0.0741625265513695,0.0741625265513695,NA,NA,-1.1298154831701,-1.1298154831701,1,0,0,"D"
"N","R1","Of_20-28","Of_20",2017-11-15,0,"T5","Baseline","Of_20-28_T5",0,0,0.0651586265677435,0.0651586265677435,NA,NA,-1.18602807845095,-1.18602807845095,1,0,0,"D"
"N","R1","Of_20-46","Of_20",2017-11-15,0,"T5","Baseline","Of_20-46_T5",0,0,0.0710218936392077,0.0710218936392077,NA,NA,-1.14860775239353,-1.14860775239353,1,0,0,"D"
"N","R1","Of_6-81","Of_6",2017-11-15,0,"T5","Baseline","Of_6-81_T5",0,0,0.400874977406476,0.400874977406476,NA,NA,-0.396991051540568,-0.396991051540568,1,0,0,"D"
"N","R1","Of_31-25","Of_31",2017-11-15,0,"T5","Baseline","Of_31-25_T5",0.0665303143485491,0,0.196393574235414,0.262923888583963,-1.17698042455459,NA,-0.706872725916457,-0.580169953228467,0.746959796209986,0,0.253040203790014,"D"
"N","R1","Of_31-30","Of_31",2017-11-15,0,"T5","Baseline","Of_31-30_T5",0.0590159913112628,0,0.0245079962485384,0.0835239875598012,-1.22903029348947,NA,-1.61069219481794,-1.07818877998024,0.293424643201945,0,0.706575356798055,"B"
"N","R1","Of_31-43","Of_31",2017-11-15,0,"T5","Baseline","Of_31-43_T5",0.0741900165029436,0,0.00633914462131777,0.0805291611242614,-1.12965453231388,NA,-2.19796934011573,-1.09404682494833,0.078718622332798,0,0.921281377667202,"B"
"N","R2","Of_20-29","Of_20",2017-11-15,0,"T5","Baseline","Of_20-29_T5",0,0,0.14953981845155,0.14953981845155,NA,NA,-0.82524315094317,-0.82524315094317,1,0,0,"D"
"N","R2","Of_20-41","Of_20",2017-11-15,0,"T5","Baseline","Of_20-41_T5",0,0,0.0333535481428478,0.0333535481428478,NA,NA,-1.4768579591419,-1.4768579591419,1,0,0,"D"
"N","R2","Of_20-45","Of_20",2017-11-15,0,"T5","Baseline","Of_20-45_T5",0,0,0.0808309289306772,0.0808309289306772,NA,NA,-1.0924224301443,-1.0924224301443,1,0,0,"D"
"N","R2","Of_6-12","Of_6",2017-11-15,0,"T5","Baseline","Of_6-12_T5",0,0,0.477757812663645,0.477757812663645,NA,NA,-0.320792202297089,-0.320792202297089,1,0,0,"D"
"N","R2","Of_6-19","Of_6",2017-11-15,0,"T5","Baseline","Of_6-19_T5",0,0,0.0885223907188799,0.0885223907188799,NA,NA,-1.05294686562145,-1.05294686562145,1,0,0,"D"
"N","R2","Of_31-10","Of_31",2017-11-15,0,"T5","Baseline","Of_31-10_T5",0.0604506829374295,0,0.0710546709585273,0.131505353895957,-1.21859878836348,NA,-1.14840736735178,-0.881056565652258,0.54031770459128,0,0.45968229540872,"D"
"N","R2","Of_31-3","Of_31",2017-11-15,0,"T5","Baseline","Of_31-3_T5",0.105917585401447,0,0,0.105917585401447,-0.975031928383796,NA,NA,-0.975031928383796,0,0,1,"B"
"N","R2","Of_31-8","Of_31",2017-11-15,0,"T5","Baseline","Of_31-8_T5",0.0637587716204529,0,0,0.0637587716204529,-1.19546005866963,NA,NA,-1.19546005866963,0,0,1,"B"
"N+P","R1","Of_20-17","Of_20",2017-11-15,0,"T5","Baseline","Of_20-17_T5",0,0,0.192923647520541,0.192923647520541,NA,NA,-0.714614535662303,-0.714614535662303,1,0,0,"D"
"N+P","R1","Of_20-34","Of_20",2017-11-15,0,"T5","Baseline","Of_20-34_T5",0,2.94870795273132e-05,0.0322040917877311,0.0322335788672584,NA,-4.53036823890905,-1.49208894420683,-1.49169147245809,0.999085206155707,0.000914793844293383,0,"D"
"N+P","R1","Of_20-40","Of_20",2017-11-15,0,"T5","Baseline","Of_20-40_T5",0,0,0.0798241763989639,0.0798241763989639,NA,NA,-1.09786555368085,-1.09786555368085,1,0,0,"D"
"N+P","R1","Of_6-115","Of_6",2017-11-15,0,"T5","Baseline","Of_6-115_T5",0,0,0.0591983543289862,0.0591983543289862,NA,NA,-1.22769036617867,-1.22769036617867,1,0,0,"D"
"N+P","R1","Of_31-17","Of_31",2017-11-15,0,"T5","Baseline","Of_31-17_T5",0.0543417366087599,0,0.00164953118189472,0.0559912677906546,-1.26486648686862,NA,-2.78263947036003,-1.25187969881593,0.0294605078074343,0,0.970539492192566,"B"
"N+P","R1","Of_31-39","Of_31",2017-11-15,0,"T5","Baseline","Of_31-39_T5",0.0428473556696159,0,0,0.0428473556696159,-1.36807597545679,NA,NA,-1.36807597545679,0,0,1,"B"
"N+P","R1","Of_31-40","Of_31",2017-11-15,0,"T5","Baseline","Of_31-40_T5",0.0339430022318161,0,0,0.0339430022318161,-1.46924974731454,NA,NA,-1.46924974731454,0,0,1,"B"
"N+P","R2","Of_20-11","Of_20",2017-11-15,0,"T5","Baseline","Of_20-11_T5",0,0,0.0996756604399831,0.0996756604399831,NA,NA,-1.00141087806848,-1.00141087806848,1,0,0,"D"
"N+P","R2","Of_20-43","Of_20",2017-11-15,0,"T5","Baseline","Of_20-43_T5",0,0,0.0643648130652245,0.0643648130652245,NA,NA,-1.19135148773161,-1.19135148773161,1,0,0,"D"
"N+P","R2","Of_20-50","Of_20",2017-11-15,0,"T5","Baseline","Of_20-50_T5",0,0,0.360998082370462,0.360998082370462,NA,NA,-0.442495105069796,-0.442495105069796,1,0,0,"D"
"N+P","R2","Of_6-49","Of_6",2017-11-15,0,"T5","Baseline","Of_6-49_T5",0,0,0.0251280805214893,0.0251280805214893,NA,NA,-1.59984068493562,-1.59984068493562,1,0,0,"D"
"N+P","R2","Of_6-72","Of_6",2017-11-15,0,"T5","Baseline","Of_6-72_T5",0,0,0.0977958047772714,0.0977958047772714,NA,NA,-1.00967977508111,-1.00967977508111,1,0,0,"D"
"N+P","R2","Of_6-82","Of_6",2017-11-15,0,"T5","Baseline","Of_6-82_T5",0,0,0.060008525266732,0.060008525266732,NA,NA,-1.22178704606161,-1.22178704606161,1,0,0,"D"
"N+P","R2","Of_31-11","Of_31",2017-11-15,0,"T5","Baseline","Of_31-11_T5",0.0345453252615906,0,0,0.0345453252615906,-1.46161071386013,NA,NA,-1.46161071386013,0,0,1,"B"
"N+P","R2","Of_31-2","Of_31",2017-11-15,0,"T5","Baseline","Of_31-2_T5",0.0344982244607168,0,0.0016012873908277,0.0360995118515445,-1.46220325642691,NA,-2.79553071614465,-1.44249867071523,0.0443575912442482,0,0.955642408755752,"B"
"N+P","R2","Of_31-49","Of_31",2017-11-15,0,"T5","Baseline","Of_31-49_T5",0.0357513951969781,0,0,0.0357513951969781,-1.44670700520485,NA,NA,-1.44670700520485,0,0,1,"B"
"A","R1","Of_34-36","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-36_T9",0,0,0.0517202766033144,0.0517202766033144,NA,NA,-1.28633916115104,-1.28633916115104,1,0,0,"D"
"A","R1","Of_34-49","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-49_T9",0,0,0.0309877131869871,0.0309877131869871,NA,NA,-1.50881047238665,-1.50881047238665,1,0,0,"D"
"A","R1","Of_20-14","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-14_T9",0,0,0.0247018712248631,0.0247018712248631,NA,NA,-1.60727014666539,-1.60727014666539,1,0,0,"D"
"A","R1","Of_20-19","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-19_T9",0,0,0.0288272072878226,0.0288272072878226,NA,NA,-1.54019742900395,-1.54019742900395,1,0,0,"D"
"A","R1","Of_20-30","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-30_T9",0,0,0.0177699275597939,0.0177699275597939,NA,NA,-1.75031434261934,-1.75031434261934,1,0,0,"D"
"A","R1","Of_6-112","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-112_T9",0,0,0.0169368520997407,0.0169368520997407,NA,NA,-1.77116730491151,-1.77116730491151,1,0,0,"D"
"A","R1","Of_6-6","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-6_T9",0,0,0.0100482100285507,0.0100482100285507,NA,NA,-1.99791129585137,-1.99791129585137,1,0,0,"D"
"A","R1","Of_6-83","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-83_T9",0,0,0.0235527997050126,0.0235527997050126,NA,NA,-1.62795746118185,-1.62795746118185,1,0,0,"D"
"A","R1","Of_31-34","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-34_T9",0.0502654850680814,0,0.00344968433259354,0.053715169400675,-1.29873012209393,NA,-2.46222064373396,-1.26990305030266,0.0642217900656978,0,0.935778209934302,"B"
"A","R1","Of_31-41","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-41_T9",0.0624109500498158,0,0,0.0624109500498158,-1.20473920632711,NA,NA,-1.20473920632711,0,0,1,"B"
"A","R1","Of_31-45","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-45_T9",0.078116736850178,0,0,0.078116736850178,-1.107255906674,NA,NA,-1.107255906674,0,0,1,"B"
"A","R2","Of_34-11","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-11_T9",0,0,0.0207806419423035,0.0207806419423035,NA,NA,-1.68234104062418,-1.68234104062418,1,0,0,"D"
"A","R2","Of_34-23","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-23_T9",0,0,0.00799426238218595,0.00799426238218595,NA,NA,-2.09722160172697,-2.09722160172697,1,0,0,"D"
"A","R2","Of_34-8","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-8_T9",0,0,0.0617175788921472,0.0617175788921472,NA,NA,-1.20959111913521,-1.20959111913521,1,0,0,"D"
"A","R2","Of_20-21","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-21_T9",0,0,0.0171318903864245,0.0171318903864245,NA,NA,-1.7661947129775,-1.7661947129775,1,0,0,"D"
"A","R2","Of_20-3","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-3_T9",0,0,0.0104036610590962,0.0104036610590962,NA,NA,-1.98281380512688,-1.98281380512688,1,0,0,"D"
"A","R2","Of_20-4","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-4_T9",0,0,0.00526693528945138,0.00526693528945138,NA,NA,-2.27844201743269,-2.27844201743269,1,0,0,"D"
"A","R2","Of_6-116","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-116_T9",0,0.000139644849856918,0.0109257465952419,0.0110653914450989,NA,-3.85497507657569,-1.96154887645226,-1.95603321802779,0.987380035261313,0.0126199647386871,0,"D"
"A","R2","Of_6-40","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-40_T9",0,0,0.0130020657514518,0.0130020657514518,NA,NA,-1.88598764206361,-1.88598764206361,1,0,0,"D"
"A","R2","Of_6-85","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-85_T9",0,0,0.0193697652278387,0.0193697652278387,NA,NA,-1.71287564313592,-1.71287564313592,1,0,0,"D"
"A","R2","Of_31-13","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-13_T9",0.049553332933843,0,0,0.049553332933843,-1.30492712975394,NA,NA,-1.30492712975394,0,0,1,"B"
"A","R2","Of_31-24","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-24_T9",0.0376200085648134,0,0.000469763698870106,0.0380897722636835,-1.42458110991135,NA,-3.32812054649737,-1.41919162395027,0.0123330666200386,0,0.987666933379961,"B"
"A","R2","Of_31-46","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-46_T9",0.0242845065677483,0,0.00100948672936132,0.0252939932971096,-1.61467071644794,NA,-2.9958993858863,-1.59698260086544,0.0399101366677707,0,0.960089863332229,"B"
"N","R1","Of_34-38","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-38_T9",0,0,0.0457350678569995,0.0457350678569995,NA,NA,-1.33975067221688,-1.33975067221688,1,0,0,"D"
"N","R1","Of_34-44","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-44_T9",0,0,0.053200875098645,0.053200875098645,NA,NA,-1.27408122395708,-1.27408122395708,1,0,0,"D"
"N","R1","Of_34-5","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-5_T9",0,0,0.0744982169916051,0.0744982169916051,NA,NA,-1.12785412134531,-1.12785412134531,1,0,0,"D"
"N","R1","Of_20-2","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-2_T9",0,0,0.0224206911533896,0.0224206911533896,NA,NA,-1.649351003718,-1.649351003718,1,0,0,"D"
"N","R1","Of_20-28","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-28_T9",0,0,0.011745799367223,0.011745799367223,NA,NA,-1.93011742171647,-1.93011742171647,1,0,0,"D"
"N","R1","Of_20-46","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-46_T9",0,1.61068359955441e-05,0.0342403690736279,0.0342564759096234,NA,-4.79298976340643,-1.46546156275142,-1.46525731655222,0.999529816317416,0.000470183682584212,0,"D"
"N","R1","Of_6-81","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-81_T9",0,0,0.0141647261899795,0.0141647261899795,NA,NA,-1.84879181615451,-1.84879181615451,1,0,0,"D"
"N","R1","Of_6-9","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-9_T9",8.17838517962393e-06,0,0.0112552908857064,0.011263469270886,-5.08733243921505,NA,-1.94864327645869,-1.94832782146154,0.999273901763042,0,0.000726098236958266,"D"
"N","R1","Of_6-96","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-96_T9",0,2.5772710609847e-05,0.00842475754016095,0.0084505302507708,NA,-4.58883990271446,-2.07444258903056,-2.07311603924454,0.996950166457602,0.00304983354239767,0,"D"
"N","R1","Of_31-25","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-25_T9",0.0491962687143173,0,0.077001307173486,0.126197575887803,-1.30806783500161,NA,-1.11350190218579,-0.898948987315829,0.610164709042783,0,0.389835290957217,"D"
"N","R1","Of_31-30","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-30_T9",0.0296628480116809,0,0.0114794410850405,0.0411422890967214,-1.5277871534972,NA,-1.94007925650179,-1.38571154846002,0.279018045351183,0,0.720981954648817,"B"
"N","R1","Of_31-43","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-43_T9",0.0615078545633253,0,0,0.0615078545633253,-1.21106942120514,NA,NA,-1.21106942120514,0,0,1,"B"
"N","R2","Of_34-10","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-10_T9",0,0,0.231167120049547,0.231167120049547,NA,NA,-0.636073937537512,-0.636073937537512,1,0,0,"D"
"N","R2","Of_34-24","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-24_T9",0,0,0.0160290977056353,0.0160290977056353,NA,NA,-1.79509092384003,-1.79509092384003,1,0,0,"D"
"N","R2","Of_34-25","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-25_T9",0,0,0.0289548774657295,0.0289548774657295,NA,NA,-1.5382782686194,-1.5382782686194,1,0,0,"D"
"N","R2","Of_20-29","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-29_T9",0,0,0.00975363396292316,0.00975363396292316,NA,NA,-2.01083354676224,-2.01083354676224,1,0,0,"D"
"N","R2","Of_20-41","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-41_T9",0,0.000406778601908825,0.0284529243342653,0.0288597029361741,NA,-3.39064190067884,-1.54587309106268,-1.5397081435767,0.985904962264911,0.0140950377350887,0,"D"
"N","R2","Of_20-45","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-45_T9",0,0,0.0145922255926742,0.0145922255926742,NA,NA,-1.83587846486433,-1.83587846486433,1,0,0,"D"
"N","R2","Of_6-118","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-118_T9",0,0,0.0522186076502921,0.0522186076502921,NA,NA,-1.28217471232649,-1.28217471232649,1,0,0,"D"
"N","R2","Of_6-12","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-12_T9",0,0.000983972365230824,0.0583216175693268,0.0593055899345576,NA,-3.00701709851611,-1.23417043922214,-1.22690436964894,0.983408438119971,0.0165915618800288,0,"D"
"N","R2","Of_6-19","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-19_T9",0,0,0.0264005254791998,0.0264005254791998,NA,NA,-1.57838742879511,-1.57838742879511,1,0,0,"D"
"N","R2","Of_31-10","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-10_T9",0.145194700031264,0,0.0577567207702548,0.202951420801519,-0.838049236178525,NA,-1.23839747249887,-0.692607903971728,0.284583968627346,0,0.715416031372654,"B"
"N","R2","Of_31-3","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-3_T9",0.105736540432693,0,0.00159000550239714,0.10732654593509,-0.975774903270518,NA,-2.79860137275088,-0.9692928472115,0.0148146526895477,0,0.985185347310452,"B"
"N","R2","Of_31-8","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-8_T9",0.0292069087399769,0,0,0.0292069087399769,-1.53451440633401,NA,NA,-1.53451440633401,0,0,1,"B"
"N+P","R1","Of_34-22","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-22_T9",0,0.000170654510352754,0.0413721208303148,0.0415427753406676,NA,-3.76788222894745,-1.38329221559725,-1.38150449299893,0.995892077287728,0.00410792271227229,0,"D"
"N+P","R1","Of_34-4","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-4_T9",0,0,0.0622060949058313,0.0622060949058313,NA,NA,-1.20616706138167,-1.20616706138167,1,0,0,"D"
"N+P","R1","Of_34-9","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-9_T9",0,0,0.0287462386091349,0.0287462386091349,NA,NA,-1.54141897386708,-1.54141897386708,1,0,0,"D"
"N+P","R1","Of_20-17","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-17_T9",0,8.27492170249298e-05,0.0126421274156876,0.0127248766327126,NA,-4.08223610683758,-1.89817983688033,-1.89534641944243,0.99349705153037,0.00650294846963008,0,"D"
"N+P","R1","Of_20-34","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-34_T9",0,0,0.0201304437856968,0.0201304437856968,NA,NA,-1.69614665076685,-1.69614665076685,1,0,0,"D"
"N+P","R1","Of_20-40","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-40_T9",0,0,0.0204223523179086,0.0204223523179086,NA,NA,-1.68989423581182,-1.68989423581182,1,0,0,"D"
"N+P","R1","Of_6-115","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-115_T9",0,0,0.0182315415083425,0.0182315415083425,NA,NA,-1.73917660944355,-1.73917660944355,1,0,0,"D"
"N+P","R1","Of_6-61","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-61_T9",0,0,0.0338985009506208,0.0338985009506208,NA,NA,-1.46981950661309,-1.46981950661309,1,0,0,"D"
"N+P","R1","Of_6-86","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-86_T9",0,0.000282045750321227,0.011328194018451,0.0116102397687723,NA,-3.54968043955123,-1.94583932141092,-1.93515881133985,0.975707155412945,0.0242928445870548,0,"D"
"N+P","R1","Of_31-17","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-17_T9",0.06197483804083,0,0.00428187423107933,0.0662567122719093,-1.20778459950271,NA,-2.36836609312528,-1.17877011807061,0.0646255161817726,0,0.935374483818227,"B"
"N+P","R1","Of_31-39","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-39_T9",0.0470401182653856,0,0,0.0470401182653856,-1.32753159505395,NA,NA,-1.32753159505395,0,0,1,"B"
"N+P","R1","Of_31-40","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-40_T9",0.045692992593253,0,0.00046137260679212,0.0461543652000451,-1.34015039755437,NA,-3.33594819454009,-1.33578721787449,0.00999629406216314,0,0.990003705937837,"B"
"N+P","R2","Of_34-21","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-21_T9",0,0,0.0283080557240953,0.0283080557240953,NA,NA,-1.54808995816204,-1.54808995816204,1,0,0,"D"
"N+P","R2","Of_34-32","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-32_T9",0,0.000296614999061177,0.012675481980745,0.0129720969798062,NA,-3.52780689159219,-1.89703551778569,-1.88698981318768,0.977134383166968,0.0228656168330317,0,"D"
"N+P","R2","Of_34-7","Of_34",2017-12-15,30,"T9","Nutrients","Of_34-7_T9",0,0,0.0697193922076109,0.0697193922076109,NA,NA,-1.15664640759233,-1.15664640759233,1,0,0,"D"
"N+P","R2","Of_20-11","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-11_T9",0,2.6741179852898e-05,0.00506876881775296,0.00509550999760586,NA,-4.57281943505837,-2.29509751612791,-2.29281234196934,0.994752011110672,0.00524798888932853,0,"D"
"N+P","R2","Of_20-43","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-43_T9",0,0,0.00602888391166926,0.00602888391166926,NA,NA,-2.21976307855078,-2.21976307855078,1,0,0,"D"
"N+P","R2","Of_20-50","Of_20",2017-12-15,30,"T9","Nutrients","Of_20-50_T9",0,0,0.036383916988969,0.036383916988969,NA,NA,-1.43909054784751,-1.43909054784751,1,0,0,"D"
"N+P","R2","Of_6-49","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-49_T9",0,0,0.00358972814924269,0.00358972814924269,NA,NA,-2.44493843937549,-2.44493843937549,1,0,0,"D"
"N+P","R2","Of_6-72","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-72_T9",0,0,0.00223579396185703,0.00223579396185703,NA,NA,-2.65056822106803,-2.65056822106803,1,0,0,"D"
"N+P","R2","Of_6-82","Of_6",2017-12-15,30,"T9","Nutrients","Of_6-82_T9",0,0,0.00227220671437765,0.00227220671437765,NA,NA,-2.64355216115214,-2.64355216115214,1,0,0,"D"
"N+P","R2","Of_31-11","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-11_T9",0.0319554672870312,0,0,0.0319554672870312,-1.49545482735043,NA,NA,-1.49545482735043,0,0,1,"B"
"N+P","R2","Of_31-2","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-2_T9",0.0144514279535905,0,0.00163975104671373,0.0160911790003042,-1.84008923790917,NA,-2.78522208319961,-1.79341213398876,0.101903722945518,0,0.898096277054482,"B"
"N+P","R2","Of_31-49","Of_31",2017-12-15,30,"T9","Nutrients","Of_31-49_T9",0.130067642417211,0,0,0.130067642417211,-0.885830731628198,NA,NA,-0.885830731628198,0,0,1,"B"
"A","R1","Of_34-20","Of_34",2018-01-26,72,"T12","Nutrients","Of_34-20_T12",0,0,0.128900013898439,0.128900013898439,NA,NA,-0.889747035819483,-0.889747035819483,1,0,0,"D"
"A","R1","Of_34-36","Of_34",2018-01-26,72,"T12","Nutrients","Of_34-36_T12",0,0.000312088632784806,0.0568650114291495,0.0571771000619343,NA,-3.50572204936971,-1.24515486923017,-1.24277787519414,0.994541719806588,0.00545828019341224,0,"D"
"A","R1","Of_34-49","Of_34",2018-01-26,72,"T12","Nutrients","Of_34-49_T12",0,0,0.0320771675449373,0.0320771675449373,NA,NA,-1.49380398745499,-1.49380398745499,1,0,0,"D"
"A","R1","Of_20-14","Of_20",2018-01-26,72,"T12","Nutrients","Of_20-14_T12",0,0.000442836387955126,0.017522845506126,0.0179656818940811,NA,-3.35375670026208,-1.75639536807293,-1.74555629433929,0.975350983582704,0.0246490164172961,0,"D"
"A","R1","Of_20-19","Of_20",2018-01-26,72,"T12","Nutrients","Of_20-19_T12",0,0.000445020260015032,0.0293702237869031,0.0298152440469182,NA,-3.35162021685628,-1.53209274435065,-1.52556163147014,0.985074069515757,0.0149259304842427,0,"D"
"A","R1","Of_20-30","Of_20",2018-01-26,72,"T12","Nutrients","Of_20-30_T12",0,0,0.00361305607866096,0.00361305607866096,NA,NA,-2.44212529764482,-2.44212529764482,1,0,0,"D"
"A","R1","Of_6-112","Of_6",2018-01-26,72,"T12","Nutrients","Of_6-112_T12",0,0,0.0367442433780299,0.0367442433780299,NA,NA,-1.43481069100116,-1.43481069100116,1,0,0,"D"
"A","R1","Of_6-6","Of_6",2018-01-26,72,"T12","Nutrients","Of_6-6_T12",0,0,0.0548636705271067,0.0548636705271067,NA,NA,-1.26071514029069,-1.26071514029069,1,0,0,"D"
