"Sample","TotalSH","D.Prp","Community"
"Of_6-83_T19",0.0189445146201319,1,"D"
"Of_6-115_T19",0.051926710390832,1,"D"
"Of_20-34_T19",0.0449213084545319,1,"D"
"Of_34-9_T19",0.0167919070445207,1,"D"
"Of_34-22_T19",0.0344407674120305,1,"D"
"Of_6-85_T19",0.0434638907092478,1,"D"
"Of_6-116_T19",0.0322271124324226,1,"D"
"Of_20-3_T19",0.0177868859531093,1,"D"
"Of_20-4_T19",0.0239786237568094,1,"D"
"Of_34-8_T19",0.0889621193043926,1,"D"
"Of_6-112_T19",0.0476542547434339,1,"D"
"Of_34-23_T19",0.0117366331842196,1,"D"
"Of_6-12_T19",0.0572586932626016,1,"D"
"Of_6-19_T19",0.0839009986809648,1,"D"
"Of_20-19_T19",0.0100875157465524,1,"D"
"Of_34-49_T19",0.0281512119121959,1,"D"
"Of_6-9_T19",0.0339221722193982,1,"D"
"Of_6-96_T19",0.0134627556617872,1,"D"
"Of_20-46_T19",0.0335182988852598,1,"D"
"Of_34-44_T19",0.0672053790070539,1,"D"
"Of_6-61_T19",0.185902727380753,1,"D"
"Of_6-83_T22",0.019268838087698,1,"D"
"Of_20-46_T22",0.0311985316184017,1,"D"
"Of_34-44_T22",0.0918672837500168,1,"D"
"Of_6-61_T22",0.526422675695201,1,"D"
"Of_6-115_T22",0.119822835454423,1,"D"
"Of_20-17_T22",0.106743354018732,1,"D"
"Of_20-34_T22",0.381248906812386,1,"D"
"Of_34-22_T22",0.0954663981772785,1,"D"
"Of_6-85_T22",0.0402984306964557,1,"D"
"Of_6-112_T22",0.027766316684369,1,"D"
"Of_20-3_T22",0.0163719703743966,1,"D"
"Of_20-4_T22",0.0154225218619927,1,"D"
"Of_34-8_T22",0.0741431155279835,1,"D"
"Of_20-19_T22",0.460705411515465,1,"D"
"Of_20-30_T22",0.0296778984165402,1,"D"
"Of_34-49_T22",0.0619952990559531,1,"D"
"Of_6-9_T22",0.0900851330583466,1,"D"
"Of_6-96_T22",0.0498600728104817,1,"D"
"Of_20-2_T22",0.174349405652576,1,"D"
"Of_20-41_T19",0.0225207622110624,1,"D"
"Of_20-29_T22",0.0228430284638582,1,"D"
"Of_20-41_T22",0.0151091982086298,1,"D"
"Of_34-24_T22",0.0707249591969196,1,"D"
"Of_20-11_T22",0.025033015720909,1,"D"
"Of_20-50_T22",0.0195548310679966,1,"D"
"Of_34-21_T22",0.145791314946078,1,"D"
"Of_34-32_T22",0.070082023386884,1,"D"
"Of_34-24_T19",0.0185432668727562,1,"D"
"Of_34-25_T19",0.0377164056531233,1,"D"
"Of_6-49_T19",0.0333652576432399,1,"D"
"Of_6-72_T19",0.0930812861231553,1,"D"
"Of_34-32_T19",0.105855805087951,1,"D"
"Of_34-23_T22",0.0620121036079955,1,"D"
"Of_6-12_T22",0.1752267090057,1,"D"
"Of_31-34_T12",0.106443613579608,0.0205830430313103,"B"
"Of_31-41_T12",0.0471593666693886,0.00295646224986109,"B"
"Of_31-45_T12",0.0388656855165943,0.0197282312938546,"B"
"Of_31-25_T19",0.15932708876418,0.0298724953593148,"B"
"Of_31-41_T19",0.0359790678159528,0.0220106839644764,"B"
"Of_31-43_T19",0.0180541054312773,1,"D"
"Of_31-45_T19",0.066702274099773,0,"B"
"Of_31-46_T19",0.0733138972840175,0.0101094300265638,"B"
