Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,31,31-40,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 4,Sample 4_Plate5.csv
O. fav,6,6-40,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 5,Sample 5_Plate5.csv
O. fav,6,6-85,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 6,Sample 6_Plate5.csv
O. fav,6,6-116,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 7,Sample 7_Plate5.csv
O. fav,31,31-13,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 8,Sample 8_Plate5.csv
O. fav,31,31-24,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 9,Sample 9_Plate5.csv
O. fav,31,31-46,Control,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 10,Sample 10_Plate5.csv
O. fav,6,6-12,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 11,Sample 11_Plate5.csv
O. fav,6,6-19,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 12,Sample 12_Plate5.csv
O. fav,6,6-118,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 13,Sample 13_Plate5.csv
O. fav,31,31-3,N,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 14,Sample 14_Plate5.csv
O. fav,20,20-14,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 1,Sample 1_Plate6.csv
O. fav,20,20-19,Control,R1,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-04-05,"Ofav, CD",Plate6,Sample 2,Sample 2_Plate6.csv
