Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,34,34-36,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 19,Sample 19_Plate18.csv
O. fav,34,34-49,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 20,Sample 20_Plate18.csv
O. fav,6,6-9,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 21,Sample 21_Plate18.csv
O. fav,6,6-81,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 22,Sample 22_Plate18.csv
O. fav,6,6-96,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 1,Sample 1_Plate19.csv
O. fav,20,20-2,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 2,Sample 2_Plate19.csv
O. fav,20,20-28,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 3,Sample 3_Plate19.csv
O. fav,20,20-46,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 4,Sample 4_Plate19.csv
O. fav,34,34-5,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 5,Sample 5_Plate19.csv
O. fav,34,34-38,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 6,Sample 6_Plate19.csv
O. fav,34,34-44,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 7,Sample 7_Plate19.csv
O. fav,6,6-61,NP,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 8,Sample 8_Plate19.csv
O. fav,6,6-86,NP,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 9,Sample 9_Plate19.csv
O. fav,6,6-115,NP,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 10,Sample 10_Plate19.csv
O. fav,20,20-17,NP,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 11,Sample 11_Plate19.csv
O. fav,6,6-96,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 12,Sample 12_Plate19.csv
O. fav,20,20-2,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 13,Sample 13_Plate19.csv
O. fav,20,20-28,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 14,Sample 14_Plate19.csv
O. fav,20,20-46,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 15,Sample 15_Plate19.csv
O. fav,34,34-5,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 16,Sample 16_Plate19.csv
O. fav,34,34-38,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 17,Sample 17_Plate19.csv
O. fav,34,34-44,N,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 18,Sample 18_Plate19.csv
O. fav,6,6-61,NP,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 19,Sample 19_Plate19.csv
O. fav,6,6-86,NP,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 20,Sample 20_Plate19.csv
O. fav,6,6-115,NP,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 21,Sample 21_Plate19.csv
O. fav,20,20-17,NP,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate19,Sample 22,Sample 22_Plate19.csv
O. fav,20,20-34,NP,R1,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 1,Sample 1_Plate25.csv
O. fav,20,20-40,NP,R1,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 2,Sample 2_Plate25.csv
O. fav,34,34-4,NP,R1,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 3,Sample 3_Plate25.csv
O. fav,34,34-9,NP,R1,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 4,Sample 4_Plate25.csv
O. fav,34,34-22,NP,R1,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 5,Sample 5_Plate25.csv
O. fav,6,6-40,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 6,Sample 6_Plate25.csv
O. fav,6,6-85,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 7,Sample 7_Plate25.csv
O. fav,6,6-116,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 8,Sample 8_Plate25.csv
O. fav,20,20-3,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 9,Sample 9_Plate25.csv
O. fav,20,20-4,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 10,Sample 10_Plate25.csv
O. fav,20,20-21,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 11,Sample 11_Plate25.csv
O. fav,20,20-34,NP,R1,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 12,Sample 12_Plate25.csv
O. fav,20,20-40,NP,R1,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 13,Sample 13_Plate25.csv
O. fav,34,34-4,NP,R1,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 14,Sample 14_Plate25.csv
O. fav,34,34-9,NP,R1,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 15,Sample 15_Plate25.csv
O. fav,34,34-22,NP,R1,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 16,Sample 16_Plate25.csv
O. fav,6,6-40,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 17,Sample 17_Plate25.csv
O. fav,6,6-85,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 18,Sample 18_Plate25.csv
O. fav,6,6-116,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 19,Sample 19_Plate25.csv
O. fav,20,20-3,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 20,Sample 20_Plate25.csv
O. fav,20,20-4,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 21,Sample 21_Plate25.csv
O. fav,20,20-21,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate25,Sample 22,Sample 22_Plate25.csv
O. fav,34,34-8,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 1,Sample 1_Plate26.csv
O. fav,34,34-11,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 2,Sample 2_Plate26.csv
O. fav,34,34-23,Control,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 3,Sample 3_Plate26.csv
O. fav,6,6-12,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 4,Sample 4_Plate26.csv
O. fav,6,6-19,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 5,Sample 5_Plate26.csv
O. fav,6,6-118,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 6,Sample 6_Plate26.csv
O. fav,20,20-29,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 7,Sample 7_Plate26.csv
O. fav,20,20-41,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 8,Sample 8_Plate26.csv
O. fav,20,20-45,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 9,Sample 9_Plate26.csv
O. fav,34,34-10,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 10,Sample 10_Plate26.csv
O. fav,34,34-24,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 11,Sample 11_Plate26.csv
O. fav,34,34-8,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 12,Sample 12_Plate26.csv
O. fav,34,34-11,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 13,Sample 13_Plate26.csv
O. fav,34,34-23,Control,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 14,Sample 14_Plate26.csv
O. fav,6,6-12,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 15,Sample 15_Plate26.csv
O. fav,6,6-19,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 16,Sample 16_Plate26.csv
O. fav,6,6-118,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 17,Sample 17_Plate26.csv
O. fav,20,20-29,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 18,Sample 18_Plate26.csv
O. fav,20,20-41,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 19,Sample 19_Plate26.csv
O. fav,20,20-45,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 20,Sample 20_Plate26.csv
O. fav,34,34-10,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 21,Sample 21_Plate26.csv
O. fav,34,34-24,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate26,Sample 22,Sample 22_Plate26.csv
O. fav,34,34-25,N,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 1,Sample 1_Plate27.csv
O. fav,6,6-49,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 2,Sample 2_Plate27.csv
O. fav,6,6-72,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 3,Sample 3_Plate27.csv
O. fav,6,6-82,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 4,Sample 4_Plate27.csv
O. fav,20,20-11,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 5,Sample 5_Plate27.csv
O. fav,20,20-43,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 6,Sample 6_Plate27.csv
O. fav,20,20-50,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 7,Sample 7_Plate27.csv
O. fav,34,34-7,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 8,Sample 8_Plate27.csv
O. fav,34,34-21,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 9,Sample 9_Plate27.csv
O. fav,34,34-32,NP,R2,2017-11-15,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 10,Sample 10_Plate27.csv
O. fav,34,34-25,N,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 11,Sample 11_Plate27.csv
O. fav,6,6-49,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 12,Sample 12_Plate27.csv
O. fav,6,6-72,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 13,Sample 13_Plate27.csv
O. fav,6,6-82,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 14,Sample 14_Plate27.csv
O. fav,20,20-11,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 15,Sample 15_Plate27.csv
O. fav,20,20-43,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 16,Sample 16_Plate27.csv
O. fav,20,20-50,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 17,Sample 17_Plate27.csv
O. fav,34,34-7,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 18,Sample 18_Plate27.csv
O. fav,34,34-21,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 19,Sample 19_Plate27.csv
O. fav,34,34-32,NP,R2,2018-01-26,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 20,Sample 20_Plate27.csv
O. fav,34,34-32,NP,R2,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 21,Sample 21_Plate27.csv
O. fav,34,34-32,NP,R2,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Plate27,Sample 22,Sample 22_Plate27.csv
O. fav,6,6-83,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 1,Plate28,Sample 1_Plate28.csv
O. fav,6,6-112,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 2,Plate28,Sample 2_Plate28.csv
O. fav,20,20-19,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 3,Plate28,Sample 3_Plate28.csv
O. fav,20,20-30,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 4,Plate28,Sample 4_Plate28.csv
O. fav,34,34-20,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 5,Plate28,Sample 5_Plate28.csv
O. fav,34,34-49,Control,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 6,Plate28,Sample 6_Plate28.csv
O. fav,6,6-9,N,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 7,Plate28,Sample 7_Plate28.csv
O. fav,6,6-96,N,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 8,Plate28,Sample 8_Plate28.csv
O. fav,20,20-2,N,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 9,Plate28,Sample 9_Plate28.csv
O. fav,20,20-46,N,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 10,Plate28,Sample 10_Plate28.csv
O. fav,34,34-44,N,R1,2018-02-23,,,,,2018-10-29,"Ofav, C, D",Sample 11,Plate28,Sample 11_Plate28.csv
O. fav,6,6-83,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 12,Plate28,Sample 12_Plate28.csv
O. fav,6,6-112,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 13,Plate28,Sample 13_Plate28.csv
O. fav,20,20-19,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 14,Plate28,Sample 14_Plate28.csv
O. fav,20,20-30,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 15,Plate28,Sample 15_Plate28.csv
O. fav,34,34-20,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 16,Plate28,Sample 16_Plate28.csv
O. fav,34,34-49,Control,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 17,Plate28,Sample 17_Plate28.csv
O. fav,6,6-9,N,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 18,Plate28,Sample 18_Plate28.csv
O. fav,6,6-96,N,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 19,Plate28,Sample 19_Plate28.csv
O. fav,20,20-2,N,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 20,Plate28,Sample 20_Plate28.csv
O. fav,20,20-46,N,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 21,Plate28,Sample 21_Plate28.csv
O. fav,34,34-44,N,R1,2018-03-06,,,,,2018-10-29,"Ofav, C, D",Sample 22,Plate28,Sample 22_Plate28.csv
O. fav,6,6-61,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 1,Plate29,Sample 1_Plate29.csv
O. fav,6,6-115,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 2,Plate29,Sample 2_Plate29.csv
O. fav,20,20-17,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 3,Plate29,Sample 3_Plate29.csv
O. fav,20,20-34,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 4,Plate29,Sample 4_Plate29.csv
O. fav,34,34-9,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 5,Plate29,Sample 5_Plate29.csv
O. fav,34,34-22,NP,R1,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 6,Plate29,Sample 6_Plate29.csv
O. fav,6,6-85,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 7,Plate29,Sample 7_Plate29.csv
O. fav,6,6-116,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 8,Plate29,Sample 8_Plate29.csv
O. fav,20,20-3,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 9,Plate29,Sample 9_Plate29.csv
O. fav,20,20-4,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 10,Plate29,Sample 10_Plate29.csv
O. fav,34,34-8,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 11,Plate29,Sample 11_Plate29.csv
O. fav,6,6-61,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 12,Plate29,Sample 12_Plate29.csv
O. fav,6,6-115,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 13,Plate29,Sample 13_Plate29.csv
O. fav,20,20-17,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 14,Plate29,Sample 14_Plate29.csv
O. fav,20,20-34,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 15,Plate29,Sample 15_Plate29.csv
O. fav,34,34-9,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 16,Plate29,Sample 16_Plate29.csv
O. fav,34,34-22,NP,R1,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 17,Plate29,Sample 17_Plate29.csv
O. fav,6,6-85,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 18,Plate29,Sample 18_Plate29.csv
O. fav,6,6-116,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 19,Plate29,Sample 19_Plate29.csv
O. fav,20,20-3,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 20,Plate29,Sample 20_Plate29.csv
O. fav,20,20-4,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 21,Plate29,Sample 21_Plate29.csv
O. fav,34,34-8,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 22,Plate29,Sample 22_Plate29.csv
O. fav,34,34-23,Control,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 1,Plate30,Sample 1_Plate30.csv
O. fav,6,6-12,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 2,Plate30,Sample 2_Plate30.csv
O. fav,6,6-19,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 3,Plate30,Sample 3_Plate30.csv
O. fav,20,20-29,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 4,Plate30,Sample 4_Plate30.csv
O. fav,20,20-41,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 5,Plate30,Sample 5_Plate30.csv
O. fav,34,34-24,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 6,Plate30,Sample 6_Plate30.csv
O. fav,34,34-25,N,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 7,Plate30,Sample 7_Plate30.csv
O. fav,6,6-72,NP,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 8,Plate30,Sample 8_Plate30.csv
O. fav,20,20-11,NP,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 9,Plate30,Sample 9_Plate30.csv
O. fav,20,20-50,NP,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 10,Plate30,Sample 10_Plate30.csv
O. fav,34,34-21,NP,R2,2018-02-23,,,,,2018-10-30,"Ofav, C, D",Sample 11,Plate30,Sample 11_Plate30.csv
O. fav,34,34-23,Control,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 12,Plate30,Sample 12_Plate30.csv
O. fav,6,6-12,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 13,Plate30,Sample 13_Plate30.csv
O. fav,6,6-19,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 14,Plate30,Sample 14_Plate30.csv
O. fav,20,20-29,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 15,Plate30,Sample 15_Plate30.csv
O. fav,20,20-41,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 16,Plate30,Sample 16_Plate30.csv
O. fav,34,34-24,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 17,Plate30,Sample 17_Plate30.csv
O. fav,34,34-25,N,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 18,Plate30,Sample 18_Plate30.csv
O. fav,6,6-72,NP,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 19,Plate30,Sample 19_Plate30.csv
O. fav,20,20-11,NP,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 20,Plate30,Sample 20_Plate30.csv
O. fav,20,20-50,NP,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 21,Plate30,Sample 21_Plate30.csv
O. fav,34,34-21,NP,R2,2018-03-06,,,,,2018-10-30,"Ofav, C, D",Sample 22,Plate30,Sample 22_Plate30.csv
O. fav,6,6-116,Control,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 1,Rerun1,Sample 1_Rerun1.csv
O. fav,6,6-118,N,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 2,Rerun1,Sample 2_Rerun1.csv
O. fav,6,6-12,N,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 3,Rerun1,Sample 3_Rerun1.csv
O. fav,6,6-61,NP,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 4,Rerun1,Sample 4_Rerun1.csv
O. fav,6,6-83,Control,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 5,Rerun1,Sample 5_Rerun1.csv
O. fav,6,6-86,NP,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 6,Rerun1,Sample 6_Rerun1.csv
O. fav,6,6-9,N,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 7,Rerun1,Sample 7_Rerun1.csv
O. fav,6,6-96,N,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 8,Rerun1,Sample 8_Rerun1.csv
O. fav,20,20-30,Control,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 9,Rerun1,Sample 9_Rerun1.csv
O. fav,34,34-10,N,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 10,Rerun1,Sample 10_Rerun1.csv
O. fav,34,34-11,Control,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 11,Rerun1,Sample 11_Rerun1.csv
O. fav,34,34-20,Control,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 12,Rerun1,Sample 12_Rerun1.csv
O. fav,34,34-21,NP,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 13,Rerun1,Sample 13_Rerun1.csv
O. fav,34,34-22,NP,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 14,Rerun1,Sample 14_Rerun1.csv
O. fav,34,34-23,Control,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 15,Rerun1,Sample 15_Rerun1.csv
O. fav,34,34-24,N,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 16,Rerun1,Sample 16_Rerun1.csv
O. fav,34,34-25,N,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 17,Rerun1,Sample 17_Rerun1.csv
O. fav,34,34-32,NP,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 18,Rerun1,Sample 18_Rerun1.csv
O. fav,34,34-36,Control,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 19,Rerun1,Sample 19_Rerun1.csv
O. fav,34,34-38,N,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 20,Rerun1,Sample 20_Rerun1.csv
O. fav,34,34-4,NP,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 21,Rerun1,Sample 21_Rerun1.csv
O. fav,34,34-44,N,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 22,Rerun1,Sample 22_Rerun1.csv
O. fav,34,34-49,Control,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 1,Rerun2,Sample 1_Rerun2.csv
O. fav,34,34-5,N,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 2,Rerun2,Sample 2_Rerun2.csv
O. fav,34,34-7,NP,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 3,Rerun2,Sample 3_Rerun2.csv
O. fav,34,34-8,Control,R2,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 4,Rerun2,Sample 4_Rerun2.csv
O. fav,34,34-9,NP,R1,2017-11-15,,,,,2018-11-05,"Ofav, C, D",Sample 5,Rerun2,Sample 5_Rerun2.csv
O. fav,31,31-34,Control,R1,2018-01-26,,,,,2018-11-05,"Ofav, C, D",Sample 6,Rerun2,Sample 6_Rerun2.csv
O. fav,31,31-41,Control,R1,2018-01-26,,,,,2018-11-05,"Ofav, C, D",Sample 7,Rerun2,Sample 7_Rerun2.csv
O. fav,31,31-45,Control,R1,2018-01-26,,,,,2018-11-05,"Ofav, C, D",Sample 8,Rerun2,Sample 8_Rerun2.csv
O. fav,6,6-112,Control,R1,2018-01-26,,,,,2018-11-05,"Ofav, C, D",Sample 9,Rerun2,Sample 9_Rerun2.csv
O. fav,6,6-9,N,R1,2018-01-26,,,,,2018-11-05,"Ofav, C, D",Sample 10,Rerun2,Sample 10_Rerun2.csv
O. fav,20,20-11,NP,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 11,Rerun2,Sample 11_Rerun2.csv
O. fav,20,20-2,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 12,Rerun2,Sample 12_Rerun2.csv
O. fav,20,20-29,N,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 13,Rerun2,Sample 13_Rerun2.csv
O. fav,20,20-30,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 14,Rerun2,Sample 14_Rerun2.csv
O. fav,20,20-50,NP,R2,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 15,Rerun2,Sample 15_Rerun2.csv
O. fav,31,31-25,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 16,Rerun2,Sample 16_Rerun2.csv
O. fav,31,31-41,Control,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 17,Rerun2,Sample 17_Rerun2.csv
O. fav,31,31-43,N,R1,2018-02-23,,,,,2018-11-05,"Ofav, C, D",Sample 18,Rerun2,Sample 18_Rerun2.csv
