,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
308,Sample 8,Plate8.csv,35.6206817627,NA,NA,23.7004070282,0.3703419977,NA,NA,0.0187118521,2,0,0,2,0.0006232908,0,0,Sample 8_Plate8.csv,0.0006232908,-3.2053093138,NA,NA,-3.2053093138,NP,R2,31,31-49,2017-12-15,31-49_2017-12-15,0,0,1,B,2
300,Sample 1,Plate8.csv,35.4797401428,NA,NA,22.6531591416,0.3354106896,NA,NA,0.0639566625,2,0,0,2,0.0003325564,0,0,Sample 1_Plate8.csv,0.0003325564,-3.4781346853,NA,NA,-3.4781346853,N,R2,31,31-8,2017-12-15,31-8_2017-12-15,0,0,1,B,2
287,Sample 13,Plate7.csv,NA,30.4232887268,29.9127235413,19.123793602,NA,NA,1.3622589736,0.357886761,0,1,2,2,0,0,0.0004551328,Sample 13_Plate7.csv,0.0004551328,NA,NA,-3.3418618497,-3.3418618497,NP,R2,20,20-11,2018-01-26,20-11_2018-01-26,1,0,0,D,2
266,Sample 1,Plate6.csv,NA,NA,28.9672927857,19.3475551605,NA,NA,0.0088663482,0.6285747269,0,0,2,2,0,0,0.0010235289,Sample 1_Plate6.csv,0.0010235289,NA,NA,-2.9898998925,-2.9898998925,Control,R1,20,20-14,2018-01-26,20-14_2018-01-26,1,0,0,D,2
270,Sample 13,Plate6.csv,NA,30.5717338562,28.6970357895,19.3201217652,NA,0.4591349551,0.4149394325,0.4276104611,0,2,2,2,0,4.30774872792639E-05,0.0012111482,Sample 13_Plate6.csv,0.0012542257,NA,-4.3657496371,-2.916802705,-2.9016243021,NP,R1,20,20-17,2018-01-26,20-17_2018-01-26,0.9656541187,0.0343458813,0,D,2
276,Sample 2,Plate6.csv,NA,NA,29.0903282166,20.5671234131,NA,NA,0.3514925783,0.2507528438,0,0,2,2,0,0,0.0021887158,Sample 2_Plate6.csv,0.0021887158,NA,NA,-2.6598106219,-2.6598106219,Control,R1,20,20-19,2018-01-26,20-19_2018-01-26,1,0,0,D,2
281,Sample 7,Plate6.csv,NA,NA,29.315533638,20.101723671,NA,NA,0.5673235549,0.1902191798,0,0,2,2,0,0,0.001356115,Sample 7_Plate6.csv,0.001356115,NA,NA,-2.8677034913,-2.8677034913,N,R1,20,20-2,2018-01-26,20-2_2018-01-26,1,0,0,D,2
294,Sample 3,Plate7.csv,NA,NA,29.2274084092,18.6088590622,NA,NA,0.4032435135,0.7498241294,0,0,2,2,0,0,0.0005121861,Sample 3_Plate7.csv,0.0005121861,NA,NA,-3.2905721807,-3.2905721807,Control,R2,20,20-21,2018-01-26,20-21_2018-01-26,1,0,0,D,2
282,Sample 8,Plate6.csv,NA,32.2261909485,28.3937530518,21.4337186814,NA,NA,0.183668548,0.2939665134,0,1,2,2,0,0,0.0064677104,Sample 8_Plate6.csv,0.0064677104,NA,NA,-2.1892494332,-2.1892494332,N,R1,20,20-28,2018-01-26,20-28_2018-01-26,1,0,0,D,2
284,Sample 1,Plate7.csv,NA,NA,30.397556305,20.6257209778,NA,NA,0.1357924254,0.1220464837,0,0,2,2,0,0,0.0009211156,Sample 1_Plate7.csv,0.0009211156,NA,NA,-3.035685863,-3.035685863,Control,R2,20,20-3,2018-01-26,20-3_2018-01-26,1,0,0,D,2
271,Sample 14,Plate6.csv,NA,NA,27.4119348526,19.2796382904,NA,NA,0.147454627,0.0574168203,0,0,2,2,0,0,0.0028698849,Sample 14_Plate6.csv,0.0028698849,NA,NA,-2.5421355157,-2.5421355157,NP,R1,20,20-34,2018-01-26,20-34_2018-01-26,1,0,0,D,2
293,Sample 2,Plate7.csv,NA,NA,29.622297287,20.2233905792,NA,NA,0.2897545258,0.2866633074,0,0,2,2,0,0,0.0011928253,Sample 2_Plate7.csv,0.0011928253,NA,NA,-2.9234231624,-2.9234231624,Control,R2,20,20-4,2018-01-26,20-4_2018-01-26,1,0,0,D,2
272,Sample 15,Plate6.csv,NA,NA,28.4779701233,18.6729488373,NA,NA,0.4339034913,0.3463729163,0,0,2,2,0,0,0.0009001692,Sample 15_Plate6.csv,0.0009001692,NA,NA,-3.0456758321,-3.0456758321,NP,R1,20,20-40,2018-01-26,20-40_2018-01-26,1,0,0,D,2
298,Sample 8,Plate7.csv,NA,NA,29.814409256,19.7179641724,NA,NA,0.171810785,0.1215016093,0,0,2,2,0,0,0.000735524,Sample 8_Plate7.csv,0.000735524,NA,NA,-3.1334031366,-3.1334031366,N,R2,20,20-41,2018-01-26,20-41_2018-01-26,1,0,0,D,2
288,Sample 14,Plate7.csv,NA,NA,28.1387300491,19.5058116913,NA,NA,0.5534454406,0.1887585385,0,0,2,2,0,0,0.0020284407,Sample 14_Plate7.csv,0.0020284407,NA,NA,-2.6928376927,-2.6928376927,NP,R2,20,20-43,2018-01-26,20-43_2018-01-26,1,0,0,D,2
299,Sample 9,Plate7.csv,NA,30.3149894714,27.5538520813,20.6141490937,NA,NA,0.0086208849,0.1379152779,0,1,2,2,0,0,0.0065595028,Sample 9_Plate7.csv,0.0065595028,NA,NA,-2.1831290771,-2.1831290771,N,R2,20,20-45,2018-01-26,20-45_2018-01-26,1,0,0,D,2
283,Sample 9,Plate6.csv,NA,30.726839447,28.6858968735,20.5667734147,NA,NA,0.0852094638,0.0285425201,0,1,2,2,0,0,0.0028962096,Sample 9_Plate6.csv,0.0028962096,NA,NA,-2.5381700165,-2.5381700165,N,R1,20,20-46,2018-01-26,20-46_2018-01-26,1,0,0,D,2
289,Sample 15,Plate7.csv,NA,33.0874771118,29.0150537491,21.3589830399,NA,NA,0.444672854,0.2139994432,0,1,2,2,0,0,0.0039922962,Sample 15_Plate7.csv,0.0039922962,NA,NA,-2.3987772493,-2.3987772493,NP,R2,20,20-50,2018-01-26,20-50_2018-01-26,1,0,0,D,2
2,Sample 10,Plate10.csv,27.6520709992,NA,29.6079444885,21.8948984146,0.2591849109,NA,0.214421586,0.0199297274,2,0,2,2,0.0446652017,0,0.0038377038,Sample 10_Plate10.csv,0.0485029056,-1.3500307003,NA,-2.415928543,-1.3142322443,N,R2,31,31-10,2018-01-26,31-10_2018-01-26,0.0791231741,0,0.9208768259,B,2
7,Sample 2,Plate10.csv,28.6425228119,32.8200019836,34.1072921753,22.7479448318,0.3419383935,NA,NA,0.2446958359,2,1,1,2,0.0406074908,0,0,Sample 2_Plate10.csv,0.0406074908,-1.3913938459,NA,NA,-1.3913938459,Control,R2,31,31-13,2018-01-26,31-13_2018-01-26,0,0,1,B,2
310,Sample 10,Plate9.csv,NA,NA,36.5160045624,22.6579971314,NA,NA,0.5033318263,0.3066510288,0,0,2,2,0,0,5.42317684058664E-05,Sample 10_Plate9.csv,5.42317684058664E-05,NA,NA,-4.2657462337,-4.2657462337,NP,R1,31,31-17,2018-01-26,31-17_2018-01-26,1,0,0,D,2
6,Sample 14,Plate10.csv,28.7333803177,32.3868774414,31.8054399491,23.2321605683,0.0138929499,NA,1.558841316,0.3600244491,2,1,2,2,0.0533357959,0,0.0021140508,Sample 14_Plate10.csv,0.0554498468,-1.2729812195,NA,-2.6748845717,-1.2560996495,NP,R2,31,31-2,2018-01-26,31-2_2018-01-26,0.0381254587,0,0.9618745413,B,2
8,Sample 3,Plate10.csv,28.1614084244,NA,32.5719470978,24.4626321793,0.1203295897,NA,0.0622694399,0.7217334235,2,0,2,2,0.186040861,0,0.0029159673,Sample 3_Plate10.csv,0.1889568283,-0.7303916592,NA,-2.5352173516,-0.7236374094,Control,R2,31,31-24,2018-01-26,31-24_2018-01-26,0.0154319234,0,0.9845680766,B,2
13,Sample 8,Plate10.csv,27.7996854782,NA,35.4080295563,23.3499317169,0.0418245094,NA,1.6992287595,0.4538939101,2,0,2,2,0.1105456308,0,0.0001888342,Sample 8_Plate10.csv,0.110734465,-0.9564584176,NA,-3.7239194572,-0.9557171883,N,R2,31,31-3,2018-01-26,31-3_2018-01-26,0.001705288,0,0.998294712,B,2
