Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_119,2018-02-15,Ambient,R2,0.572,G_62,92,T17,Ac_119_T17,Heat,Symbiodinium
Ac,Ac_122,2018-02-15,Ambient,R1,0.59,G_62,92,T17,Ac_122_T17,Heat,Symbiodinium
Ac,Ac_125,2018-02-15,Ambient,R2,0.567,G_62,92,T17,Ac_125_T17,Heat,Symbiodinium
Ac,Ac_217,2018-02-15,Ambient,R2,0.571,G_62,92,T17,Ac_217_T17,Heat,Symbiodinium
Ac,Ac_220,2018-02-15,Ambient,R1,0.588,G_62,92,T17,Ac_220_T17,Heat,Symbiodinium
Ac,Ac_226,2018-02-15,Ambient,R1,0.582,G_62,92,T17,Ac_226_T17,Heat,Symbiodinium
Ac,Ac_170,2018-02-15,NH4,R1,0.561,G_07,92,T17,Ac_170_T17,Heat,Symbiodinium
Ac,Ac_174,2018-02-15,NH4,R2,0.505,G_07,92,T17,Ac_174_T17,Heat,Symbiodinium
Ac,Ac_262,2018-02-15,NH4,R1,0.585,G_07,92,T17,Ac_262_T17,Heat,Symbiodinium
Ac,Ac_271,2018-02-15,NH4,R2,0.547,G_07,92,T17,Ac_271_T17,Heat,Symbiodinium
Ac,Ac_150,2018-02-15,NH4,R1,0.589,G_31,92,T17,Ac_150_T17,Heat,Symbiodinium
Ac,Ac_154,2018-02-15,NH4,R2,0.568,G_31,92,T17,Ac_154_T17,Heat,Symbiodinium
Ac,Ac_249,2018-02-15,NH4,R1,0.532,G_31,92,T17,Ac_249_T17,Heat,Symbiodinium
Ac,Ac_299,2018-02-15,NH4,R2,0.509,G_31,92,T17,Ac_299_T17,Heat,Symbiodinium
Ac,Ac_177,2018-02-15,NH4,R1,0.587,G_48,92,T17,Ac_177_T17,Heat,Symbiodinium
Ac,Ac_187,2018-02-15,NH4,R2,0.482,G_48,92,T17,Ac_187_T17,Heat,Symbiodinium
Ac,Ac_190,2018-02-15,NH4,R1,0.575,G_48,92,T17,Ac_190_T17,Heat,Symbiodinium
Ac,Ac_278,2018-02-15,NH4,R2,0.495,G_48,92,T17,Ac_278_T17,Heat,Symbiodinium
Ac,Ac_282,2018-02-15,NH4,R1,0.585,G_48,92,T17,Ac_282_T17,Heat,Symbiodinium
Ac,Ac_285,2018-02-15,NH4,R2,0.487,G_48,92,T17,Ac_285_T17,Heat,Symbiodinium
Ac,Ac_288,2018-02-15,NH4,R1,0.605,G_48,92,T17,Ac_288_T17,Heat,Symbiodinium
Ac,Ac_117,2018-02-15,NH4,R1,0.586,G_62,92,T17,Ac_117_T17,Heat,Symbiodinium
Ac,Ac_120,2018-02-15,NH4,R2,0.524,G_62,92,T17,Ac_120_T17,Heat,Symbiodinium
Ac,Ac_123,2018-02-15,NH4,R1,0.582,G_62,92,T17,Ac_123_T17,Heat,Symbiodinium
Ac,Ac_126,2018-02-15,NH4,R2,0.48,G_62,92,T17,Ac_126_T17,Heat,Symbiodinium
Ac,Ac_130,2018-02-15,NH4,R1,0.562,G_62,92,T17,Ac_130_T17,Heat,Symbiodinium
Ac,Ac_221,2018-02-15,NH4,R1,0.584,G_62,92,T17,Ac_221_T17,Heat,Symbiodinium
Ac,Ac_224,2018-02-15,NH4,R2,0.535,G_62,92,T17,Ac_224_T17,Heat,Symbiodinium
Ac,Ac_230,2018-02-15,NH4,R2,0.569,G_62,92,T17,Ac_230_T17,Heat,Symbiodinium
Ac,Ac_165,2018-02-15,NH4+PO4,R1,0.598,G_07,92,T17,Ac_165_T17,Heat,Symbiodinium
Ac,Ac_171,2018-02-15,NH4+PO4,R1,0.581,G_07,92,T17,Ac_171_T17,Heat,Symbiodinium
Ac,Ac_263,2018-02-15,NH4+PO4,R1,0.53,G_07,92,T17,Ac_263_T17,Heat,Symbiodinium
Ac,Ac_272,2018-02-15,NH4+PO4,R2,0.568,G_07,92,T17,Ac_272_T17,Heat,Symbiodinium
Ac,Ac_145,2018-02-15,NH4+PO4,R1,0.555,G_08,92,T17,Ac_145_T17,Heat,Symbiodinium
Ac,Ac_233,2018-02-15,NH4+PO4,R2,0.577,G_08,92,T17,Ac_233_T17,Heat,Symbiodinium
Ac,Ac_151,2018-02-15,NH4+PO4,R1,0.485,G_31,92,T17,Ac_151_T17,Heat,Symbiodinium
