Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate19_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 13:33:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,19.4391345978,19.4029769897,0.0511359274,,,,0,0.02,1,3,18,76.9210586548,,,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.4299850464,,,,,0,0.02,1,3,39,64.6995697021,,,,N,Y,Y,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.5893325806,28.8926315308,0.4289281368,,,,0,0.02,1,3,26,70.0651016235,,,,N,Y,Y,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,19.3668174744,19.4029769897,0.0511359274,,,,0,0.02,1,3,18,77.0693969727,,,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,34.4299850464,34.4299850464,,,,,0,0.02,1,3,33,62.9089355469,,,,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,29.1959285736,28.8926315308,0.4289281368,,,,0,0.02,1,3,27,72.5976715088,,,,N,N,N,N
E9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
E10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
E11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
E12,,,,,,,,,,,,,,,,,,,,,N,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,18.526802063,18.5465164185,0.0278816577,,,,0,0.02,1,3,16,77.0711898804,,,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,35.7956161499,36.1954269409,0.565415144,,,,0,0.02,1,3,35,60.9773864746,,,,Y,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.5093307495,28.6714382172,0.2292545736,,,,0,0.02,1,3,26,71.8556060791,,,,Y,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,18.5662326813,18.5465164185,0.0278816577,,,,0,0.02,1,3,17,76.9179840088,,,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,36.5952339172,36.1954269409,0.565415144,,,,0,0.02,1,3,35,61.117565155,,,,Y,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,28.8335456848,28.6714382172,0.2292545736,,,,0,0.02,1,3,27,70.9555587769,,,,Y,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,19.2563552856,19.1329174042,0.1745675206,,,,0,0.02,1,3,18,76.9210586548,,,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.8327980042,,,,,0,0.02,1,3,39,64.8486175537,,,,N,N,Y,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,29.5450782776,29.223236084,0.4551549554,,,,0,0.02,1,3,28,71.704574585,,,,N,N,Y,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,19.0094795227,19.1329174042,0.1745675206,,,,0,0.02,1,3,17,76.9203414917,,,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,34.8327980042,34.8327980042,,,,,0,0.02,1,3,33,65.741027832,,,,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,28.901391983,29.223236084,0.4551549554,,,,0,0.02,1,3,27,72.0014419556,,,,N,N,N,N
