Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.7781085968,27.0464134216,0.3794389665,,,,0,0.02,1,3,25,,N,Y,N,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,23.8340301514,23.8340301514,,,,,0,0.02,1,3,22,,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,33.5392150879,33.1232872009,0.5882108808,,,,0,0.02,1,3,32,,N,Y,N,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.3147163391,27.0464134216,0.3794389665,,,,0,0.02,1,3,25,,N,Y,N,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,21.281167984,21.0030097961,0.3933737278,,,,0,0.02,1,3,20,,N,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.0001888275,28.2702255249,0.3818882108,,,,0,0.02,1,3,26,,N,N,Y,N,Y
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,20.7248535156,21.0030097961,0.3933737278,,,,0,0.02,1,3,19,,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.5402603149,28.2702255249,0.3818882108,,,,0,0.02,1,3,26,,N,N,Y,N,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,18.779706955,18.7315139771,0.0681538135,,,,0,0.02,1,3,16,,N,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,27.1562175751,27.569316864,0.5842119455,,,,0,0.02,1,3,25,,N,Y,Y,N,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,N,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,18.6833229065,18.7315139771,0.0681538135,,,,0,0.02,1,3,16,,N,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,27.9824180603,27.569316864,0.5842119455,,,,0,0.02,1,3,26,,N,Y,N,N,Y
