Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,29.2751197815,29.8137969971,0.7618032694,,,,0,0.02,1,3,28,,N,Y,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,28.0452327728,28.2017230988,0.2213107347,,,,0,0.02,1,3,26,,N,Y,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,18.350725174,18.2624053955,0.1249030307,,,,0,0.02,1,3,17,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,30.3524723053,29.8137969971,0.7618032694,,,,0,0.02,1,3,29,,N,Y,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,28.3582134247,28.2017230988,0.2213107347,,,,0,0.02,1,3,26,,N,Y,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,18.4555950165,18.5875587463,0.1866262406,,,,0,0.02,1,3,16,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,29.6203994751,29.888923645,0.37975052,,,,0,0.02,1,3,28,,N,N,Y,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,18.7195243835,18.5875587463,0.1866262406,,,,0,0.02,1,3,17,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,30.1574478149,29.888923645,0.37975052,,,,0,0.02,1,3,29,,N,N,Y,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,17.9068374634,18.1409072876,0.3310233653,,,,0,0.02,1,3,16,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,35.6989021301,36.0749130249,0.5317569971,,,,0,0.02,1,3,34,,N,Y,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,34.7324295044,34.7324295044,,,,,0,0.02,1,3,33,,N,Y,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,18.3749752045,18.1409072876,0.3310233653,,,,0,0.02,1,3,17,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,36.450920105,36.0749130249,0.5317569971,,,,0,0.02,1,3,35,,N,Y,Y,Y
