Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate7_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-25 12:51:59 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,22.4737663269,22.306180954,0.2370015085,,,,0,0.02,1,3,20,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,36.9340591431,35.4000701904,2.1693880558,,,,0,0.02,1,3,35,,N,Y,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,29.0152378082,28.9330558777,0.1162227988,,,,0,0.02,1,3,27,,N,Y,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,20.2491168976,20.070098877,0.2531697154,,,,0,0.02,1,3,18,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,34.2679977417,37.0307884216,3.9071760178,,,,0,0.02,1,3,34,,N,Y,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,26.8919525146,29.0758266449,3.0884644985,,,,0,0.02,1,3,25,,N,Y,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,19.8910808563,20.070098877,0.2531697154,,,,0,0.02,1,3,17,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,39.7935791016,37.0307884216,3.9071760178,,,,0,0.02,1,3,39,,N,Y,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.2597007751,29.0758266449,3.0884644985,,,,0,0.02,1,3,29,,N,Y,N,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,19.6905174255,19.6359825134,0.0771253631,,,,0,0.02,1,3,18,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,28.0051555634,28.2495040894,0.3455596566,,,,0,0.02,1,3,26,,N,N,N,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,19.581445694,19.6359825134,0.0771253631,,,,0,0.02,1,3,17,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,28.493850708,28.2495040894,0.3455596566,,,,0,0.02,1,3,27,,N,N,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,20.4148025513,20.5503406525,0.1916798204,,,,0,0.02,1,3,19,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,36.6722984314,36.6722984314,,,,,0,0.02,1,3,35,,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.4361209869,28.3692398071,0.0945829228,,,,0,0.02,1,3,26,,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,20.6858787537,20.5503406525,0.1916798204,,,,0,0.02,1,3,19,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.6722984314,,,,,0,0.02,1,3,39,,N,N,Y,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.3023605347,28.3692398071,0.0945829228,,,,0,0.02,1,3,26,,N,N,Y,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,19.838727951,19.8859367371,0.0667646527,,,,0,0.02,1,3,18,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.9568099976,,,,,0,0.02,1,3,39,,N,N,Y,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.8078422546,27.6196804047,0.2661010325,,,,0,0.02,1,3,26,,N,N,Y,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,19.9331474304,19.8859367371,0.0667646527,,,,0,0.02,1,3,18,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,38.9568099976,38.9568099976,,,,,0,0.02,1,3,39,,N,N,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,27.4315185547,27.6196804047,0.2661010325,,,,0,0.02,1,3,25,,N,N,N,Y
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.5221672058,19.3288650513,0.2733691931,,,,0,0.02,1,3,17,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,26.561674118,26.8034496307,0.3419222236,,,,0,0.02,1,3,25,,N,N,N,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.3094062805,,,,,0,0.02,1,3,39,,N,N,N,Y
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,19.1355648041,19.3288650513,0.2733691931,,,,0,0.02,1,3,17,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,27.0452251434,26.8034496307,0.3419222236,,,,0,0.02,1,3,25,,N,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,37.3094062805,37.3094062805,,,,,0,0.02,1,3,35,,N,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,20.5138454437,20.5196056366,0.0081461426,,,,0,0.02,1,3,19,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.7451839447,27.7545433044,0.0132374819,,,,0,0.02,1,3,26,,N,N,N,Y
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,20.5253658295,20.5196056366,0.0081461426,,,,0,0.02,1,3,19,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.7639045715,27.7545433044,0.0132374819,,,,0,0.02,1,3,26,,N,N,N,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,19.9799900055,20.121679306,0.2003789246,,,,0,0.02,1,3,18,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.1476516724,,,,,0,0.02,1,3,39,,N,N,N,Y
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,28.0053939819,27.823009491,0.2579292655,,,,0,0.02,1,3,26,,N,N,N,Y
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,20.2633686066,20.121679306,0.2003789246,,,,0,0.02,1,3,19,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,35.1476516724,35.1476516724,,,,,0,0.02,1,3,34,,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,27.6406269073,27.823009491,0.2579292655,,,,0,0.02,1,3,26,,N,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,19.0363883972,19.0209884644,0.0217774455,,,,0,0.02,1,3,17,,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,27.4699115753,27.5707607269,0.1426222324,,,,0,0.02,1,3,25,,N,N,N,Y
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,19.0055904388,19.0209884644,0.0217774455,,,,0,0.02,1,3,17,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,27.6716098785,27.5707607269,0.1426222324,,,,0,0.02,1,3,25,,N,N,N,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,20.067035675,19.8608398438,0.2916049361,,,,0,0.02,1,3,18,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,26.9132823944,26.7226028442,0.2696616054,,,,0,0.02,1,3,25,,N,N,N,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,35.3868598938,35.180809021,0.2913972437,,,,0,0.02,1,3,33,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,19.6546440125,19.8608398438,0.2916049361,,,,0,0.02,1,3,17,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,26.5319232941,26.7226028442,0.2696616054,,,,0,0.02,1,3,24,,N,N,N,N
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,34.9747619629,35.180809021,0.2913972437,,,,0,0.02,1,3,33,,N,N,N,N
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,20.504743576,20.4882183075,0.0233702585,,,,0,0.02,1,3,19,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,29.9764003754,30.3190956116,0.484644264,,,,0,0.02,1,3,28,,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.4103984833,28.6140365601,0.28798908,,,,0,0.02,1,3,26,,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,20.4716930389,20.4882183075,0.0233702585,,,,0,0.02,1,3,19,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,30.6617908478,30.3190956116,0.484644264,,,,0,0.02,1,3,29,,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,28.8176765442,28.6140365601,0.28798908,,,,0,0.02,1,3,27,,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,20.3896617889,20.2997779846,0.127116248,,,,0,0.02,1,3,19,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,29.8071651459,30.3175239563,0.7217563391,,,,0,0.02,1,3,28,,N,Y,Y,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,20.2098922729,20.2997779846,0.127116248,,,,0,0.02,1,3,19,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,30.8278827667,30.3175239563,0.7217563391,,,,0,0.02,1,3,29,,N,Y,N,Y
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
H1,+,Ssid,UNKNOWN,SYBR,None,21.6163043976,20.184879303,2.0243394375,,,,0,0.02,1,3,19,,N,Y,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,29.7538986206,30.2673511505,0.7261315584,,,,0,0.02,1,3,28,,N,Y,N,N
H2,+,D,UNKNOWN,FAM,NFQ-MGB,28.519865036,28.9486846924,0.6064411998,,,,0,0.02,1,3,26,,N,Y,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,20.1366176605,20.2398033142,0.14592655,,,,0,0.02,1,3,19,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,29.4662666321,29.7322120667,0.3761036396,,,,0,0.02,1,3,27,,N,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,27.9030303955,28.1258125305,0.3150628507,,,,0,0.02,1,3,26,,N,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,20.3429889679,20.2398033142,0.14592655,,,,0,0.02,1,3,19,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,29.9981575012,29.7322120667,0.3761036396,,,,0,0.02,1,3,28,,N,N,N,N
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,28.3485965729,28.1258125305,0.3150628507,,,,0,0.02,1,3,26,,N,N,N,N
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,20.0312595367,19.936340332,0.1342373788,,,,0,0.02,1,3,18,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,28.2420883179,28.3470191956,0.1483933181,,,,0,0.02,1,3,26,,N,N,N,Y
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.9538917542,,,,,0,0.02,1,3,39,,N,N,N,Y
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,19.84141922,19.936340332,0.1342373788,,,,0,0.02,1,3,18,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,28.4519481659,28.3470191956,0.1483933181,,,,0,0.02,1,3,26,,N,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,36.9538917542,36.9538917542,,,,,0,0.02,1,3,35,,N,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,18.7534561157,20.184879303,2.0243394375,,,,0,0.02,1,3,19,,N,Y,N,N
H12,+,C,UNKNOWN,VIC,NFQ-MGB,30.7808036804,30.2673511505,0.7261315584,,,,0,0.02,1,3,29,,N,Y,N,N
H12,+,D,UNKNOWN,FAM,NFQ-MGB,29.3775024414,28.9486846924,0.6064411998,,,,0,0.02,1,3,27,,N,Y,N,N
