Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate20_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 16:20:37 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,17.3585319519,17.3155441284,0.0607953109,,,,0,0.02,1,3,16,76.9352722168,,,,N,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,27.0099716187,27.1312484741,0.171512723,,,,0,0.02,1,3,25,74.2519378662,,,,N,N,N,Y,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.1747512817,,,,,0,0.02,1,3,39,74.2519378662,,,,N,N,N,Y,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,17.2725543976,17.3155441284,0.0607953109,,,,0,0.02,1,3,15,77.0841064453,,,,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,27.2525272369,27.1312484741,0.171512723,,,,0,0.02,1,3,26,74.5499191284,,,,N,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,38.1747512817,38.1747512817,,,,,0,0.02,1,3,35,74.8480529785,,,,N,N,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,16.9720191956,16.95936203,0.0179012846,,,,0,0.02,1,3,14,77.0835723877,,,,N,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,30.3975219727,30.6493968964,0.356204927,,,,0,0.02,1,3,28,78.5742111206,,,,N,N,N,Y,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.5494995117,,,,N,N,N,Y,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,16.9467029572,16.95936203,0.0179012846,,,,0,0.02,1,3,14,77.085723877,,,,N,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,30.9012718201,30.6493968964,0.356204927,,,,0,0.02,1,3,29,74.9986038208,,,,N,N,N,Y,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7624053955,,,,N,N,N,Y,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,18.3035926819,18.0091133118,0.4164580703,,,,0,0.02,1,3,16,76.9371032715,,,,N,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.2044067383,,,,N,N,N,Y,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.8250083923,27.750213623,0.1057757735,,,,0,0.02,1,3,25,71.5707550049,,,,N,N,N,Y,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,17.7146320343,18.0091133118,0.4164580703,,,,0,0.02,1,3,16,76.9354858398,,,,N,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.7552032471,,,,N,N,Y,Y,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.6754188538,27.750213623,0.1057757735,,,,0,0.02,1,3,26,71.2708129883,,,,N,N,Y,Y,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,17.144821167,17.1049308777,0.0564147383,,,,0,0.02,1,3,16,76.9352722168,,,,N,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,26.2360172272,26.475894928,0.339238286,,,,0,0.02,1,3,24,77.2334136963,,,,N,N,N,Y,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.5500869751,,,,N,N,N,Y,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,17.065038681,17.1049308777,0.0564147383,,,,0,0.02,1,3,16,76.9350357056,,,,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,26.7157726288,26.475894928,0.339238286,,,,0,0.02,1,3,25,71.8666534424,,,,N,N,N,Y,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.0592193604,,,,N,N,N,Y,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,16.672624588,16.7410449982,0.0967610702,,,,0,0.02,1,3,14,77.0835723877,,,,N,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,28.6489372253,28.8576526642,0.2951681912,,,,0,0.02,1,3,27,81.2573547363,,,,N,N,N,Y,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.9532470703,,,,N,N,N,Y,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,16.8094654083,16.7410449982,0.0967610702,,,,0,0.02,1,3,13,76.9366455078,,,,N,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,29.066368103,28.8576526642,0.2951681912,,,,0,0.02,1,3,27,76.1912384033,,,,N,N,N,Y,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.6133270264,87.9685516357,,,N,N,N,Y,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,18.3566188812,17.9957237244,0.5103828311,,,,0,0.02,1,3,16,77.0861663818,,,,N,Y,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,60.987121582,,,,N,Y,N,Y,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,28.5650730133,29.0560512543,0.6943480968,,,,0,0.02,1,3,27,74.5520629883,,,,N,Y,N,Y,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,17.6348285675,17.9957237244,0.5103828311,,,,0,0.02,1,3,16,77.0845565796,,,,N,Y,N,N,N
