Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.1918754578,29.1247673035,0.0949052647,,,,0,0.02,1,3,27,,N,N,Y,N,Y
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,19.7663154602,19.5863742828,0.2544752657,,,,0,0.02,1,3,18,,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,37.5323181152,37.5323181152,,,,,0,0.02,1,3,35,,N,N,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.3237018585,26.6036872864,0.3959605396,,,,0,0.02,1,3,24,,N,N,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,19.4064331055,19.5863742828,0.2544752657,,,,0,0.02,1,3,18,,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.5323181152,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.8836746216,26.6036872864,0.3959605396,,,,0,0.02,1,3,25,,N,N,Y,N,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,22.141582489,22.2552223206,0.1607096493,,,,0,0.02,1,3,21,,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
