Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate13_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 16:05:30 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,29.7664318085,29.4010925293,0.5166677833,,,,0,0.02,1,3,28,,N,Y,N,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,22.3132553101,22.2603607178,0.0748028979,,,,0,0.02,1,3,21,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.3458118439,28.175868988,0.2403368354,,,,0,0.02,1,3,26,,N,N,Y,Y
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,22.2074680328,22.2603607178,0.0748028979,,,,0,0.02,1,3,20,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.0059242249,28.175868988,0.2403368354,,,,0,0.02,1,3,26,,N,N,Y,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,20.6862430573,20.6254367828,0.085993059,,,,0,0.02,1,3,19,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,25.545331955,25.4384498596,0.1511527598,,,,0,0.02,1,3,24,,N,N,Y,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.9043998718,,,,,0,0.02,1,3,39,,N,N,Y,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,20.5646305084,20.6254367828,0.085993059,,,,0,0.02,1,3,18,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,25.3315696716,25.4384498596,0.1511527598,,,,0,0.02,1,3,23,,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,37.9043998718,37.9043998718,,,,,0,0.02,1,3,35,,N,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.7161884308,19.9764938354,0.3681260943,,,,0,0.02,1,3,17,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,25.3520641327,25.5231952667,0.2420159727,,,,0,0.02,1,3,24,,N,N,N,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,20.2367973328,19.9764938354,0.3681260943,,,,0,0.02,1,3,18,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,25.6943264008,25.5231952667,0.2420159727,,,,0,0.02,1,3,24,,N,N,N,Y
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,21.5104408264,21.6224594116,0.1584168524,,,,0,0.02,1,3,19,,N,N,N,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,26.3718471527,26.5226268768,0.2132347375,,,,0,0.02,1,3,24,,N,N,Y,Y
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,21.7344760895,21.6224594116,0.1584168524,,,,0,0.02,1,3,20,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,26.673406601,26.5226268768,0.2132347375,,,,0,0.02,1,3,25,,N,N,Y,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,21.7241134644,21.567741394,0.221143499,,,,0,0.02,1,3,20,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,35.3676376343,35.51222229,0.2044735849,,,,0,0.02,1,3,34,,N,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.6663818359,26.5853004456,0.1146664023,,,,0,0.02,1,3,25,,N,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,21.4113693237,21.567741394,0.221143499,,,,0,0.02,1,3,20,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,35.6568069458,35.51222229,0.2044735849,,,,0,0.02,1,3,35,,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.5042190552,26.5853004456,0.1146664023,,,,0,0.02,1,3,24,,N,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,20.8313503265,20.811088562,0.0286531132,,,,0,0.02,1,3,18,,N,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,26.031496048,26.0959243774,0.0911140665,,,,0,0.02,1,3,24,,N,N,N,Y
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,20.7908287048,20.811088562,0.0286531132,,,,0,0.02,1,3,19,,N,N,N,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,26.1603507996,26.0959243774,0.0911140665,,,,0,0.02,1,3,24,,N,N,N,Y
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
G1,Sample 6,Ssid,UNKNOWN,SYBR,None,21.6882972717,21.5574798584,0.1850051135,,,,0,0.02,1,3,19,,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,26.3556575775,26.3294811249,0.0370190926,,,,0,0.02,1,3,24,,N,N,Y,Y
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,21.4266605377,21.5574798584,0.1850051135,,,,0,0.02,1,3,19,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,26.3033046722,26.3294811249,0.0370190926,,,,0,0.02,1,3,24,,N,N,Y,Y
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,21.7246589661,21.7983436584,0.10420724,,,,0,0.02,1,3,19,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,32.4235420227,32.3771438599,0.0656196102,,,,0,0.02,1,3,31,,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.7961483002,26.6238117218,0.2437207252,,,,0,0.02,1,3,25,,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,21.8720302582,21.7983436584,0.10420724,,,,0,0.02,1,3,20,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,32.3307418823,32.3771438599,0.0656196102,,,,0,0.02,1,3,31,,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.4514751434,26.6238117218,0.2437207252,,,,0,0.02,1,3,24,,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,19.5580921173,19.6060638428,0.0678422675,,,,0,0.02,1,3,18,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,25.5211219788,25.4937973022,0.038642928,,,,0,0.02,1,3,24,,N,N,Y,Y
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,19.6540355682,19.6060638428,0.0678422675,,,,0,0.02,1,3,18,,N,N,N,N
