Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate12_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 14:19:00 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.6969871521,26.8142623901,0.1658535749,,,,0,0.02,1,3,25,72.9138336182,,,,N,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,21.9709358215,22.1914100647,0.3117963076,,,,0,0.02,1,3,20,76.1902236938,,,,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,35.4318466187,35.4318466187,,,,,0,0.02,1,3,35,65.8992156982,,,,N,N,N,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.9315395355,26.8142623901,0.1658535749,,,,0,0.02,1,3,25,74.9970626831,,,,N,N,N,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,22.0517520905,21.8212051392,0.3260426223,,,,0,0.02,1,3,20,76.0416412354,,,,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,27.1016597748,27.3821048737,0.3966092765,,,,0,0.02,1,3,25,60.8329162598,,,,N,N,Y,Y,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,75.4452209473,70.5247497559,,,N,N,Y,Y,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,21.5906581879,21.8212051392,0.3260426223,,,,0,0.02,1,3,20,76.191986084,,,,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,27.6625499725,27.3821048737,0.3966092765,,,,0,0.02,1,3,26,72.1652526855,,,,N,N,N,Y,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.3143920898,,,,N,N,N,Y,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,21.9295196533,21.8825359344,0.0664450154,,,,0,0.02,1,3,20,76.0507659912,,,,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.1404190063,,,,N,N,Y,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.485080719,26.5989112854,0.1609820724,,,,0,0.02,1,3,25,68.1482849121,,,,N,N,Y,Y,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,21.8355522156,21.8825359344,0.0664450154,,,,0,0.02,1,3,20,76.1944580078,,,,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.0535888672,,,,N,N,Y,Y,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.7127437592,26.5989112854,0.1609820724,,,,0,0.02,1,3,25,70.2292404175,,,,N,N,Y,Y,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,22.0074882507,22.0087242126,0.0017479141,,,,0,0.02,1,3,20,76.1942214966,,,,N,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,30.7601413727,30.6751155853,0.1202446222,,,,0,0.02,1,3,29,63.9673156738,,,,N,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.1720218658,28.1681671143,0.0054527908,,,,0,0.02,1,3,26,77.8344116211,,,,N,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,22.0099601746,22.0087242126,0.0017479141,,,,0,0.02,1,3,20,76.1902236938,,,,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,30.590089798,30.6751155853,0.1202446222,,,,0,0.02,1,3,29,65.4517822266,,,,N,N,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,28.1643104553,28.1681671143,0.0054527908,,,,0,0.02,1,3,26,72.4615936279,,,,N,N,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,21.5893573761,21.5895614624,0.0002886216,,,,0,0.02,1,3,19,76.1907501221,,,,N,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,26.912979126,26.9977722168,0.119914189,,,,0,0.02,1,3,25,61.4293403625,,,,N,N,N,Y,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.8050689697,89.7593154907,,,N,N,N,Y,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,21.5897655487,21.5895614624,0.0002886216,,,,0,0.02,1,3,20,76.0428466797,,,,N,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,27.0825634003,26.9977722168,0.119914189,,,,0,0.02,1,3,25,76.191986084,,,,N,N,N,Y,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.910949707,,,,N,N,N,Y,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,21.9430122375,21.8292007446,0.1609537601,,,,0,0.02,1,3,20,76.0507659912,,,,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,26.4223442078,26.5675582886,0.2053637207,,,,0,0.02,1,3,25,63.9733848572,,,,N,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,36.5989189148,36.5989189148,,,,,0,0.02,1,3,35,71.7267608643,,,,N,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,21.7153892517,21.8292007446,0.1609537601,,,,0,0.02,1,3,19,76.1944580078,,,,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,26.7127723694,26.5675582886,0.2053637207,,,,0,0.02,1,3,25,75.1505432129,,,,N,N,N,Y,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.5989189148,,,,,0,0.02,1,3,39,73.3609771729,,,,N,N,N,Y,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,20.9034824371,20.9835510254,0.1132354289,,,,0,0.02,1,3,19,76.1942214966,,,,N,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,33.8804130554,33.709197998,0.2421346605,,,,0,0.02,1,3,32,67.0985946655,,,,N,N,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,26.2909393311,26.525850296,0.3322142661,,,,0,0.02,1,3,24,72.466506958,,,,N,N,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,21.063621521,20.9835510254,0.1132354289,,,,0,0.02,1,3,20,76.1902236938,,,,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,33.5379829407,33.709197998,0.2421346605,,,,0,0.02,1,3,29,66.1975021362,,,,N,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,26.760761261,26.525850296,0.3322142661,,,,0,0.02,1,3,25,75.1462097168,,,,N,N,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,21.5624446869,21.4882640839,0.1049072146,,,,0,0.02,1,3,20,76.1907501221,,,,N,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,29.0096931458,29.3613357544,0.497297734,,,,0,0.02,1,3,27,76.7871704102,,,,N,N,N,Y,Y
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,88.8646850586,91.9958953857,,,N,N,N,Y,Y
