Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate8_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-26 17:12:32 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,27.1721973419,27.1196060181,0.0743753612,,,,0,0.02,1,3,25,,N,N,N,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,28.5571212769,28.6903152466,0.1883660704,,,,0,0.02,1,3,27,,N,N,N,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,19.6271419525,19.6473999023,0.0286490675,,,,0,0.02,1,3,18,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,33.4146156311,32.4205436707,1.4058300257,,,,0,0.02,1,3,33,,Y,N,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,24.9074020386,25.0153312683,0.1526336372,,,,0,0.02,1,3,23,,Y,N,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,19.6676578522,19.6473999023,0.0286490675,,,,0,0.02,1,3,18,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,31.4264717102,32.4205436707,1.4058300257,,,,0,0.02,1,3,28,,Y,N,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.1232585907,25.0153312683,0.1526336372,,,,0,0.02,1,3,23,,Y,N,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,20.1098670959,19.9066429138,0.2874037325,,,,0,0.02,1,3,19,,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,32.478099823,32.1484909058,0.4661400914,,,,0,0.02,1,3,27,,N,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,25.598690033,25.4469528198,0.2145888209,,,,0,0.02,1,3,23,,N,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,19.7034168243,19.9066429138,0.2874037325,,,,0,0.02,1,3,19,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,31.8188781738,32.1484909058,0.4661400914,,,,0,0.02,1,3,28,,N,N,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,25.2952156067,25.4469528198,0.2145888209,,,,0,0.02,1,3,23,,N,N,N,N
D1,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,34.4317016602,34.9111022949,0.677977562,,,,0,0.02,1,3,30,,Y,N,N,N
D1,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.3596115112,26.9322433472,0.6043898463,,,,0,0.02,1,3,25,,Y,N,N,N
D2,Sample 3,Ssid,UNKNOWN,SYBR,None,20.6463050842,20.7049636841,0.0829557851,,,,0,0.02,1,3,19,,N,N,N,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,20.7636222839,20.7049636841,0.0829557851,,,,0,0.02,1,3,19,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,35.3905067444,34.9111022949,0.677977562,,,,0,0.02,1,3,29,,Y,N,N,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.5048751831,26.9322433472,0.6043898463,,,,0,0.02,1,3,24,,Y,N,N,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,20.6257820129,20.3818492889,0.3449729681,,,,0,0.02,1,3,19,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,31.6267185211,31.5600547791,0.0942781195,,,,0,0.02,1,3,28,,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,25.3600177765,25.4126586914,0.074444145,,,,0,0.02,1,3,23,,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,20.1379165649,20.3818492889,0.3449729681,,,,0,0.02,1,3,18,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,31.4933891296,31.5600547791,0.0942781195,,,,0,0.02,1,3,28,,N,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,25.465297699,25.4126586914,0.074444145,,,,0,0.02,1,3,23,,N,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,19.8091239929,19.4118118286,0.5618829131,,,,0,0.02,1,3,18,,Y,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,32.7647285461,32.091342926,0.9523124099,,,,0,0.02,1,3,33,,Y,N,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,24.8674659729,24.8785018921,0.0156084951,,,,0,0.02,1,3,23,,Y,N,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,19.0145015717,19.4118118286,0.5618829131,,,,0,0.02,1,3,17,,Y,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,31.4179553986,32.091342926,0.9523124099,,,,0,0.02,1,3,28,,Y,N,N,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,24.8895397186,24.8785018921,0.0156084951,,,,0,0.02,1,3,23,,Y,N,N,N
E1,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
E1,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,25.8243103027,26.0138435364,0.2680418193,,,,0,0.02,1,3,24,,N,N,N,Y
E2,Sample 4,Ssid,UNKNOWN,SYBR,None,20.4365177155,20.241809845,0.275357157,,,,0,0.02,1,3,19,,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,20.0471038818,20.241809845,0.275357157,,,,0,0.02,1,3,18,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,26.2033786774,26.0138435364,0.2680418193,,,,0,0.02,1,3,24,,N,N,N,Y
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,20.1717071533,19.9379653931,0.3305621147,,,,0,0.02,1,3,19,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,25.9683361053,25.7757835388,0.2723118067,,,,0,0.02,1,3,24,,Y,N,N,N
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,31.6619186401,31.0711803436,0.8354300857,,,,0,0.02,1,3,30,,Y,N,N,N
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,19.7042217255,19.9379653931,0.3305621147,,,,0,0.02,1,3,18,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,25.5832290649,25.7757835388,0.2723118067,,,,0,0.02,1,3,24,,Y,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,30.4804420471,31.0711803436,0.8354300857,,,,0,0.02,1,3,28,,Y,N,N,N
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.491481781,19.2818336487,0.2964885831,,,,0,0.02,1,3,17,,N,N,N,N
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,29.4770431519,29.5721855164,0.1345502734,,,,0,0.02,1,3,28,,N,N,N,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,25.2038593292,25.3116016388,0.1523706317,,,,0,0.02,1,3,23,,N,N,N,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,19.072183609,19.2818336487,0.2964885831,,,,0,0.02,1,3,17,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,29.6673259735,29.5721855164,0.1345502734,,,,0,0.02,1,3,28,,N,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,25.4193439484,25.3116016388,0.1523706317,,,,0,0.02,1,3,23,,N,N,N,N
F1,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
F1,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.3335857391,27.3335857391,,,,,0,0.02,1,3,25,,N,N,N,Y
F2,Sample 5,Ssid,UNKNOWN,SYBR,None,20.4178657532,20.4903259277,0.1024728119,,,,0,0.02,1,3,19,,N,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,20.5627841949,20.4903259277,0.1024728119,,,,0,0.02,1,3,19,,N,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,27.3335857391,,,,,0,0.02,1,3,39,,N,Y,N,Y
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,20.6551647186,20.1632347107,0.6956954598,,,,0,0.02,1,3,19,,Y,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,25.9668884277,26.2789020538,0.4412539005,,,,0,0.02,1,3,24,,Y,N,N,N
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,30.0714855194,31.0074806213,1.3236982822,,,,0,0.02,1,3,28,,Y,N,N,N
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,19.6713027954,20.1632347107,0.6956954598,,,,0,0.02,1,3,18,,Y,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,26.5909156799,26.2789020538,0.4412539005,,,,0,0.02,1,3,25,,Y,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,31.9434776306,31.0074806213,1.3236982822,,,,0,0.02,1,3,30,,Y,N,N,N
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,20.0407905579,21.1708068848,1.5980830193,,,,0,0.02,1,3,18,,Y,N,N,N
F10,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,27.8892288208,28.0797309875,0.2694121003,,,,0,0.02,1,3,26,,N,N,N,N
F10,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,26.8290405273,27.0060272217,0.250295639,,,,0,0.02,1,3,25,,N,N,N,N
F11,Sample 20,Ssid,UNKNOWN,SYBR,None,22.3008213043,21.1708068848,1.5980830193,,,,0,0.02,1,3,19,,Y,N,Y,N
F12,Sample 20,C,UNKNOWN,VIC,NFQ-MGB,28.2702350616,28.0797309875,0.2694121003,,,,0,0.02,1,3,27,,N,N,N,N
F12,Sample 20,D,UNKNOWN,FAM,NFQ-MGB,27.1830120087,27.0060272217,0.250295639,,,,0,0.02,1,3,25,,N,N,N,N
G1,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,34.6042671204,34.6042671204,,,,,0,0.02,1,3,31,,Y,N,N,N
G1,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,28.3077049255,27.8290061951,0.6769835949,,,,0,0.02,1,3,26,,Y,N,N,N
G2,Sample 6,Ssid,UNKNOWN,SYBR,None,20.1566238403,20.0490722656,0.1521008909,,,,0,0.02,1,3,18,,N,N,N,N
G3,Sample 6,Ssid,UNKNOWN,SYBR,None,19.9415206909,20.0490722656,0.1521008909,,,,0,0.02,1,3,18,,N,N,N,N
G4,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.6042671204,,,,,0,0.02,1,3,39,,Y,Y,N,Y
G4,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,27.3503055573,27.8290061951,0.6769835949,,,,0,0.02,1,3,25,,Y,Y,N,Y
G5,Sample 13,Ssid,UNKNOWN,SYBR,None,19.5802650452,19.5367965698,0.0614737086,,,,0,0.02,1,3,18,,N,N,N,N
G6,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,25.4068336487,25.5845298767,0.2513017654,,,,0,0.02,1,3,24,,N,N,N,N
G6,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.3735961914,30.440536499,0.0946678892,,,,0,0.02,1,3,28,,N,N,N,N
G7,Sample 13,Ssid,UNKNOWN,SYBR,None,19.4933280945,19.5367965698,0.0614737086,,,,0,0.02,1,3,18,,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,25.7622280121,25.5845298767,0.2513017654,,,,0,0.02,1,3,24,,N,N,N,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,30.5074768066,30.440536499,0.0946678892,,,,0,0.02,1,3,29,,N,N,N,N
G9,Sample 21,Ssid,UNKNOWN,SYBR,None,19.5882492065,19.6375846863,0.0697709024,,,,0,0.02,1,3,18,,N,N,N,N
G10,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,30.8584918976,30.6233558655,0.3325325549,,,,0,0.02,1,3,29,,N,N,N,N
G10,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,26.2663135529,26.31772995,0.0727137625,,,,0,0.02,1,3,24,,N,N,N,N
G11,Sample 21,Ssid,UNKNOWN,SYBR,None,19.686920166,19.6375846863,0.0697709024,,,,0,0.02,1,3,18,,N,N,N,N
G12,Sample 21,C,UNKNOWN,VIC,NFQ-MGB,30.3882198334,30.6233558655,0.3325325549,,,,0,0.02,1,3,29,,N,N,N,N
G12,Sample 21,D,UNKNOWN,FAM,NFQ-MGB,26.369146347,26.31772995,0.0727137625,,,,0,0.02,1,3,24,,N,N,N,N
H1,+,C,UNKNOWN,VIC,NFQ-MGB,29.8123188019,30.1357955933,0.4574652612,,,,0,0.02,1,3,28,,Y,N,N,N
H1,+,D,UNKNOWN,FAM,NFQ-MGB,27.9833927155,28.421672821,0.6198230386,,,,0,0.02,1,3,26,,Y,N,N,N
H2,+,Ssid,UNKNOWN,SYBR,None,20.5482273102,20.4867324829,0.0869668201,,,,0,0.02,1,3,19,,N,N,N,N
H3,Sample 14,Ssid,UNKNOWN,SYBR,None,20.5918292999,20.7351608276,0.2027013898,,,,0,0.02,1,3,20,,N,N,N,N
H4,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,26.8387832642,26.8277645111,0.0155828698,,,,0,0.02,1,3,25,,N,N,N,N
H4,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,34.9344558716,34.9344558716,,,,,0,0.02,1,3,33,,N,N,N,N
H5,Sample 14,Ssid,UNKNOWN,SYBR,None,20.8784923553,20.7351608276,0.2027013898,,,,0,0.02,1,3,20,,N,N,N,N
H6,Sample 14,C,UNKNOWN,VIC,NFQ-MGB,26.8167457581,26.8277645111,0.0155828698,,,,0,0.02,1,3,25,,N,N,N,Y
H6,Sample 14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.9344558716,,,,,0,0.02,1,3,39,,N,N,N,Y
H7,Sample 22,Ssid,UNKNOWN,SYBR,None,19.6200714111,19.7931594849,0.2447848469,,,,0,0.02,1,3,18,,N,N,N,N
H8,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,28.4336738586,28.3936195374,0.0566467121,,,,0,0.02,1,3,27,,N,N,N,N
H8,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,29.3202533722,29.4743824005,0.2179713696,,,,0,0.02,1,3,27,,N,N,N,N
H9,Sample 22,Ssid,UNKNOWN,SYBR,None,19.9662494659,19.7931594849,0.2447848469,,,,0,0.02,1,3,18,,N,N,N,N
H10,Sample 22,C,UNKNOWN,VIC,NFQ-MGB,28.3535633087,28.3936195374,0.0566467121,,,,0,0.02,1,3,27,,N,N,N,N
H10,Sample 22,D,UNKNOWN,FAM,NFQ-MGB,29.6285114288,29.4743824005,0.2179713696,,,,0,0.02,1,3,27,,N,N,N,N
H11,+,Ssid,UNKNOWN,SYBR,None,20.4252376556,20.4867324829,0.0869668201,,,,0,0.02,1,3,19,,N,N,N,N
H12,+,C,UNKNOWN,VIC,NFQ-MGB,30.4592723846,30.1357955933,0.4574652612,,,,0,0.02,1,3,29,,Y,N,N,N
H12,+,D,UNKNOWN,FAM,NFQ-MGB,28.859954834,28.421672821,0.6198230386,,,,0,0.02,1,3,27,,Y,N,N,N
