Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate39_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-29 10:34:04 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
E10,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,27.0460357666,27.2177581787,0.2428508103,,,,0,0.02,1,3,26,,N,N,N,N
E10,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,29.0043754578,28.9404983521,0.0903345197,,,,0,0.02,1,3,27,,N,N,N,N
E11,Sample 19,Ssid,UNKNOWN,SYBR,None,19.0086174011,19.2669830322,0.3653841913,,,,0,0.02,1,3,18,,N,N,N,N
E12,Sample 19,C,UNKNOWN,VIC,NFQ-MGB,27.3894786835,27.2177581787,0.2428508103,,,,0,0.02,1,3,26,,N,N,N,N
E12,Sample 19,D,UNKNOWN,FAM,NFQ-MGB,28.8766231537,28.9404983521,0.0903345197,,,,0,0.02,1,3,27,,N,N,N,N
F1,Sample 5,Ssid,UNKNOWN,SYBR,None,26.9999084473,25.5153083801,2.0995428562,,,,0,0.02,1,3,22,,Y,N,Y,N
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,31.6661281586,31.7141838074,0.0679609478,,,,0,0.02,1,3,30,,N,N,N,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.6702098846,27.6390686035,0.0440417714,,,,0,0.02,1,3,26,,N,N,N,N
F3,Sample 5,Ssid,UNKNOWN,SYBR,None,24.0307064056,25.5153083801,2.0995428562,,,,0,0.02,1,3,22,,Y,N,N,N
F4,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,31.7622394562,31.7141838074,0.0679609478,,,,0,0.02,1,3,30,,N,N,N,N
F4,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.607925415,27.6390686035,0.0440417714,,,,0,0.02,1,3,26,,N,N,N,N
F5,Sample 12,Ssid,UNKNOWN,SYBR,None,19.8209342957,19.8770713806,0.0793898255,,,,0,0.02,1,3,18,,N,N,N,N
F6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
F6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,27.62266922,27.7410469055,0.1674099863,,,,0,0.02,1,3,26,,N,Y,N,Y
F7,Sample 12,Ssid,UNKNOWN,SYBR,None,19.9332084656,19.8770713806,0.0793898255,,,,0,0.02,1,3,18,,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,27.8594226837,27.7410469055,0.1674099863,,,,0,0.02,1,3,26,,N,Y,N,Y
F9,Sample 20,Ssid,UNKNOWN,SYBR,None,19.8855724335,19.6673812866,0.308570236,,,,0,0.02,1,3,18,,N,N,N,N
