Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 16:15:33 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
F2,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9078521729,,,,N,N,N,N,Y,N
F2,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,26.7204322815,27.001159668,0.3970098197,,,,0,0.02,1,3,25,73.6792221069,,,,N,N,N,N,Y,N
F3,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.8260345459,,,,N,N,N,N,Y,N
F4,Sample 5,Ofav,UNKNOWN,SYBR,None,19.8179473877,20.0485401154,0.326107353,,,,0,0.02,1,3,18,74.4220123291,,,,N,N,N,N,N,N
F5,Sample 5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6073265076,,,,N,N,N,N,Y,N
F5,Sample 5,D,UNKNOWN,FAM,NFQ-MGB,27.2818889618,27.001159668,0.3970098197,,,,0,0.02,1,3,25,73.8246612549,,,,N,N,N,N,Y,N
F6,Sample 5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.6327209473,,,,N,N,N,N,Y,N
F7,Sample 12,Ofav,UNKNOWN,SYBR,None,20.3099517822,20.4490242004,0.196678102,,,,0,0.02,1,3,18,74.8693237305,,,,N,N,N,N,N,N
F8,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,34.0772972107,34.0772972107,,,,,0,0.02,1,3,28,61.6101150513,,,,N,N,N,N,N,N
F8,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.1401119232,26.3798179626,0.3389968872,,,,0,0.02,1,3,24,82.0203552246,,,,N,N,N,N,N,N
F9,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.19165802,,,,N,N,N,N,Y,N
F10,Sample 12,Ofav,UNKNOWN,SYBR,None,20.5880966187,20.4490242004,0.196678102,,,,0,0.02,1,3,19,74.5753707886,,,,N,N,N,N,N,N
F11,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.0772972107,,,,,0,0.02,1,3,39,61.7109832764,,,,N,N,Y,N,Y,N
F11,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,26.6195259094,26.3798179626,0.3389968872,,,,0,0.02,1,3,24,87.2290267944,,,,N,N,Y,N,Y,N
F12,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.1569671631,,,,N,N,N,N,Y,N
G1,Sample 6,Ofav,UNKNOWN,SYBR,None,21.0325450897,21.1577301025,0.1770370007,,,,0,0.02,1,3,19,74.7222595215,,,,N,N,N,N,N,N
G2,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9078521729,,,,N,N,N,N,Y,N
G2,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,27.8382148743,27.5352840424,0.428408891,,,,0,0.02,1,3,26,76.6593170166,,,,N,N,N,N,Y,N
G3,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.9320831299,,,,N,N,N,N,Y,N
G4,Sample 6,Ofav,UNKNOWN,SYBR,None,21.282913208,21.1577301025,0.1770370007,,,,0,0.02,1,3,19,74.5709991455,,,,N,N,N,N,N,N
G5,Sample 6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,62.3522872925,,,,N,N,N,N,Y,N
G5,Sample 6,D,UNKNOWN,FAM,NFQ-MGB,27.2323532104,27.5352840424,0.428408891,,,,0,0.02,1,3,25,78.7413864136,,,,N,N,N,N,Y,N
G6,Sample 6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.5266723633,,,,N,N,N,N,Y,N
G7,Sample 13,Ofav,UNKNOWN,SYBR,None,20.9836425781,21.0228443146,0.0554396287,,,,0,0.02,1,3,19,74.7203445435,,,,N,N,N,N,N,N
G8,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,31.4366226196,,,,,0,0.02,1,3,39,61.6101150513,,,,N,N,N,N,Y,N
G8,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.2541637421,25.9696426392,0.402374953,,,,0,0.02,1,3,24,74.42237854,,,,N,N,N,N,Y,N
G9,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.6814804077,,,,N,N,Y,N,Y,N
G10,Sample 13,Ofav,UNKNOWN,SYBR,None,21.062046051,21.0228443146,0.0554396287,,,,0,0.02,1,3,19,74.7243499756,,,,N,N,N,N,N,N
G11,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,31.4366226196,31.4366226196,,,,,0,0.02,1,3,28,61.7109832764,,,,N,N,N,N,N,N
G11,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,25.6851196289,25.9696426392,0.402374953,,,,0,0.02,1,3,24,68.4262619019,,,,N,N,N,N,N,N
G12,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.6046524048,,,,N,N,N,N,Y,N
H1,+,Ofav,UNKNOWN,SYBR,None,22.5886421204,22.4353809357,0.2167440504,,,,0,0.02,1,3,19,74.8712615967,,,,N,N,N,N,N,N
H2,+,C,UNKNOWN,VIC,NFQ-MGB,35.8003845215,35.0325546265,1.0858781338,,,,0,0.02,1,3,35,61.4608345032,,,,N,Y,N,N,N,N
