Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_122,Control,R1,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_129,Control,R1,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_220,Control,R1,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_226,Control,R1,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_119,Control,R2,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_125,Control,R2,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_217,Control,R2,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_223,Control,R2,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_164,N,R1,2/12/18,T16,Ramping,Ac_07,89,203,203,1,89,1
Ac_170,N,R1,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_262,N,R1,2/15/18,T17,Heat,Ac_07,92,206,206,1,92,1
Ac_268,N,R1,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_274,N,R1,2/15/18,T17,Heat,Ac_07,92,206,206,1,92,1
Ac_167,N,R2,1/25/18,T12,Nutrients,Ac_07,71,185,185,1,71,1
Ac_174,N,R2,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_265,N,R2,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_271,N,R2,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_144,N,R1,2/15/18,T17,Heat,Ac_08,92,206,206,1,92,1
Ac_232,N,R2,2/15/18,T17,Heat,Ac_08,92,206,206,1,92,1
Ac_234,N,R2,2/5/18,T14,Nutrients,Ac_08,82,196,196,0,82,0
Ac_150,N,R1,2/22/18,T19,Heat,Ac_31,99,213,213,1,99,1
Ac_158,N,R1,2/5/18,T14,Nutrients,Ac_31,82,196,196,0,82,0
Ac_249,N,R1,2/26/18,T20,Heat,Ac_31,103,217,217,1,103,1
Ac_154,N,R2,2/22/18,T19,Heat,Ac_31,99,213,213,1,99,1
Ac_246,N,R2,2/5/18,T14,Nutrients,Ac_31,82,196,196,0,82,0
Ac_299,N,R2,2/26/18,T20,Heat,Ac_31,103,217,217,1,103,1
Ac_177,N,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_183,N,R1,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_190,N,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_282,N,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_288,N,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_180,N,R2,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_187,N,R2,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_278,N,R2,3/1/18,T21,Heat,Ac_48,106,220,220,1,106,1
Ac_285,N,R2,3/1/18,T21,Heat,Ac_48,106,220,220,1,106,1
Ac_106,N,R1,2/15/18,T17,Heat,Ac_50,92,206,206,1,92,1
Ac_206,N,R1,1/30/18,T13,Nutrients,Ac_50,76,190,190,1,76,1
Ac_103,N,R2,1/25/18,T12,Nutrients,Ac_50,71,185,185,1,71,1
Ac_109,N,R2,1/25/18,T12,Nutrients,Ac_50,71,185,185,1,71,1
Ac_117,N,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_123,N,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_130,N,R1,3/1/18,T21,Heat,Ac_62,106,220,220,1,106,1
Ac_221,N,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_227,N,R1,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_120,N,R2,2/26/18,T20,Heat,Ac_62,103,217,217,1,103,1
Ac_126,N,R2,3/1/18,T21,Heat,Ac_62,106,220,220,1,106,1
Ac_218,N,R2,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_224,N,R2,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_230,N,R2,3/1/18,T21,Heat,Ac_62,106,220,220,1,106,1
Ac_165,N_P,R1,2/22/18,T19,Heat,Ac_07,99,213,213,1,99,1
Ac_171,N_P,R1,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_263,N_P,R1,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_269,N_P,R1,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_168,N_P,R2,2/15/18,T17,Heat,Ac_07,92,206,206,1,92,1
Ac_175,N_P,R2,2/15/18,T17,Heat,Ac_07,92,206,206,1,92,1
Ac_266,N_P,R2,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_272,N_P,R2,2/19/18,T18,Heat,Ac_07,96,210,210,1,96,1
Ac_145,N_P,R1,2/19/18,T18,Heat,Ac_08,96,210,210,1,96,1
Ac_233,N_P,R2,2/22/18,T19,Heat,Ac_08,99,213,213,1,99,1
Ac_235,N_P,R2,2/15/18,T17,Heat,Ac_08,92,206,206,1,92,1
Ac_151,N_P,R1,2/19/18,T18,Heat,Ac_31,96,210,210,1,96,1
Ac_159,N_P,R1,2/5/18,T14,Nutrients,Ac_31,82,196,196,0,82,0
Ac_250,N_P,R1,3/1/18,T21,Heat,Ac_31,106,220,220,1,106,1
Ac_155,N_P,R2,3/8/18,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_247,N_P,R2,2/26/18,T20,Heat,Ac_31,103,217,217,1,103,1
Ac_178,N_P,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_184,N_P,R1,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_276,N_P,R1,3/1/18,T21,Heat,Ac_48,106,220,220,1,106,1
Ac_283,N_P,R1,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_289,N_P,R1,3/1/18,T21,Heat,Ac_48,106,220,220,1,106,1
Ac_181,N_P,R2,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_188,N_P,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_280,N_P,R2,3/5/18,T22,Heat,Ac_48,110,224,224,1,110,1
Ac_286,N_P,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_101,N_P,R1,2/19/18,T18,Heat,Ac_50,96,210,210,1,96,1
Ac_107,N_P,R1,2/19/18,T18,Heat,Ac_50,96,210,210,1,96,1
Ac_300,N_P,R1,1/19/18,T11,Nutrients,Ac_50,65,179,179,1,65,1
Ac_104,N_P,R2,2/19/18,T18,Heat,Ac_50,96,210,210,1,96,1
Ac_110,N_P,R2,2/5/18,T14,Nutrients,Ac_50,82,196,196,0,82,0
Ac_118,N_P,R1,3/1/18,T21,Heat,Ac_62,106,220,220,1,106,1
Ac_124,N_P,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_216,N_P,R1,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_222,N_P,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_228,N_P,R1,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
Ac_121,N_P,R2,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_128,N_P,R2,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_219,N_P,R2,2/5/18,T14,Nutrients,Ac_62,82,196,196,0,82,0
Ac_225,N_P,R2,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_229,N_P,R2,3/5/18,T22,Heat,Ac_62,110,224,224,1,110,1
