Fragment,Time1,Time2,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp,HeatStress
Ac_183,0,82,N,R1,02/05/18,T14,Nutrients,G_48,Ac_48_N,82,196,196,0,82,0,0
Ac_190,0,82,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,0,0
Ac_282,0,82,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,0,0
Ac_288,0,82,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,0,0
Ac_180,0,82,N,R2,02/05/18,T14,Nutrients,G_48,Ac_48_N,82,196,196,0,82,0,0
Ac_187,0,82,N,R2,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,0,0
Ac_278,0,82,N,R2,03/01/18,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,0,0
Ac_285,0,82,N,R2,03/01/18,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,0,0
Ac_106,0,82,N,R1,02/15/18,T17,Heat,G_50,Ac_50_N,92,206,206,1,92,0,0
Ac_206,0,76,N,R1,01/30/18,T13,Nutrients,G_50,Ac_50_N,76,190,190,1,76,1,0
Ac_103,0,71,N,R2,01/25/18,T12,Nutrients,G_50,Ac_50_N,71,185,185,1,71,1,0
Ac_109,0,71,N,R2,01/25/18,T12,Nutrients,G_50,Ac_50_N,71,185,185,1,71,1,0
Ac_117,0,82,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,0,0
Ac_123,0,82,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,0,0
Ac_130,0,82,N,R1,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,0,0
Ac_221,0,82,N,R1,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,0,0
Ac_227,0,82,N,R1,02/05/18,T14,Nutrients,G_62,Ac_62_N,82,196,196,0,82,0,0
Ac_120,0,82,N,R2,02/26/18,T20,Heat,G_62,Ac_62_N,103,217,217,1,103,0,0
Ac_126,0,82,N,R2,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,0,0
Ac_218,0,82,N,R2,02/05/18,T14,Nutrients,G_62,Ac_62_N,82,196,196,0,82,0,0
Ac_224,0,82,N,R2,03/05/18,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,0,0
Ac_230,0,82,N,R2,03/01/18,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,0,0
Ac_165,0,82,N_P,R1,02/22/18,T19,Heat,G_07,Ac_07_N_P,99,213,213,1,99,0,0
