Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
Green and Orange,N,R2,126,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 12,Sample 12_Plate20.csv
Green and Orange,N,R2,224,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 13,Sample 13_Plate20.csv
Green and Orange,N,R2,230,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 14,Sample 14_Plate20.csv
Green,NP,R2,188,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 15,Sample 15_Plate20.csv
Green,NP,R2,280,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 16,Sample 16_Plate20.csv
Green,NP,R2,286,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 17,Sample 17_Plate20.csv
Green and Orange,NP,R2,128,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 18,Sample 18_Plate20.csv
Green and Orange,NP,R2,225,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 19,Sample 19_Plate20.csv
Green and Orange,NP,R2,229,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 20,Sample 20_Plate20.csv
Orange,NP,R2,155,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/13,"Acer, A",Plate20,Sample 21,Sample 21_Plate20.csv
F,Control,R1,137,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 1,Sample 1_Plate21.csv
Green,Control,R1,189,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 2,Sample 2_Plate21.csv
Green and Orange,Control,R1,129,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 3,Sample 3_Plate21.csv
Orange,Control,R1,149,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 4,Sample 4_Plate21.csv
Red and Orange,Control,R1,267,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 5,Sample 5_Plate21.csv
Green,N,R1,183,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 6,Sample 6_Plate21.csv
Green and Orange,N,R1,227,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 7,Sample 7_Plate21.csv
Orange,N,R1,158,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 8,Sample 8_Plate21.csv
Red and Orange,N,R1,268,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 9,Sample 9_Plate21.csv
F,NP,R1,240,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 10,Sample 10_Plate21.csv
Green,NP,R1,283,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 11,Sample 11_Plate21.csv
Green and Orange,NP,R1,216,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 12,Sample 12_Plate21.csv
Orange,NP,R1,159,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 13,Sample 13_Plate21.csv
Red and Orange,NP,R1,269,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 14,Sample 14_Plate21.csv
F,Control,R2,241,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 15,Sample 15_Plate21.csv
Green,Control,R2,290,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 16,Sample 16_Plate21.csv
Green and Orange,Control,R2,223,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 17,Sample 17_Plate21.csv
Red and Orange,Control,R2,270,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 18,Sample 18_Plate21.csv
Green,N,R2,180,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 19,Sample 19_Plate21.csv
Green and Orange,N,R2,218,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 20,Sample 20_Plate21.csv
Orange,N,R2,246,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 21,Sample 21_Plate21.csv
Red and Orange,N,R2,265,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/13,"Acer, A",Plate21,Sample 22,Sample 22_Plate21.csv
Yellow,N,R2,234,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 1,Sample 1_Plate22.csv
Green,NP,R2,181,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 2,Sample 2_Plate22.csv
Green and Orange,NP,R2,121,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 3,Sample 3_Plate22.csv
Green and Orange,NP,R2,219,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 4,Sample 4_Plate22.csv
Red and Orange,NP,R2,266,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 5,Sample 5_Plate22.csv
Red and Yellow,NP,R2,110,2018/02/05,2018/03/05,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 6,Sample 6_Plate22.csv
Green,NP,R1,276,2018/02/26,,2018/02/28,2018/02/28,2018/03/01,2018/03/16,"Acer, A",Plate22,Sample 7,Sample 7_Plate22.csv
Green,NP,R1,289,2018/02/26,,2018/02/28,2018/02/28,2018/03/01,2018/03/16,"Acer, A",Plate22,Sample 8,Sample 8_Plate22.csv
Green and Orange,NP,R1,118,2018/02/26,,2018/02/28,2018/02/28,2018/03/01,2018/03/16,"Acer, A",Plate22,Sample 9,Sample 9_Plate22.csv
Green,N,R1,288,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 10,Sample 10_Plate22.csv
Green,NP,R1,184,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 11,Sample 11_Plate22.csv
Green and Orange,NP,R1,124,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 12,Sample 12_Plate22.csv
Green and Orange,NP,R1,222,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 13,Sample 13_Plate22.csv
Green and Orange,NP,R1,228,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 14,Sample 14_Plate22.csv
Green,N,R1,177,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 15,Sample 15_Plate22.csv
Green,N,R1,282,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 16,Sample 16_Plate22.csv
Green,N,R1,288,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 17,Sample 17_Plate22.csv
Green and Orange,N,R1,123,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 18,Sample 18_Plate22.csv
Green and Orange,N,R1,221,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 19,Sample 19_Plate22.csv
Green,NP,R1,178,2018/03/02,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 20,Sample 20_Plate22.csv
Green,N,R1,190,2018/03/03,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 21,Sample 21_Plate22.csv
Green and Orange,N,R1,117,2018/03/03,,2018/03/06,2018/03/07,2018/03/09,2018/03/16,"Acer, A",Plate22,Sample 22,Sample 22_Plate22.csv
F,Control,R2,139,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/22,"Acer, A",Plate23,Sample 1,Sample 1_Plate23.csv
F,Control,R2,139,2018/03/03,,2018/03/06,2018/03/07,2018/03/09,2018/03/22,"Acer, A",Plate23,Sample 2,Sample 2_Plate23.csv
Green,N,R2,285,2018/02/26,,2018/02/28,2018/02/28,2018/03/01,2018/03/22,"Acer, A",Plate23,Sample 3,Sample 3_Plate23.csv
Green and Orange,N,R2,126,2018/02/26,,2018/02/28,2018/02/28,2018/03/01,2018/03/22,"Acer, A",Plate23,Sample 4,Sample 4_Plate23.csv
Orange,NP,R2,155,2018/03/01,,2018/03/06,2018/03/07,2018/03/09,2018/03/22,"Acer, A",Plate23,Sample 5,Sample 5_Plate23.csv
F,Control,R1,291,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 6,Sample 6_Plate23.csv
Green,Control,R1,176,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 7,Sample 7_Plate23.csv
Green,Control,R1,182,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 8,Sample 8_Plate23.csv
Green,Control,R1,281,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 9,Sample 9_Plate23.csv
Green,Control,R1,287,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 10,Sample 10_Plate23.csv
Green and Orange,Control,R1,116,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 11,Sample 11_Plate23.csv
Green and Orange,Control,R1,122,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 12,Sample 12_Plate23.csv
Green and Orange,Control,R1,220,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 13,Sample 13_Plate23.csv
Yellow,Control,R2,231,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 14,Sample 14_Plate23.csv
Green,NP,R2,188,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 15,Sample 15_Plate23.csv
Orange,Control,R1,248,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 16,Sample 16_Plate23.csv
Red and Orange,Control,R1,162,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 17,Sample 17_Plate23.csv
Red and Orange,Control,R1,169,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 18,Sample 18_Plate23.csv
Red and Orange,Control,R1,261,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 19,Sample 19_Plate23.csv
Red and Orange,Control,R1,273,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 20,Sample 20_Plate23.csv
Red and Yellow,Control,R2,108,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 21,Sample 21_Plate23.csv
Red and Yellow,Control,R1,204,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate23,Sample 22,Sample 22_Plate23.csv
Yellow,Control,R1,143,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 1,Sample 1_Plate24.csv
Green,Control,R2,179,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 2,Sample 2_Plate24.csv
Green,Control,R2,186,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 3,Sample 3_Plate24.csv
Green,Control,R2,277,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 4,Sample 4_Plate24.csv
Green and Orange,Control,R2,119,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 5,Sample 5_Plate24.csv
Green and Orange,Control,R2,125,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 6,Sample 6_Plate24.csv
Green and Orange,Control,R2,217,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 7,Sample 7_Plate24.csv
Orange,Control,R2,152,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 8,Sample 8_Plate24.csv
Orange,Control,R2,160,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 9,Sample 9_Plate24.csv
Red and Orange,Control,R2,166,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 10,Sample 10_Plate24.csv
Red and Orange,Control,R2,173,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 11,Sample 11_Plate24.csv
Red and Orange,Control,R2,264,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 12,Sample 12_Plate24.csv
Red and Yellow,Control,R2,102,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 13,Sample 13_Plate24.csv
Green and Orange,Control,R1,226,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 15,Sample 15_Plate24.csv
Green,NP,R2,286,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 16,Sample 16_Plate24.csv
Green and Orange,NP,R2,128,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 17,Sample 17_Plate24.csv
Green and Orange,NP,R2,225,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 18,Sample 18_Plate24.csv
Orange,NP,R2,155,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 19,Sample 19_Plate24.csv
Orange,Control,R1,157,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 20,Sample 20_Plate24.csv
Red and Yellow,Control,R1,105,2018/03/06,2018/03/07,2018/03/13,2018/03/14,2018/03/19,2018/03/22,"Acer, A",Plate24,Sample 21,Sample 21_Plate24.csv
F,Control,R1,137,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 1,Sample 1_Plate25.csv
F,Control,R1,291,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 2,Sample 2_Plate25.csv
Green,Control,R1,176,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 3,Sample 3_Plate25.csv
Green,Control,R1,182,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 4,Sample 4_Plate25.csv
Green,Control,R1,189,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 5,Sample 5_Plate25.csv
Green,Control,R1,281,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 6,Sample 6_Plate25.csv
Green,Control,R1,287,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 7,Sample 7_Plate25.csv
Green and Orange,Control,R1,116,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 8,Sample 8_Plate25.csv
Green and Orange,Control,R1,122,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 9,Sample 9_Plate25.csv
Green and Orange,Control,R1,129,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 10,Sample 10_Plate25.csv
Green and Orange,Control,R1,220,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 11,Sample 11_Plate25.csv
Green and Orange,Control,R1,226,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 12,Sample 12_Plate25.csv
Orange,Control,R1,149,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 13,Sample 13_Plate25.csv
Orange,Control,R1,157,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 14,Sample 14_Plate25.csv
Orange,Control,R1,248,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 15,Sample 15_Plate25.csv
Red and Orange,Control,R1,162,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 16,Sample 16_Plate25.csv
Red and Orange,Control,R1,169,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 17,Sample 17_Plate25.csv
Red and Orange,Control,R1,261,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 18,Sample 18_Plate25.csv
Red and Orange,Control,R1,267,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 19,Sample 19_Plate25.csv
Red and Orange,Control,R1,273,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 20,Sample 20_Plate25.csv
Red and Yellow,Control,R1,105,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 21,Sample 21_Plate25.csv
Red and Yellow,Control,R1,204,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate25,Sample 22,Sample 22_Plate25.csv
Yellow,Control,R1,143,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 1,Sample 1_Plate26.csv
F,N,R1,146,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 2,Sample 2_Plate26.csv
F,N,R1,239,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 3,Sample 3_Plate26.csv
Green,N,R1,177,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 4,Sample 4_Plate26.csv
Green,N,R1,183,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 5,Sample 5_Plate26.csv
Green,N,R1,190,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 6,Sample 6_Plate26.csv
Green,N,R1,282,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 7,Sample 7_Plate26.csv
Green,N,R1,288,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 8,Sample 8_Plate26.csv
Green and Orange,N,R1,117,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 9,Sample 9_Plate26.csv
Green and Orange,N,R1,123,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 10,Sample 10_Plate26.csv
Green and Orange,N,R1,130,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 11,Sample 11_Plate26.csv
Green and Orange,N,R1,221,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 12,Sample 12_Plate26.csv
Green and Orange,N,R1,227,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 13,Sample 13_Plate26.csv
Orange,N,R1,150,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 14,Sample 14_Plate26.csv
Orange,N,R1,158,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 15,Sample 15_Plate26.csv
Orange,N,R1,249,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 16,Sample 16_Plate26.csv
Red and Orange,N,R1,164,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 17,Sample 17_Plate26.csv
Red and Orange,N,R1,170,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 18,Sample 18_Plate26.csv
Red and Orange,N,R1,262,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 19,Sample 19_Plate26.csv
Red and Orange,N,R1,268,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 20,Sample 20_Plate26.csv
Red and Orange,N,R1,274,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 21,Sample 21_Plate26.csv
Red and Yellow,N,R1,106,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/23,"Acer, A",Plate26,Sample 22,Sample 22_Plate26.csv
Red and Yellow,N,R1,206,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 1,Sample 1_Plate27.csv
Yellow,N,R1,144,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 2,Sample 2_Plate27.csv
F,NP,R1,138,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 3,Sample 3_Plate27.csv
F,NP,R1,191,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 4,Sample 4_Plate27.csv
F,NP,R1,240,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 5,Sample 5_Plate27.csv
Green,NP,R1,178,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 6,Sample 6_Plate27.csv
Green,NP,R1,184,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 7,Sample 7_Plate27.csv
Green,NP,R1,276,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 8,Sample 8_Plate27.csv
Green,NP,R1,283,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 9,Sample 9_Plate27.csv
Green,NP,R1,289,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 10,Sample 10_Plate27.csv
Green and Orange,NP,R1,118,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 11,Sample 11_Plate27.csv
Green and Orange,NP,R1,124,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 12,Sample 12_Plate27.csv
Green and Orange,NP,R1,216,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 13,Sample 13_Plate27.csv
Green and Orange,NP,R1,222,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 14,Sample 14_Plate27.csv
Green and Orange,NP,R1,228,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 15,Sample 15_Plate27.csv
Orange,NP,R1,151,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 16,Sample 16_Plate27.csv
Orange,NP,R1,159,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 17,Sample 17_Plate27.csv
Orange,NP,R1,250,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 18,Sample 18_Plate27.csv
Red and Orange,NP,R1,165,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 19,Sample 19_Plate27.csv
Red and Orange,NP,R1,171,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 20,Sample 20_Plate27.csv
Red and Orange,NP,R1,263,2017/11/15,2017/11/20,2018/01/08,2018/01/10,2018/01/11,2018/03/28,"Acer, A",Plate27,Sample 21,Sample 21_Plate27.csv
