Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
Orange,N,R1,158,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 14,Sample 14_Plate8.csv
Orange,N,R1,249,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 15,Sample 15_Plate8.csv
Red and Orange,N,R1,164,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 16,Sample 16_Plate8.csv
Red and Orange,N,R1,170,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 17,Sample 17_Plate8.csv
Red and Orange,N,R1,262,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 18,Sample 18_Plate8.csv
Red and Orange,N,R1,268,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 19,Sample 19_Plate8.csv
Red and Orange,N,R1,274,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 20,Sample 20_Plate8.csv
Red and Yellow,N,R1,106,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 21,Sample 21_Plate8.csv
Red and Yellow,N,R1,206,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate8,Sample 22,Sample 22_Plate8.csv
Yellow,N,R1,144,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 1,Sample 1_Plate9.csv
F,N,R2,236,2017/12/14,2017/12/17,2017/12/21,2017/12/22,2017/12/23,2018/04/25,"Acer, A",Plate9,Sample 2,Sample 2_Plate9.csv
