"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","A.Acer","logA.SH"
"N+P","R1","Ac_124","Green and Orange",2017-11-15,0,"T5","Baseline","124_T5",0.370370903856221,-0.431363138596543
"N+P","R1","Ac_138","F",2017-11-15,0,"T5","Baseline","138_T5",0.102951922137126,-0.987365540587916
"N+P","R1","Ac_145","Yellow",2017-11-15,0,"T5","Baseline","145_T5",0.0447658587065591,-1.34905308037819
"N+P","R1","Ac_151","Orange",2017-11-15,0,"T5","Baseline","151_T5",0.137694483903386,-0.861083457406875
"N+P","R1","Ac_159","Orange",2017-11-15,0,"T5","Baseline","159_T5",0.125307326213863,-0.902023536817179
"N+P","R1","Ac_165","Red and Orange",2017-11-15,0,"T5","Baseline","165_T5",0.290385771635873,-0.537024667074601
"N+P","R1","Ac_171","Red and Orange",2017-11-15,0,"T5","Baseline","171_T5",0.0929463918057216,-1.03176746494835
"N+P","R1","Ac_178","Green",2017-11-15,0,"T5","Baseline","178_T5",0.117362439608742,-0.930470871407424
"N+P","R1","Ac_184","Green",2017-11-15,0,"T5","Baseline","184_T5",0.157676839665354,-0.802232093254567
"N+P","R1","Ac_216","Green and Orange",2017-11-15,0,"T5","Baseline","216_T5",0.160766940385272,-0.793803253375976
"N+P","R1","Ac_222","Green and Orange",2017-11-15,0,"T5","Baseline","222_T5",0.272068657312248,-0.565321486667014
"N+P","R1","Ac_228","Green and Orange",2017-11-15,0,"T5","Baseline","228_T5",0.356146488469704,-0.448371333351559
"N+P","R1","Ac_240","F",2017-11-15,0,"T5","Baseline","240_T5",0.113207596184958,-0.946124431181951
"N+P","R1","Ac_250","Orange",2017-11-15,0,"T5","Baseline","250_T5",0.12003630088158,-0.920687396548345
"N+P","R1","Ac_263","Red and Orange",2017-11-15,0,"T5","Baseline","263_T5",0.428106804262091,-0.368447869502771
"N+P","R1","Ac_269","Red and Orange",2017-11-15,0,"T5","Baseline","269_T5",0.278267180866849,-0.555538011807935
"N+P","R1","Ac_276","Green",2017-11-15,0,"T5","Baseline","276_T5",0.242413621147763,-0.615442980945067
"N+P","R1","Ac_283","Green",2017-11-15,0,"T5","Baseline","283_T5",0.250614652427727,-0.600993541153195
"N+P","R1","Ac_289","Green",2017-11-15,0,"T5","Baseline","289_T5",0.281858439480406,-0.549968956888152
"N+P","R1","Ac_300","Red and Yellow",2017-11-15,0,"T5","Baseline","300_T5",0.0267937936169603,-1.57196579216737
"N+P","R2","Ac_104","Red and Yellow",2017-11-15,0,"T5","Baseline","104_T5",0.152517074736628,-0.816681533046438
"N+P","R2","Ac_110","Red and Yellow",2017-11-15,0,"T5","Baseline","110_T5",0.176414698191657,-0.753465233957002
"N+P","R2","Ac_121","Green and Orange",2017-11-15,0,"T5","Baseline","121_T5",0.193652585827268,-0.712976699540197
"N+P","R2","Ac_128","Green and Orange",2017-11-15,0,"T5","Baseline","128_T5",0.143990214049822,-0.84166702268655
"N+P","R2","Ac_140","F",2017-11-15,0,"T5","Baseline","140_T5",0.0414220472860959,-1.38276843989256
"N+P","R2","Ac_155","Orange",2017-11-15,0,"T5","Baseline","155_T5",0.0611731624504488,-1.21343906733157
"N+P","R2","Ac_168","Red and Orange",2017-11-15,0,"T5","Baseline","168_T5",0.484491302100918,-0.314714015276751
"N+P","R2","Ac_175","Red and Orange",2017-11-15,0,"T5","Baseline","175_T5",0.196287835215884,-0.707106614624749
"N+P","R2","Ac_181","Green",2017-11-15,0,"T5","Baseline","181_T5",0.627219653351456,-0.202580341891916
"N+P","R2","Ac_188","Green",2017-11-15,0,"T5","Baseline","188_T5",0.528891124666238,-0.276633720825257
"N+P","R2","Ac_219","Green and Orange",2017-11-15,0,"T5","Baseline","219_T5",0.0979400451125364,-1.00903970027572
"N+P","R2","Ac_225","Green and Orange",2017-11-15,0,"T5","Baseline","225_T5",0.21228034016481,-0.67309022511472
"N+P","R2","Ac_229","Green and Orange",2017-11-15,0,"T5","Baseline","229_T5",0.369729655746411,-0.432115713585702
"N+P","R2","Ac_237","F",2017-11-15,0,"T5","Baseline","237_T5",0.168759739497455,-0.772731153679497
"N+P","R2","Ac_247","Orange",2017-11-15,0,"T5","Baseline","247_T5",0.171531170515976,-0.765656948781394
"N+P","R2","Ac_266","Red and Orange",2017-11-15,0,"T5","Baseline","266_T5",0.199442208795728,-0.700182924724477
"N+P","R2","Ac_272","Red and Orange",2017-11-15,0,"T5","Baseline","272_T5",0.241826234826807,-0.616496585929892
"N+P","R2","Ac_280","Green",2017-11-15,0,"T5","Baseline","280_T5",0.26472065486196,-0.577212171495742
"N+P","R2","Ac_286","Green",2017-11-15,0,"T5","Baseline","286_T5",0.32164533523447,-0.492622742714163
"A","R1","Ac_105","Red and Yellow",2017-12-14,29,"T9","Nutrients","105_T9",0.0686566212436252,-1.16331757305351
"A","R1","Ac_116","Green and Orange",2017-12-14,29,"T9","Nutrients","116_T9",0.119331156189926,-0.923246151511488
"A","R1","Ac_122","Green and Orange",2017-12-14,29,"T9","Nutrients","122_T9",0.111494362563435,-0.952747091086559
"A","R1","Ac_129","Green and Orange",2017-12-14,29,"T9","Nutrients","129_T9",0.0778069409843635,-1.10898165883616
"A","R1","Ac_137","F",2017-12-14,29,"T9","Nutrients","137_T9",0.131902395486051,-0.879747317138043
"A","R1","Ac_143","Yellow",2017-12-14,29,"T9","Nutrients","143_T9",0.266654331964582,-0.57405135654127
"A","R1","Ac_149","Orange",2017-12-14,29,"T9","Nutrients","149_T9",0.107659136990316,-0.967949105867589
"A","R1","Ac_157","Orange",2017-12-14,29,"T9","Nutrients","157_T9",0.0444412335061267,-1.35221389533266
"A","R1","Ac_162","Red and Orange",2017-12-14,29,"T9","Nutrients","162_T9",0.105882984517852,-0.975173825763526
"A","R1","Ac_169","Red and Orange",2017-12-14,29,"T9","Nutrients","169_T9",0.0647284007968856,-1.18890512268495
"A","R1","Ac_176","Green",2017-12-14,29,"T9","Nutrients","176_T9",0.0692300725757779,-1.15970521310555
"A","R1","Ac_182","Green",2017-12-14,29,"T9","Nutrients","182_T9",0.0704401929286492,-1.15217946321395
"A","R1","Ac_189","Green",2017-12-14,29,"T9","Nutrients","189_T9",0.078185379973035,-1.10687444886652
"A","R1","Ac_204","Red and Yellow",2017-12-14,29,"T9","Nutrients","204_T9",0.188422436609711,-0.724867384368925
"A","R1","Ac_220","Green and Orange",2017-12-14,29,"T9","Nutrients","220_T9",0.135188343861283,-0.86906075229197
"A","R1","Ac_226","Green and Orange",2017-12-14,29,"T9","Nutrients","226_T9",0.0856170935194069,-1.06743951943453
"A","R1","Ac_248","Orange",2017-12-14,29,"T9","Nutrients","248_T9",0.0829877769039381,-1.08098586923941
"A","R1","Ac_261","Red and Orange",2017-12-14,29,"T9","Nutrients","261_T9",0.0538482276351703,-1.26882858653374
"A","R1","Ac_267","Red and Orange",2017-12-14,29,"T9","Nutrients","267_T9",0.0732281759784028,-1.13532178345676
"A","R1","Ac_273","Red and Orange",2017-12-14,29,"T9","Nutrients","273_T9",0.0973647033000655,-1.01159845523887
"A","R1","Ac_281","Green",2017-12-14,29,"T9","Nutrients","281_T9",0.0790299152236073,-1.10220848393373
"A","R1","Ac_287","Green",2017-12-14,29,"T9","Nutrients","287_T9",0.0863920681007903,-1.0635261294909
"A","R1","Ac_291","F",2017-12-14,29,"T9","Nutrients","291_T9",0.0521222318429602,-1.28297699632995
"A","R2","Ac_102","Red and Yellow",2017-12-14,29,"T9","Nutrients","102_T9",0.0539042438714916,-1.26837704154024
"A","R2","Ac_108","Red and Yellow",2017-12-14,29,"T9","Nutrients","108_T9",0.0396384036023223,-1.40188384461722
"A","R2","Ac_119","Green and Orange",2017-12-14,29,"T9","Nutrients","119_T9",0.0828728111233927,-1.08158792923074
"A","R2","Ac_125","Green and Orange",2017-12-14,29,"T9","Nutrients","125_T9",0.12036957397678,-0.919483276565687
