Spp,Colony,Core,Treatment,Rep,Date,Chl_a,Sym/cm2,Sym/cm2_2
O. fav,6,6-115,NP,R1,2018-03-08,4.29,1227809.24115773,1227809.24115773
O. fav,34,34-22,NP,R1,2018-03-08,1.59,251264.807502468,251264.807502468
O. fav,6,6-85,Control,R2,2018-03-08,2.68,818622.227207717,818622.227207717
O. fav,20,20-4,Control,R2,2018-03-08,2.9,577675.976751695,577675.976751695
O. fav,34,34-23,Control,R2,2018-03-08,1.93,793276.919603379,793276.919603379
O. fav,6,6-19,N,R2,2018-03-08,2.68,835093.483532817,835093.483532817
O. fav,20,20-41,N,R2,2018-03-08,0.85,305577.285495857,305577.285495857
O. fav,34,34-24,N,R2,2018-03-08,0.93,370205.092710648,370205.092710648
O. fav,6,6-72,NP,R2,2018-03-08,5.67,1568969.20159201,1568969.20159201
O. fav,20,20-11,NP,R2,2018-03-08,1.81,442764.578833693,442764.578833693
O. fav,34,34-21,NP,R2,2018-03-08,1.63,627185.400542176,627185.400542176
S.sid,20,20-1,Control,R1,2018-02-05,2.44,801881.602112676,801881.602112676
S.sid,20,20-2,N,R1,2018-02-05,4.8,1466383.30757342,1466383.30757342
S.sid,20,20-23,NP,R1,2018-02-05,5.6,1149843.91259105,1149843.91259105
S.sid,20,20-36,NP,R2,2018-02-05,5.44,1100572.13930348,1100572.13930348
S.sid,20,20-39,N,R2,2018-02-05,3.48,1066655.74844415,1066655.74844415
S.sid,20,20-45,Control,R2,2018-02-05,3.26,1027713.07695964,1027713.07695964
S.sid,22,22-6,N,R1,2018-02-05,4.84,1280057.44141281,1280057.44141281
S.sid,22,22-8,N,R2,2018-02-05,3.53,1086647.14273957,1086647.14273957
S.sid,22,22-24,Control,R2,2018-02-05,3.07,868134.221141626,868134.221141626
S.sid,22,22-36,NP,R2,2018-02-05,2.84,965827.274962245,965827.274962245
S.sid,22,22-39,NP,R1,2018-02-05,5.46,1405953.74892272,1405953.74892272
S.sid,22,22-42,Control,R1,2018-02-05,2.97,933005.025706198,933005.025706198
S.sid,23,23-54,Control,R1,2018-02-05,2.93,953648.259037481,953648.259037481
S.sid,23,23-55,N,R1,2018-02-05,7.09,1253964.24339583,1253964.24339583
S.sid,23,23-59,NP,R1,2018-02-05,6.44,1309190.31266944,1309190.31266944
S.sid,23,23-70,N,R2,2018-02-05,5.68,1532000.34548281,1532000.34548281
S.sid,23,23-71,NP,R2,2018-02-05,8.81,1394730.01038422,1394730.01038422
S.sid,23,23-79,Control,R2,2018-02-05,5.42,1378141.18549779,1378141.18549779
S.sid,24,24-11,NP,R1,2018-02-05,6.27,1184102.62417994,1184102.62417994
S.sid,24,24-12,Control,R1,2018-02-05,6.64,1306074.41581336,1306074.41581336
S.sid,24,24-14,N,R1,2018-02-05,6.34,1713669.33466733,1713669.33466733
S.sid,24,24-23,Control,R2,2018-02-05,7.12,2291440.95341278,2291440.95341278
S.sid,24,24-27,N,R2,2018-02-05,9.78,2284651.82619327,2284651.82619327
S.sid,24,24-28,NP,R2,2018-02-05,8.68,1854316.92829868,1854316.92829868
S.sid,27,27-12,N,R1,2018-02-05,5.25,1442930.53383962,1442930.53383962
S.sid,27,27-19,Control,R1,2018-02-05,3.68,863024.94383317,863024.94383317
S.sid,27,27-27,NP,R1,2018-02-05,5.53,1598648.78340646,1598648.78340646
S.sid,27,27-77,NP,R2,2018-02-05,6.44,1560306.73251885,1560306.73251885
S.sid,27,27-94,Control,R2,2018-02-05,4.69,819147.889402735,819147.889402735
S.sid,27,27-97,N,R2,2018-02-05,4.33,995820.014752889,995820.014752889
S.sid,28,28-4,Control,R2,2018-02-05,5.46,1684404.56316082,1684404.56316082
S.sid,28,28-6,N,R2,2018-02-05,4.23,1818448.73366013,1818448.73366013
S.sid,28,28-8,NP,R1,2018-02-05,3.28,955801.409070894,955801.409070894
S.sid,28,28-20,N,R1,2018-02-05,3.72,1179723.70376847,1179723.70376847
S.sid,28,28-30,Control,R1,2018-02-05,3.01,936167.620903886,936167.620903886
S.sid,30,30-1,Control,R1,2018-02-05,3.8,1529753.7619699,1529753.7619699
S.sid,30,30-2,NP,R1,2018-02-05,4.02,1640315.45260591,1640315.45260591
S.sid,30,30-10,N,R1,2018-02-05,5.53,1603519.08519891,1603519.08519891
S.sid,30,30-23,Control,R2,2018-02-05,3.93,1433011.42694837,1433011.42694837
S.sid,30,30-24,N,R2,2018-02-05,3.6,1094055.21004064,1094055.21004064
S.sid,30,30-25,NP,R2,2018-02-05,4.93,2078942.06887293,2078942.06887293
S.sid,20,20-8,N,R1,2018-03-08,1.19,#VALUE!,#VALUE!
S.sid,20,20-13,Control,R1,2018-03-08,0.83,604706.929535551,604706.929535551
S.sid,20,20-17,NP,R1,2018-03-08,1.48,553410.109647611,553410.109647611
S.sid,20,20-33,N,R2,2018-03-08,2.24,622564.302416212,622564.302416212
S.sid,20,20-38,Control,R2,2018-03-08,1.23,312568.787145058,312568.787145058
S.sid,20,20-41,NP,R2,2018-03-08,0.88,270172.910662824,270172.910662824
S.sid,22,22-3,N,R1,2018-03-08,1.3,398556.969165204,398556.969165204
S.sid,22,22-18,NP,R1,2018-03-08,1.31,422818.703364775,422818.703364775
S.sid,22,22-21,Control,R1,2018-03-08,0.35,200978.187542163,200978.187542163
S.sid,22,22-27,N,R2,2018-03-08,1.26,371853.338197738,371853.338197738
S.sid,22,22-31,NP,R2,2018-03-08,0.94,349597.071095476,349597.071095476
S.sid,22,22-32,Control,R2,2018-03-08,1.57,524136.914334727,524136.914334727
S.sid,23,23-61,N,R1,2018-03-08,3.6,1065470.21283488,1065470.21283488
S.sid,23,23-65,Control,R1,2018-03-08,2.1,572651.550208237,572651.550208237
S.sid,23,23-67,NP,R1,2018-03-08,2.28,782844.152003549,782844.152003549
S.sid,23,23-72,Control,R2,2018-03-08,0.92,191217.748029796,191217.748029796
S.sid,23,23-76,N,R2,2018-03-08,3.56,850579.470198676,850579.470198676
S.sid,23,23-81,NP,R2,2018-03-08,2.14,577281.460134486,577281.460134486
S.sid,24,24-5,NP,R1,2018-03-08,0.87,239970.003749531,239970.003749531
S.sid,24,24-6,Control,R1,2018-03-08,0.14,167728.73746334,167728.73746334
S.sid,24,24-10,N,R1,2018-03-08,1.34,375039.312296886,375039.312296886
S.sid,24,24-16,Control,R2,2018-03-08,0.46,179979.43092218,179979.43092218
S.sid,24,24-24,N,R2,2018-03-08,0.64,252665.607985481,252665.607985481
S.sid,24,24-25,NP,R2,2018-03-08,1.7,273722.627737226,273722.627737226
S.sid,27,27-5,N,R1,2018-03-08,2.48,844496.449322143,844496.449322143
S.sid,27,27-6,NP,R1,2018-03-08,2.97,935598.377281947,935598.377281947
S.sid,27,27-9,Control,R1,2018-03-08,2.21,427084.536320591,427084.536320591
S.sid,27,27-73,Control,R2,2018-03-08,1.43,691404.36895329,691404.36895329
S.sid,27,27-75,N,R2,2018-03-08,3.08,1414241.31110483,1414241.31110483
S.sid,27,27-87,NP,R2,2018-03-08,2.07,878408.582923558,878408.582923558
S.sid,28,28-2,Control,R1,2018-03-08,1.99,775723.647094562,775723.647094562
S.sid,28,28-3,N,R1,2018-03-08,2.55,236093.877674545,236093.877674545
S.sid,28,28-10,NP,R1,2018-03-08,1.28,329585.537918871,329585.537918871
S.sid,28,28-13,N,R2,2018-03-08,2.31,525826.185671039,525826.185671039
