"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH"
"170","105_2018-02-23","Control","R1","Red and Yellow",105,2018-02-23,100,0.180183982196286,-0.74428381908925
"171","204_2018-02-23","Control","R1","Red and Yellow",204,2018-02-23,100,0.0830453195879906,-1.08068483924375
"172","143_2018-02-23","Control","R1","Yellow",143,2018-02-23,100,0.157567584277907,-0.80253312325023
"173","177_2018-02-23","N","R1","Green",177,2018-02-23,100,0.144189965296639,-0.841064962695221
"174","176_2018-02-23","Control","R1","Green",176,2018-02-23,100,0.192848879782188,-0.714782879514181
"175","190_2018-02-23","N","R1","Green",190,2018-02-23,100,0.164372706628767,-0.784170293514729
"176","282_2018-02-23","N","R1","Green",282,2018-02-23,100,0.118301696742496,-0.927009026457289
"177","288_2018-02-23","N","R1","Green",288,2018-02-23,100,0.10606662481456,-0.974421250774365
"178","182_2018-02-23","Control","R1","Green",182,2018-02-23,100,0.17374491628251,-0.76008789386161
"179","281_2018-02-23","Control","R1","Green",281,2018-02-23,100,0.199165914742997,-0.700784984715806
"180","287_2018-02-23","Control","R1","Green",287,2018-02-23,100,0.207336018769972,-0.683325244967296
"181","116_2018-02-23","Control","R1","Green and Orange",116,2018-02-23,100,0.208416683135443,-0.681067519999816
"182","122_2018-02-23","Control","R1","Green and Orange",122,2018-02-23,100,0.124054215950736,-0.906388471754305
"183","220_2018-02-23","Control","R1","Green and Orange",220,2018-02-23,100,0.177703336067825,-0.750304419002532
"184","226_2018-02-23","Control","R1","Green and Orange",226,2018-02-23,100,0.200342814322483,-0.698226229752661
"185","117_2018-02-23","N","R1","Green and Orange",117,2018-02-23,100,0.267302024747508,-0.572997751556446
"186","124_2018-02-23","NP","R1","Green and Orange",124,2018-02-23,100,0.0527949105738145,-1.27740794141016
"187","222_2018-02-23","NP","R1","Green and Orange",222,2018-02-23,100,0.103919814862903,-0.983301635646451
"188","228_2018-02-23","NP","R1","Green and Orange",228,2018-02-23,100,0.0722951497464319,-1.14089083837655
"189","250_2018-02-23","NP","R1","Orange",250,2018-02-23,100,0.0210949674371819,-1.67582114067144
"190","139_2018-02-23","Control","R2","F",139,2018-02-23,100,0.013116645987978,-1.8821772026991
"191","192_2018-02-23","Control","R2","F",192,2018-02-23,100,0.0330671535080793,-1.48060318848335
"192","179_2018-02-23","Control","R2","Green",179,2018-02-23,100,0.130176656547162,-0.885466887055659
"193","186_2018-02-23","Control","R2","Green",186,2018-02-23,100,0.128607142262266,-0.890734911979778
"194","277_2018-02-23","Control","R2","Green",277,2018-02-23,100,0.143641314999992,-0.842720627671373
"195","284_2018-02-23","Control","R2","Green",284,2018-02-23,100,0.115546276199099,-0.937244046309863
"196","123_2018-02-23","N","R1","Green and Orange",123,2018-02-23,100,0.233184317566738,-0.632300660702251
"197","119_2018-02-23","Control","R2","Green and Orange",119,2018-02-23,100,0.1717096077832,-0.765205403787898
"198","125_2018-02-23","Control","R2","Green and Orange",125,2018-02-23,100,0.113286092912821,-0.945823401186287
