"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
4,2017-11-06,"A.cer","A.cer_184","N+P","R1",0.672,"2017-11-06_184","Acer_48",-9,"A.cer_184_4"
10,2018-01-03,"A.cer","A.cer_187","N","R2",0.633,"2018-01-03_187","Acer_48",49,"A.cer_187_10"
2,2017-10-10,"A.cer","A.cer_190","N","R1",0.54,"2017-10-10_190","Acer_48",-36,"A.cer_190_2"
15,2018-02-12,"A.cer","A.cer_289","N+P","R1",0.591,"2018-02-12_289","Acer_48",89,"A.cer_289_15"
8,2017-12-06,"A.cer","A.cer_178","N+P","R1",0.648,"2017-12-06_178","Acer_48",21,"A.cer_178_8"
1,2017-08-30,"A.cer","A.cer_190","N","R1",0.522,"2017-08-30_190","Acer_48",-77,"A.cer_190_1"
11,2018-01-19,"A.cer","A.cer_276","N+P","R1",0.638,"2018-01-19_276","Acer_48",65,"A.cer_276_11"
10,2018-01-03,"A.cer","A.cer_283","N+P","R1",0.656,"2018-01-03_283","Acer_48",49,"A.cer_283_10"
10,2018-01-03,"A.cer","A.cer_289","N+P","R1",0.652,"2018-01-03_289","Acer_48",49,"A.cer_289_10"
11,2018-01-19,"A.cer","A.cer_282","N","R1",0.628,"2018-01-19_282","Acer_48",65,"A.cer_282_11"
8,2017-12-06,"A.cer","A.cer_177","N","R1",0.658,"2017-12-06_177","Acer_48",21,"A.cer_177_8"
2,2017-10-10,"A.cer","A.cer_278","N","R2",0.533,"2017-10-10_278","Acer_48",-36,"A.cer_278_2"
4,2017-11-06,"A.cer","A.cer_280","N+P","R2",0.68,"2017-11-06_280","Acer_48",-9,"A.cer_280_4"
4,2017-11-06,"A.cer","A.cer_286","N+P","R2",0.672,"2017-11-06_286","Acer_48",-9,"A.cer_286_4"
4,2017-11-06,"A.cer","A.cer_180","N","R2",0.683,"2017-11-06_180","Acer_48",-9,"A.cer_180_4"
1,2017-08-30,"A.cer","A.cer_283","N+P","R1",0.454,"2017-08-30_283","Acer_48",-77,"A.cer_283_1"
5,2017-11-16,"A.cer","A.cer_178","N+P","R1",0.638,"2017-11-16_178","Acer_48",1,"A.cer_178_5"
5,2017-11-16,"A.cer","A.cer_184","N+P","R1",0.617,"2017-11-16_184","Acer_48",1,"A.cer_184_5"
8,2017-12-06,"A.cer","A.cer_189","Ambient","R1",0.639,"2017-12-06_189","Acer_48",21,"A.cer_189_8"
1,2017-08-30,"A.cer","A.cer_288","N","R1",0.527,"2017-08-30_288","Acer_48",-77,"A.cer_288_1"
0,2017-07-26,"A.cer","A.cer_290","Ambient","R2",0.616,"2017-07-26_290","Acer_48",-112,"A.cer_290_0"
7,2017-11-29,"A.cer","A.cer_181","N+P","R2",0.651,"2017-11-29_181","Acer_48",14,"A.cer_181_7"
8,2017-12-06,"A.cer","A.cer_188","N+P","R2",0.653,"2017-12-06_188","Acer_48",21,"A.cer_188_8"
10,2018-01-03,"A.cer","A.cer_188","N+P","R2",0.599,"2018-01-03_188","Acer_48",49,"A.cer_188_10"
7,2017-11-29,"A.cer","A.cer_188","N+P","R2",0.659,"2017-11-29_188","Acer_48",14,"A.cer_188_7"
1,2017-08-30,"A.cer","A.cer_284","Ambient","R2",0.494,"2017-08-30_284","Acer_48",-77,"A.cer_284_1"
4,2017-11-06,"A.cer","A.cer_178","N+P","R1",0.684,"2017-11-06_178","Acer_48",-9,"A.cer_178_4"
1,2017-08-30,"A.cer","A.cer_282","N","R1",0.427,"2017-08-30_282","Acer_48",-77,"A.cer_282_1"
5,2017-11-16,"A.cer","A.cer_181","N+P","R2",0.61,"2017-11-16_181","Acer_48",1,"A.cer_181_5"
2,2017-10-10,"A.cer","A.cer_188","N+P","R2",0.556,"2017-10-10_188","Acer_48",-36,"A.cer_188_2"
2,2017-10-10,"A.cer","A.cer_286","N+P","R2",0.476,"2017-10-10_286","Acer_48",-36,"A.cer_286_2"
4,2017-11-06,"A.cer","A.cer_277","Ambient","R2",0.675,"2017-11-06_277","Acer_48",-9,"A.cer_277_4"
3,2017-10-19,"A.cer","A.cer_179","Ambient","R2",0.562,"2017-10-19_179","Acer_48",-27,"A.cer_179_3"
7,2017-11-29,"A.cer","A.cer_284","Ambient","R2",0.638,"2017-11-29_284","Acer_48",14,"A.cer_284_7"
10,2018-01-03,"A.cer","A.cer_284","Ambient","R2",0.571,"2018-01-03_284","Acer_48",49,"A.cer_284_10"
5,2017-11-16,"A.cer","A.cer_277","Ambient","R2",0.621,"2017-11-16_277","Acer_48",1,"A.cer_277_5"
5,2017-11-16,"A.cer","A.cer_284","Ambient","R2",0.624,"2017-11-16_284","Acer_48",1,"A.cer_284_5"
4,2017-11-06,"A.cer","A.cer_177","N","R1",0.672,"2017-11-06_177","Acer_48",-9,"A.cer_177_4"
2,2017-10-10,"A.cer","A.cer_181","N+P","R2",0.504,"2017-10-10_181","Acer_48",-36,"A.cer_181_2"
10,2018-01-03,"A.cer","A.cer_286","N+P","R2",0.615,"2018-01-03_286","Acer_48",49,"A.cer_286_10"
8,2017-12-06,"A.cer","A.cer_286","N+P","R2",0.631,"2017-12-06_286","Acer_48",21,"A.cer_286_8"
3,2017-10-19,"A.cer","A.cer_288","N","R1",0.552,"2017-10-19_288","Acer_48",-27,"A.cer_288_3"
14,2018-02-07,"A.cer","A.cer_287","Ambient","R1",0.581,"2018-02-07_287","Acer_48",84,"A.cer_287_14"
15,2018-02-12,"A.cer","A.cer_188","N+P","R2",0.576,"2018-02-12_188","Acer_48",89,"A.cer_188_15"
0,2017-07-26,"A.cer","A.cer_184","N+P","R1",0.591,"2017-07-26_184","Acer_48",-112,"A.cer_184_0"
0,2017-07-26,"A.cer","A.cer_183","N","R1",0.595,"2017-07-26_183","Acer_48",-112,"A.cer_183_0"
0,2017-07-26,"A.cer","A.cer_186","Ambient","R2",0.59,"2017-07-26_186","Acer_48",-112,"A.cer_186_0"
11,2018-01-19,"A.cer","A.cer_283","N+P","R1",0.638,"2018-01-19_283","Acer_48",65,"A.cer_283_11"
15,2018-02-12,"A.cer","A.cer_176","Ambient","R1",0.561,"2018-02-12_176","Acer_48",89,"A.cer_176_15"
8,2017-12-06,"A.cer","A.cer_276","N+P","R1",0.652,"2017-12-06_276","Acer_48",21,"A.cer_276_8"
8,2017-12-06,"A.cer","A.cer_283","N+P","R1",0.645,"2017-12-06_283","Acer_48",21,"A.cer_283_8"
8,2017-12-06,"A.cer","A.cer_289","N+P","R1",0.642,"2017-12-06_289","Acer_48",21,"A.cer_289_8"
3,2017-10-19,"A.cer","A.cer_282","N","R1",0.553,"2017-10-19_282","Acer_48",-27,"A.cer_282_3"
1,2017-08-30,"A.cer","A.cer_281","Ambient","R1",0.455,"2017-08-30_281","Acer_48",-77,"A.cer_281_1"
7,2017-11-29,"A.cer","A.cer_178","N+P","R1",0.635,"2017-11-29_178","Acer_48",14,"A.cer_178_7"
7,2017-11-29,"A.cer","A.cer_184","N+P","R1",0.642,"2017-11-29_184","Acer_48",14,"A.cer_184_7"
9,2017-12-13,"A.cer","A.cer_176","Ambient","R1",0.618,"2017-12-13_176","Acer_48",28,"A.cer_176_9"
15,2018-02-12,"A.cer","A.cer_186","Ambient","R2",0.575,"2018-02-12_186","Acer_48",89,"A.cer_186_15"
5,2017-11-16,"A.cer","A.cer_276","N+P","R1",0.625,"2017-11-16_276","Acer_48",1,"A.cer_276_5"
5,2017-11-16,"A.cer","A.cer_283","N+P","R1",0.636,"2017-11-16_283","Acer_48",1,"A.cer_283_5"
0,2017-07-26,"A.cer","A.cer_288","N","R1",0.62,"2017-07-26_288","Acer_48",-112,"A.cer_288_0"
2,2017-10-10,"A.cer","A.cer_176","Ambient","R1",0.47,"2017-10-10_176","Acer_48",-36,"A.cer_176_2"
4,2017-11-06,"A.cer","A.cer_189","Ambient","R1",0.676,"2017-11-06_189","Acer_48",-9,"A.cer_189_4"
5,2017-11-16,"A.cer","A.cer_281","Ambient","R1",0.636,"2017-11-16_281","Acer_48",1,"A.cer_281_5"
4,2017-11-06,"A.cer","A.cer_281","Ambient","R1",0.671,"2017-11-06_281","Acer_48",-9,"A.cer_281_4"
2,2017-10-10,"A.cer","A.cer_187","N","R2",0.517,"2017-10-10_187","Acer_48",-36,"A.cer_187_2"
3,2017-10-19,"A.cer","A.cer_189","Ambient","R1",0.522,"2017-10-19_189","Acer_48",-27,"A.cer_189_3"
3,2017-10-19,"A.cer","A.cer_281","Ambient","R1",0.559,"2017-10-19_281","Acer_48",-27,"A.cer_281_3"
3,2017-10-19,"A.cer","A.cer_287","Ambient","R1",0.554,"2017-10-19_287","Acer_48",-27,"A.cer_287_3"
11,2018-01-19,"A.cer","A.cer_278","N","R2",0.632,"2018-01-19_278","Acer_48",65,"A.cer_278_11"
8,2017-12-06,"A.cer","A.cer_180","N","R2",0.652,"2017-12-06_180","Acer_48",21,"A.cer_180_8"
11,2018-01-19,"A.cer","A.cer_277","Ambient","R2",0.595,"2018-01-19_277","Acer_48",65,"A.cer_277_11"
14,2018-02-07,"A.cer","A.cer_178","N+P","R1",0.627,"2018-02-07_178","Acer_48",84,"A.cer_178_14"
12,2018-01-25,"A.cer","A.cer_290","Ambient","R2",0.598,"2018-01-25_290","Acer_48",71,"A.cer_290_12"
5,2017-11-16,"A.cer","A.cer_186","Ambient","R2",0.623,"2017-11-16_186","Acer_48",1,"A.cer_186_5"
14,2018-02-07,"A.cer","A.cer_289","N+P","R1",0.608,"2018-02-07_289","Acer_48",84,"A.cer_289_14"
10,2018-01-03,"A.cer","A.cer_290","Ambient","R2",0.591,"2018-01-03_290","Acer_48",49,"A.cer_290_10"
13,2018-01-30,"A.cer","A.cer_289","N+P","R1",0.623,"2018-01-30_289","Acer_48",76,"A.cer_289_13"
2,2017-10-10,"A.cer","A.cer_182","Ambient","R1",0.428,"2017-10-10_182","Acer_48",-36,"A.cer_182_2"
4,2017-11-06,"A.cer","A.cer_282","N","R1",0.666,"2017-11-06_282","Acer_48",-9,"A.cer_282_4"
4,2017-11-06,"A.cer","A.cer_288","N","R1",0.668,"2017-11-06_288","Acer_48",-9,"A.cer_288_4"
2,2017-10-10,"A.cer","A.cer_183","N","R1",0.485,"2017-10-10_183","Acer_48",-36,"A.cer_183_2"
3,2017-10-19,"A.cer","A.cer_190","N","R1",0.559,"2017-10-19_190","Acer_48",-27,"A.cer_190_3"
12,2018-01-25,"A.cer","A.cer_283","N+P","R1",0.612,"2018-01-25_283","Acer_48",71,"A.cer_283_12"
15,2018-02-12,"A.cer","A.cer_280","N+P","R2",0.58,"2018-02-12_280","Acer_48",89,"A.cer_280_15"
15,2018-02-12,"A.cer","A.cer_286","N+P","R2",0.576,"2018-02-12_286","Acer_48",89,"A.cer_286_15"
12,2018-01-25,"A.cer","A.cer_177","N","R1",0.637,"2018-01-25_177","Acer_48",71,"A.cer_177_12"
9,2017-12-13,"A.cer","A.cer_178","N+P","R1",0.665,"2017-12-13_178","Acer_48",28,"A.cer_178_9"
11,2018-01-19,"A.cer","A.cer_183","N","R1",0.625,"2018-01-19_183","Acer_48",65,"A.cer_183_11"
11,2018-01-19,"A.cer","A.cer_190","N","R1",0.624,"2018-01-19_190","Acer_48",65,"A.cer_190_11"
