Sample,Date,Spp,Fragment,Treatment,Replicate,YII,Genotype,Days,Time_Point,Phase,TotalSH,logSH,D.Prp,Community,InitialCommunity
Of_20-41_T8,2017-12-06,Of,Of_20-41,N,R2,0.468,Of_20,21,T8,Nutrients,NA,NA,NA,D,D
Of_20-41_T9,2017-12-13,Of,Of_20-41,N,R2,0.503,Of_20,28,T9,Nutrients,0.028859702936174,-1.5397081435767,0.985904962264911,D,D
Of_20-41_T10,2018-01-03,Of,Of_20-41,N,R2,0.443,Of_20,49,T10,Nutrients,NA,NA,NA,D,D
Of_20-41_T11,2018-01-19,Of,Of_20-41,N,R2,0.486,Of_20,65,T11,Nutrients,NA,NA,NA,D,D
Of_20-41_T12,2018-01-25,Of,Of_20-41,N,R2,0.439,Of_20,71,T12,Nutrients,0.00731251492993,-2.1359332342117,1,D,D
Of_20-41_T13,2018-01-30,Of,Of_20-41,N,R2,0.443,Of_20,76,T13,Nutrients,NA,NA,NA,D,D
Of_20-41_T15,2018-02-07,Of,Of_20-41,N,R2,0.493,Of_20,84,T15,Ramping,NA,NA,NA,D,D
Of_20-41_T16,2018-02-12,Of,Of_20-41,N,R2,0.477,Of_20,89,T16,Ramping,NA,NA,NA,D,D
Of_20-41_T17,2018-02-15,Of,Of_20-41,N,R2,0.525,Of_20,92,T17,Heat,NA,NA,NA,D,D
Of_20-41_T18,2018-02-19,Of,Of_20-41,N,R2,0.429,Of_20,96,T18,Heat,NA,NA,NA,D,D
Of_20-41_T19,2018-02-22,Of,Of_20-41,N,R2,0.426,Of_20,99,T19,Heat,0.022520762211062,-1.64741691495494,1,D,D
Of_20-41_T20,2018-02-26,Of,Of_20-41,N,R2,0.422,Of_20,103,T20,Heat,NA,NA,NA,D,D
Of_20-41_T21,2018-03-01,Of,Of_20-41,N,R2,0.359,Of_20,106,T21,Heat,NA,NA,NA,D,D
Of_20-41_T22,2018-03-05,Of,Of_20-41,N,R2,0.333,Of_20,110,T22,Heat,0.01510919820863,-1.82075858151185,1,D,D
Of_20-41_T23,2018-03-08,Of,Of_20-41,N,R2,0.332,Of_20,113,T23,Heat,NA,NA,NA,D,D
Of_20-43_T5,2017-11-16,Of,Of_20-43,N+P,R2,0.496,Of_20,1,T5,Baseline,0.064364813065225,-1.19135148773161,1,D,D
Of_20-43_T6,2017-11-23,Of,Of_20-43,N+P,R2,0.493,Of_20,8,T6,Nutrients,NA,NA,NA,D,D
Of_20-43_T7,2017-11-29,Of,Of_20-43,N+P,R2,0.557,Of_20,14,T7,Nutrients,NA,NA,NA,D,D
Of_20-43_T8,2017-12-06,Of,Of_20-43,N+P,R2,0.502,Of_20,21,T8,Nutrients,NA,NA,NA,D,D
Of_20-43_T9,2017-12-13,Of,Of_20-43,N+P,R2,0.521,Of_20,28,T9,Nutrients,0.006028883911669,-2.21976307855078,1,D,D
Of_20-43_T10,2018-01-03,Of,Of_20-43,N+P,R2,0.495,Of_20,49,T10,Nutrients,NA,NA,NA,D,D
Of_20-43_T11,2018-01-19,Of,Of_20-43,N+P,R2,0.55,Of_20,65,T11,Nutrients,NA,NA,NA,D,D
Of_20-43_T12,2018-01-25,Of,Of_20-43,N+P,R2,0.41,Of_20,71,T12,Nutrients,0.019480091278822,-1.71040901245761,1,D,D
Of_20-43_T13,2018-01-30,Of,Of_20-43,N+P,R2,0.457,Of_20,76,T13,Nutrients,NA,NA,NA,D,D
Of_20-45_T5,2017-11-16,Of,Of_20-45,N,R2,0.476,Of_20,1,T5,Baseline,0.080830928930677,-1.0924224301443,1,D,D
Of_20-45_T6,2017-11-23,Of,Of_20-45,N,R2,0.47,Of_20,8,T6,Nutrients,NA,NA,NA,D,D
Of_20-45_T7,2017-11-29,Of,Of_20-45,N,R2,0.522,Of_20,14,T7,Nutrients,NA,NA,NA,D,D
Of_20-45_T8,2017-12-06,Of,Of_20-45,N,R2,0.497,Of_20,21,T8,Nutrients,NA,NA,NA,D,D
Of_20-45_T9,2017-12-13,Of,Of_20-45,N,R2,0.502,Of_20,28,T9,Nutrients,0.014592225592674,-1.83587846486433,1,D,D
Of_20-45_T10,2018-01-03,Of,Of_20-45,N,R2,0.441,Of_20,49,T10,Nutrients,NA,NA,NA,D,D
Of_20-45_T11,2018-01-19,Of,Of_20-45,N,R2,0.476,Of_20,65,T11,Nutrients,NA,NA,NA,D,D
Of_20-45_T12,2018-01-25,Of,Of_20-45,N,R2,0.466,Of_20,71,T12,Nutrients,0.064474423559091,-1.19061253203182,1,D,D
Of_20-45_T13,2018-01-30,Of,Of_20-45,N,R2,0.445,Of_20,76,T13,Nutrients,NA,NA,NA,D,D
Of_20-46_T5,2017-11-16,Of,Of_20-46,N,R1,0.483,Of_20,1,T5,Baseline,0.071021893639208,-1.14860775239353,1,D,D
Of_20-46_T6,2017-11-23,Of,Of_20-46,N,R1,0.497,Of_20,8,T6,Nutrients,NA,NA,NA,D,D
Of_20-46_T7,2017-11-29,Of,Of_20-46,N,R1,0.493,Of_20,14,T7,Nutrients,NA,NA,NA,D,D
Of_20-46_T8,2017-12-06,Of,Of_20-46,N,R1,0.435,Of_20,21,T8,Nutrients,NA,NA,NA,D,D
Of_20-46_T9,2017-12-13,Of,Of_20-46,N,R1,0.488,Of_20,28,T9,Nutrients,0.034256475909623,-1.46525731655222,0.999529816317416,D,D
Of_20-46_T10,2018-01-03,Of,Of_20-46,N,R1,0.483,Of_20,49,T10,Nutrients,NA,NA,NA,D,D
Of_20-46_T11,2018-01-19,Of,Of_20-46,N,R1,0.392,Of_20,65,T11,Nutrients,NA,NA,NA,D,D
Of_20-46_T12,2018-01-25,Of,Of_20-46,N,R1,0.417,Of_20,71,T12,Nutrients,0.054741143787638,-1.26168613247449,0.984492120200626,D,D
Of_20-46_T13,2018-01-30,Of,Of_20-46,N,R1,0.415,Of_20,76,T13,Nutrients,NA,NA,NA,D,D
Of_20-46_T15,2018-02-07,Of,Of_20-46,N,R1,0.423,Of_20,84,T15,Ramping,NA,NA,NA,D,D
Of_20-46_T16,2018-02-12,Of,Of_20-46,N,R1,0.403,Of_20,89,T16,Ramping,NA,NA,NA,D,D
Of_20-46_T17,2018-02-15,Of,Of_20-46,N,R1,0.455,Of_20,92,T17,Heat,NA,NA,NA,D,D
Of_20-46_T18,2018-02-19,Of,Of_20-46,N,R1,0.403,Of_20,96,T18,Heat,NA,NA,NA,D,D
Of_20-46_T19,2018-02-22,Of,Of_20-46,N,R1,0.386,Of_20,99,T19,Heat,0.03351829888526,-1.47471803071872,1,D,D
Of_20-46_T20,2018-02-26,Of,Of_20-46,N,R1,0.405,Of_20,103,T20,Heat,NA,NA,NA,D,D
Of_20-46_T21,2018-03-01,Of,Of_20-46,N,R1,0.337,Of_20,106,T21,Heat,NA,NA,NA,D,D
Of_20-46_T22,2018-03-05,Of,Of_20-46,N,R1,0.352,Of_20,110,T22,Heat,0.031198531618402,-1.50586584588644,1,D,D
Of_20-46_T23,2018-03-08,Of,Of_20-46,N,R1,0.381,Of_20,113,T23,Heat,NA,NA,NA,D,D
Of_20-46_T24,2018-03-27,Of,Of_20-46,N,R1,0.536,Of_20,132,T24,Recovery,NA,NA,NA,D,D
Of_20-46_T25,2018-04-20,Of,Of_20-46,N,R1,0.438,Of_20,156,T25,Recovery,NA,NA,NA,D,D
Of_20-50_T5,2017-11-16,Of,Of_20-50,N+P,R2,0.503,Of_20,1,T5,Baseline,0.360998082370462,-0.442495105069796,1,D,D
Of_20-50_T6,2017-11-23,Of,Of_20-50,N+P,R2,0.462,Of_20,8,T6,Nutrients,NA,NA,NA,D,D
Of_20-50_T7,2017-11-29,Of,Of_20-50,N+P,R2,0.535,Of_20,14,T7,Nutrients,NA,NA,NA,D,D
Of_20-50_T8,2017-12-06,Of,Of_20-50,N+P,R2,0.482,Of_20,21,T8,Nutrients,NA,NA,NA,D,D
Of_20-50_T9,2017-12-13,Of,Of_20-50,N+P,R2,0.513,Of_20,28,T9,Nutrients,0.036383916988969,-1.43909054784751,1,D,D
Of_20-50_T10,2018-01-03,Of,Of_20-50,N+P,R2,0.475,Of_20,49,T10,Nutrients,NA,NA,NA,D,D
Of_20-50_T11,2018-01-19,Of,Of_20-50,N+P,R2,0.519,Of_20,65,T11,Nutrients,NA,NA,NA,D,D
Of_20-50_T12,2018-01-25,Of,Of_20-50,N+P,R2,0.399,Of_20,71,T12,Nutrients,0.025224490101744,-1.59817760401027,1,D,D
Of_20-50_T13,2018-01-30,Of,Of_20-50,N+P,R2,0.453,Of_20,76,T13,Nutrients,NA,NA,NA,D,D
Of_20-50_T15,2018-02-07,Of,Of_20-50,N+P,R2,0.501,Of_20,84,T15,Ramping,NA,NA,NA,D,D
Of_20-50_T16,2018-02-12,Of,Of_20-50,N+P,R2,0.472,Of_20,89,T16,Ramping,NA,NA,NA,D,D
Of_20-50_T17,2018-02-15,Of,Of_20-50,N+P,R2,0.507,Of_20,92,T17,Heat,NA,NA,NA,D,D
Of_20-50_T18,2018-02-19,Of,Of_20-50,N+P,R2,0.452,Of_20,96,T18,Heat,NA,NA,NA,D,D
Of_20-50_T19,2018-02-22,Of,Of_20-50,N+P,R2,0.443,Of_20,99,T19,Heat,0.100425799112163,-0.998154703797217,0.997623616607154,D,D
Of_20-50_T20,2018-02-26,Of,Of_20-50,N+P,R2,0.398,Of_20,103,T20,Heat,NA,NA,NA,D,D
Of_20-50_T21,2018-03-01,Of,Of_20-50,N+P,R2,0.354,Of_20,106,T21,Heat,NA,NA,NA,D,D
Of_20-50_T22,2018-03-05,Of,Of_20-50,N+P,R2,0.363,Of_20,110,T22,Heat,0.019554831067997,-1.70874593151721,1,D,D
Of_20-50_T23,2018-03-08,Of,Of_20-50,N+P,R2,0.388,Of_20,113,T23,Heat,NA,NA,NA,D,D
Of_20-50_T24,2018-03-27,Of,Of_20-50,N+P,R2,0.391,Of_20,132,T24,Recovery,NA,NA,NA,D,D
Of_20-50_T25,2018-04-20,Of,Of_20-50,N+P,R2,0.416,Of_20,156,T25,Recovery,NA,NA,NA,D,D
Of_31-10_T5,2017-11-16,Of,Of_31-10,N,R2,0.505,Of_31,1,T5,Baseline,0.131505353895957,-0.881056565652258,0.54031770459128,D,D
Of_31-10_T6,2017-11-23,Of,Of_31-10,N,R2,0.532,Of_31,8,T6,Nutrients,NA,NA,NA,B,D
Of_31-10_T7,2017-11-29,Of,Of_31-10,N,R2,0.554,Of_31,14,T7,Nutrients,NA,NA,NA,B,D
Of_31-10_T8,2017-12-06,Of,Of_31-10,N,R2,0.507,Of_31,21,T8,Nutrients,NA,NA,NA,B,D
Of_31-10_T9,2017-12-13,Of,Of_31-10,N,R2,0.56,Of_31,28,T9,Nutrients,0.202951420801519,-0.692607903971728,0.284583968627346,B,D
Of_31-10_T10,2018-01-03,Of,Of_31-10,N,R2,0.492,Of_31,49,T10,Nutrients,NA,NA,NA,B,D
Of_31-10_T11,2018-01-19,Of,Of_31-10,N,R2,0.508,Of_31,65,T11,Nutrients,NA,NA,NA,B,D
Of_31-10_T12,2018-01-25,Of,Of_31-10,N,R2,0.531,Of_31,71,T12,Nutrients,0.050803521369678,-1.29410618420392,0.191041800595476,B,D
Of_31-10_T13,2018-01-30,Of,Of_31-10,N,R2,0.51,Of_31,76,T13,Nutrients,NA,NA,NA,B,D
Of_31-10_T15,2018-02-07,Of,Of_31-10,N,R2,0.537,Of_31,84,T15,Ramping,NA,NA,NA,B,D
Of_31-10_T16,2018-02-12,Of,Of_31-10,N,R2,0.484,Of_31,89,T16,Ramping,NA,NA,NA,B,D
Of_31-10_T17,2018-02-15,Of,Of_31-10,N,R2,0.483,Of_31,92,T17,Heat,NA,NA,NA,B,D
Of_31-10_T18,2018-02-19,Of,Of_31-10,N,R2,0.437,Of_31,96,T18,Heat,NA,NA,NA,B,D
Of_31-10_T19,2018-02-22,Of,Of_31-10,N,R2,0.388,Of_31,99,T19,Heat,0.004469325967243,-2.3497579692125,0.961068580673393,D,D
Of_31-10_T20,2018-02-26,Of,Of_31-10,N,R2,0.379,Of_31,103,T20,Heat,NA,NA,NA,D,D
Of_31-10_T21,2018-03-01,Of,Of_31-10,N,R2,0.37,Of_31,106,T21,Heat,NA,NA,NA,D,D
Of_31-11_T5,2017-11-16,Of,Of_31-11,N+P,R2,0.55,Of_31,1,T5,Baseline,0.034545325261591,-1.46161071386013,0,B,B
Of_31-11_T6,2017-11-23,Of,Of_31-11,N+P,R2,0.509,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-11_T7,2017-11-29,Of,Of_31-11,N+P,R2,0.566,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-11_T8,2017-12-06,Of,Of_31-11,N+P,R2,0.528,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-11_T9,2017-12-13,Of,Of_31-11,N+P,R2,0.569,Of_31,28,T9,Nutrients,0.031955467287031,-1.49545482735043,0,B,B
Of_31-11_T10,2018-01-03,Of,Of_31-11,N+P,R2,0.522,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-11_T11,2018-01-19,Of,Of_31-11,N+P,R2,0.586,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-11_T12,2018-01-25,Of,Of_31-11,N+P,R2,0.515,Of_31,71,T12,Nutrients,0.020697586077855,-1.684080302572,0,B,B
Of_31-11_T13,2018-01-30,Of,Of_31-11,N+P,R2,0.542,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-11_T15,2018-02-07,Of,Of_31-11,N+P,R2,0.524,Of_31,84,T15,Ramping,NA,NA,NA,B,B
Of_31-11_T16,2018-02-12,Of,Of_31-11,N+P,R2,0.517,Of_31,89,T16,Ramping,NA,NA,NA,B,B
Of_31-13_T5,2017-11-16,Of,Of_31-13,A,R2,0.504,Of_31,1,T5,Baseline,0.035891706777867,-1.44500588893383,0.022837418715453,B,B
Of_31-13_T6,2017-11-23,Of,Of_31-13,A,R2,0.544,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-13_T7,2017-11-29,Of,Of_31-13,A,R2,0.581,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-13_T8,2017-12-06,Of,Of_31-13,A,R2,0.549,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-13_T9,2017-12-13,Of,Of_31-13,A,R2,0.581,Of_31,28,T9,Nutrients,0.049553332933843,-1.30492712975394,0,B,B
Of_31-13_T10,2018-01-03,Of,Of_31-13,A,R2,0.492,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-13_T11,2018-01-19,Of,Of_31-13,A,R2,0.539,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-13_T12,2018-01-25,Of,Of_31-13,A,R2,0.502,Of_31,71,T12,Nutrients,0.028701592009669,-1.54209401330646,0,B,B
Of_31-13_T13,2018-01-30,Of,Of_31-13,A,R2,0.503,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-13_T15,2018-02-07,Of,Of_31-13,A,R2,0.491,Of_31,84,T15,Ramping,NA,NA,NA,B,B
Of_31-13_T16,2018-02-12,Of,Of_31-13,A,R2,0.503,Of_31,89,T16,Ramping,NA,NA,NA,B,B
Of_31-17_T5,2017-11-16,Of,Of_31-17,N+P,R1,0.558,Of_31,1,T5,Baseline,0.055991267790655,-1.25187969881593,0.029460507807434,B,B
Of_31-17_T6,2017-11-23,Of,Of_31-17,N+P,R1,0.53,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-17_T7,2017-11-29,Of,Of_31-17,N+P,R1,0.576,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-17_T8,2017-12-06,Of,Of_31-17,N+P,R1,0.519,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-17_T9,2017-12-13,Of,Of_31-17,N+P,R1,0.583,Of_31,28,T9,Nutrients,0.066256712271909,-1.17877011807061,0.064625516181773,B,B
Of_31-17_T10,2018-01-03,Of,Of_31-17,N+P,R1,0.54,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-17_T11,2018-01-19,Of,Of_31-17,N+P,R1,0.531,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-17_T12,2018-01-25,Of,Of_31-17,N+P,R1,0.52,Of_31,71,T12,Nutrients,0.023197567369107,-1.63455755534901,0.074275743271458,B,B
Of_31-17_T13,2018-01-30,Of,Of_31-17,N+P,R1,0.527,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-17_T15,2018-02-07,Of,Of_31-17,N+P,R1,0.535,Of_31,84,T15,Ramping,NA,NA,NA,B,B
Of_31-17_T16,2018-02-12,Of,Of_31-17,N+P,R1,0.489,Of_31,89,T16,Ramping,NA,NA,NA,B,B
Of_31-17_T17,2018-02-15,Of,Of_31-17,N+P,R1,0.487,Of_31,92,T17,Heat,NA,NA,NA,B,B
Of_31-17_T18,2018-02-19,Of,Of_31-17,N+P,R1,0.47,Of_31,96,T18,Heat,NA,NA,NA,B,B
Of_31-2_T5,2017-11-16,Of,Of_31-2,N+P,R2,0.55,Of_31,1,T5,Baseline,0.036099511851545,-1.44249867071523,0.044357591244248,B,B
Of_31-2_T6,2017-11-23,Of,Of_31-2,N+P,R2,0.531,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-2_T7,2017-11-29,Of,Of_31-2,N+P,R2,0.571,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-2_T8,2017-12-06,Of,Of_31-2,N+P,R2,0.533,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-2_T9,2017-12-13,Of,Of_31-2,N+P,R2,0.579,Of_31,28,T9,Nutrients,0.016091179000304,-1.79341213398876,0.101903722945518,B,B
Of_31-2_T10,2018-01-03,Of,Of_31-2,N+P,R2,0.498,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-2_T11,2018-01-19,Of,Of_31-2,N+P,R2,0.614,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-2_T12,2018-01-25,Of,Of_31-2,N+P,R2,0.5,Of_31,71,T12,Nutrients,0.038960604733978,-1.40937431076181,0.034908033097119,B,B
Of_31-2_T13,2018-01-30,Of,Of_31-2,N+P,R2,0.534,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-24_T5,2017-11-16,Of,Of_31-24,A,R2,0.504,Of_31,1,T5,Baseline,0.167491685893663,-0.776006746000986,0.031963496595381,B,B
Of_31-24_T6,2017-11-23,Of,Of_31-24,A,R2,0.526,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-24_T7,2017-11-29,Of,Of_31-24,A,R2,0.582,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-24_T8,2017-12-06,Of,Of_31-24,A,R2,0.537,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-24_T9,2017-12-13,Of,Of_31-24,A,R2,0.575,Of_31,28,T9,Nutrients,0.038089772263684,-1.41919162395027,0.012333066620039,B,B
Of_31-24_T10,2018-01-03,Of,Of_31-24,A,R2,0.502,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-24_T11,2018-01-19,Of,Of_31-24,A,R2,0.568,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-24_T12,2018-01-25,Of,Of_31-24,A,R2,0.52,Of_31,71,T12,Nutrients,0.101039967929932,-0.995506800297695,0,B,B
Of_31-24_T13,2018-01-30,Of,Of_31-24,A,R2,0.527,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-25_T5,2017-11-16,Of,Of_31-25,N,R1,0.554,Of_31,1,T5,Baseline,0.262923888583963,-0.580169953228467,0.746959796209986,D,D
Of_31-25_T6,2017-11-23,Of,Of_31-25,N,R1,0.544,Of_31,8,T6,Nutrients,NA,NA,NA,D,D
Of_31-25_T7,2017-11-29,Of,Of_31-25,N,R1,0.535,Of_31,14,T7,Nutrients,NA,NA,NA,D,D
Of_31-25_T8,2017-12-06,Of,Of_31-25,N,R1,0.507,Of_31,21,T8,Nutrients,NA,NA,NA,D,D
Of_31-25_T9,2017-12-13,Of,Of_31-25,N,R1,0.533,Of_31,28,T9,Nutrients,0.126197575887803,-0.898948987315829,0.610164709042783,D,D
Of_31-25_T10,2018-01-03,Of,Of_31-25,N,R1,0.512,Of_31,49,T10,Nutrients,NA,NA,NA,D,D
Of_31-25_T11,2018-01-19,Of,Of_31-25,N,R1,0.474,Of_31,65,T11,Nutrients,NA,NA,NA,D,D
Of_31-25_T12,2018-01-25,Of,Of_31-25,N,R1,0.489,Of_31,71,T12,Nutrients,0.407268604525815,-0.390119067465497,0.568900653935208,D,D
Of_31-25_T13,2018-01-30,Of,Of_31-25,N,R1,0.484,Of_31,76,T13,Nutrients,NA,NA,NA,D,D
Of_31-25_T15,2018-02-07,Of,Of_31-25,N,R1,0.482,Of_31,84,T15,Ramping,NA,NA,NA,D,D
Of_31-25_T16,2018-02-12,Of,Of_31-25,N,R1,0.414,Of_31,89,T16,Ramping,NA,NA,NA,D,D
Of_31-3_T5,2017-11-16,Of,Of_31-3,N,R2,0.505,Of_31,1,T5,Baseline,0.105917585401447,-0.975031928383796,0,B,B
Of_31-3_T6,2017-11-23,Of,Of_31-3,N,R2,0.516,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-3_T7,2017-11-29,Of,Of_31-3,N,R2,0.578,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-3_T8,2017-12-06,Of,Of_31-3,N,R2,0.533,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-3_T9,2017-12-13,Of,Of_31-3,N,R2,0.581,Of_31,28,T9,Nutrients,0.10732654593509,-0.9692928472115,0.014814652689548,B,B
Of_31-3_T10,2018-01-03,Of,Of_31-3,N,R2,0.526,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-3_T11,2018-01-19,Of,Of_31-3,N,R2,0.55,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-3_T12,2018-01-25,Of,Of_31-3,N,R2,0.534,Of_31,71,T12,Nutrients,0.108499923895387,-0.964570566440566,0,B,B
Of_31-3_T13,2018-01-30,Of,Of_31-3,N,R2,0.545,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-3_T15,2018-02-07,Of,Of_31-3,N,R2,0.531,Of_31,84,T15,Ramping,NA,NA,NA,B,B
Of_31-30_T5,2017-11-16,Of,Of_31-30,N,R1,0.564,Of_31,1,T5,Baseline,0.083523987559801,-1.07818877998024,0.293424643201945,B,B
Of_31-30_T6,2017-11-23,Of,Of_31-30,N,R1,0.552,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-30_T7,2017-11-29,Of,Of_31-30,N,R1,0.552,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-30_T8,2017-12-06,Of,Of_31-30,N,R1,0.527,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-30_T9,2017-12-13,Of,Of_31-30,N,R1,0.56,Of_31,28,T9,Nutrients,0.041142289096721,-1.38571154846002,0.279018045351183,B,B
Of_31-30_T10,2018-01-03,Of,Of_31-30,N,R1,0.544,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-30_T11,2018-01-19,Of,Of_31-30,N,R1,0.521,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-30_T12,2018-01-25,Of,Of_31-30,N,R1,0.512,Of_31,71,T12,Nutrients,0.092397075448693,-1.03434177484694,0.066708400426415,B,B
Of_31-30_T13,2018-01-30,Of,Of_31-30,N,R1,0.529,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-34_T5,2017-11-16,Of,Of_31-34,A,R1,0.576,Of_31,1,T5,Baseline,0.071347174881051,-1.14662321887535,0.094999597705178,B,B
Of_31-34_T6,2017-11-23,Of,Of_31-34,A,R1,0.541,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-34_T7,2017-11-29,Of,Of_31-34,A,R1,0.616,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-34_T8,2017-12-06,Of,Of_31-34,A,R1,0.575,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-34_T9,2017-12-13,Of,Of_31-34,A,R1,0.579,Of_31,28,T9,Nutrients,0.053715169400675,-1.26990305030266,0.064221790065698,B,B
Of_31-34_T10,2018-01-03,Of,Of_31-34,A,R1,0.504,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-34_T11,2018-01-19,Of,Of_31-34,A,R1,0.524,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-34_T12,2018-01-25,Of,Of_31-34,A,R1,0.534,Of_31,71,T12,Nutrients,0.106443613579608,-0.972880390311507,0.02058304303131,B,B
Of_31-34_T13,2018-01-30,Of,Of_31-34,A,R1,0.523,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-39_T5,2017-11-16,Of,Of_31-39,N+P,R1,0.504,Of_31,1,T5,Baseline,0.042847355669616,-1.36807597545679,0,B,B
Of_31-39_T6,2017-11-23,Of,Of_31-39,N+P,R1,0.534,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-39_T7,2017-11-29,Of,Of_31-39,N+P,R1,0.584,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-39_T8,2017-12-06,Of,Of_31-39,N+P,R1,0.519,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-39_T9,2017-12-13,Of,Of_31-39,N+P,R1,0.576,Of_31,28,T9,Nutrients,0.047040118265386,-1.32753159505395,0,B,B
Of_31-39_T10,2018-01-03,Of,Of_31-39,N+P,R1,0.541,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-39_T11,2018-01-19,Of,Of_31-39,N+P,R1,0.539,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
Of_31-39_T12,2018-01-25,Of,Of_31-39,N+P,R1,0.528,Of_31,71,T12,Nutrients,0.088013166006615,-1.05545235630069,0,B,B
Of_31-39_T13,2018-01-30,Of,Of_31-39,N+P,R1,0.53,Of_31,76,T13,Nutrients,NA,NA,NA,B,B
Of_31-39_T15,2018-02-07,Of,Of_31-39,N+P,R1,0.542,Of_31,84,T15,Ramping,NA,NA,NA,B,B
Of_31-39_T16,2018-02-12,Of,Of_31-39,N+P,R1,0.498,Of_31,89,T16,Ramping,NA,NA,NA,B,B
Of_31-39_T17,2018-02-15,Of,Of_31-39,N+P,R1,0.471,Of_31,92,T17,Heat,NA,NA,NA,B,B
Of_31-39_T18,2018-02-19,Of,Of_31-39,N+P,R1,0.444,Of_31,96,T18,Heat,NA,NA,NA,B,B
Of_31-40_T5,2017-11-16,Of,Of_31-40,N+P,R1,0.539,Of_31,1,T5,Baseline,0.033943002231816,-1.46924974731454,0,B,B
Of_31-40_T6,2017-11-23,Of,Of_31-40,N+P,R1,0.513,Of_31,8,T6,Nutrients,NA,NA,NA,B,B
Of_31-40_T7,2017-11-29,Of,Of_31-40,N+P,R1,0.565,Of_31,14,T7,Nutrients,NA,NA,NA,B,B
Of_31-40_T8,2017-12-06,Of,Of_31-40,N+P,R1,0.521,Of_31,21,T8,Nutrients,NA,NA,NA,B,B
Of_31-40_T9,2017-12-13,Of,Of_31-40,N+P,R1,0.579,Of_31,28,T9,Nutrients,0.046154365200045,-1.33578721787449,0.009996294062163,B,B
Of_31-40_T10,2018-01-03,Of,Of_31-40,N+P,R1,0.527,Of_31,49,T10,Nutrients,NA,NA,NA,B,B
Of_31-40_T11,2018-01-19,Of,Of_31-40,N+P,R1,0.53,Of_31,65,T11,Nutrients,NA,NA,NA,B,B
