Time,Date,Spp,Colony,Fragment,Treatment,Replicate,YII,Sample
8,12/6/17,O.fav,31,31-13,Control,R2,0.549,31-13_2017-12-06
8,12/6/17,O.fav,31,31-24,Control,R2,0.537,31-24_2017-12-06
8,12/6/17,O.fav,31,31-46,Control,R2,0.531,31-46_2017-12-06
8,12/6/17,O.fav,34,34-8,Control,R2,0.415,34-8_2017-12-06
8,12/6/17,O.fav,34,34-11,Control,R2,0.394,34-11_2017-12-06
8,12/6/17,O.fav,34,34-23,Control,R2,0.441,34-23_2017-12-06
8,12/6/17,O.fav,6,6-12,N,R2,0.504,6-12_2017-12-06
8,12/6/17,O.fav,6,6-19,N,R2,0.484,6-19_2017-12-06
8,12/6/17,O.fav,6,6-118,N,R2,0.518,6-118_2017-12-06
8,12/6/17,O.fav,20,20-29,N,R2,0.472,20-29_2017-12-06
8,12/6/17,O.fav,20,20-41,N,R2,0.468,20-41_2017-12-06
8,12/6/17,O.fav,20,20-45,N,R2,0.497,20-45_2017-12-06
8,12/6/17,O.fav,31,31-3,N,R2,0.533,31-3_2017-12-06
8,12/6/17,O.fav,31,31-8,N,R2,0.538,31-8_2017-12-06
8,12/6/17,O.fav,31,31-10,N,R2,0.507,31-10_2017-12-06
8,12/6/17,O.fav,34,34-10,N,R2,0.444,34-10_2017-12-06
8,12/6/17,O.fav,34,34-24,N,R2,0.47,34-24_2017-12-06
8,12/6/17,O.fav,34,34-25,N,R2,0.452,34-25_2017-12-06
8,12/6/17,O.fav,6,6-49,NP,R2,0.46,6-49_2017-12-06
8,12/6/17,O.fav,6,6-72,NP,R2,0.51,6-72_2017-12-06
8,12/6/17,O.fav,6,6-82,NP,R2,0.515,6-82_2017-12-06
8,12/6/17,O.fav,20,20-11,NP,R2,0.493,20-11_2017-12-06
8,12/6/17,O.fav,20,20-43,NP,R2,0.502,20-43_2017-12-06
8,12/6/17,O.fav,20,20-50,NP,R2,0.482,20-50_2017-12-06
8,12/6/17,O.fav,31,31-2,NP,R2,0.533,31-2_2017-12-06
8,12/6/17,O.fav,31,31-11,NP,R2,0.528,31-11_2017-12-06
8,12/6/17,O.fav,31,31-49,NP,R2,0.537,31-49_2017-12-06
8,12/6/17,O.fav,34,34-7,NP,R2,0.479,34-7_2017-12-06
8,12/6/17,O.fav,34,34-21,NP,R2,0.454,34-21_2017-12-06
8,12/6/17,O.fav,34,34-32,NP,R2,0.471,34-32_2017-12-06
9,12/13/17,O.fav,6,6-6,Control,R1,0.482,6-6_2017-12-13
9,12/13/17,O.fav,6,6-83,Control,R1,0.457,6-83_2017-12-13
9,12/13/17,O.fav,6,6-112,Control,R1,0.47,6-112_2017-12-13
9,12/13/17,O.fav,20,20-14,Control,R1,0.479,20-14_2017-12-13
9,12/13/17,O.fav,20,20-19,Control,R1,0.464,20-19_2017-12-13
9,12/13/17,O.fav,20,20-30,Control,R1,0.461,20-30_2017-12-13
9,12/13/17,O.fav,31,31-34,Control,R1,0.579,31-34_2017-12-13
9,12/13/17,O.fav,31,31-41,Control,R1,0.564,31-41_2017-12-13
9,12/13/17,O.fav,31,31-45,Control,R1,0.569,31-45_2017-12-13
9,12/13/17,O.fav,34,34-20,Control,R1,0.476,34-20_2017-12-13
9,12/13/17,O.fav,34,34-36,Control,R1,0.463,34-36_2017-12-13
9,12/13/17,O.fav,34,34-49,Control,R1,0.464,34-49_2017-12-13
9,12/13/17,O.fav,6,6-9,N,R1,0.511,6-9_2017-12-13
9,12/13/17,O.fav,6,6-81,N,R1,0.545,6-81_2017-12-13
9,12/13/17,O.fav,6,6-96,N,R1,0.504,6-96_2017-12-13
9,12/13/17,O.fav,20,20-2,N,R1,0.523,20-2_2017-12-13
9,12/13/17,O.fav,20,20-28,N,R1,0.497,20-28_2017-12-13
9,12/13/17,O.fav,20,20-46,N,R1,0.488,20-46_2017-12-13
9,12/13/17,O.fav,31,31-25,N,R1,0.533,31-25_2017-12-13
9,12/13/17,O.fav,31,31-30,N,R1,0.56,31-30_2017-12-13
9,12/13/17,O.fav,31,31-43,N,R1,0.583,31-43_2017-12-13
9,12/13/17,O.fav,34,34-5,N,R1,0.461,34-5_2017-12-13
9,12/13/17,O.fav,34,34-38,N,R1,0.502,34-38_2017-12-13
9,12/13/17,O.fav,34,34-44,N,R1,0.482,34-44_2017-12-13
9,12/13/17,O.fav,6,6-61,NP,R1,0.547,6-61_2017-12-13
9,12/13/17,O.fav,6,6-86,NP,R1,0.55,6-86_2017-12-13
9,12/13/17,O.fav,6,6-115,NP,R1,0.544,6-115_2017-12-13
9,12/13/17,O.fav,20,20-17,NP,R1,0.523,20-17_2017-12-13
9,12/13/17,O.fav,20,20-34,NP,R1,0.535,20-34_2017-12-13
9,12/13/17,O.fav,20,20-40,NP,R1,0.549,20-40_2017-12-13
9,12/13/17,O.fav,31,31-17,NP,R1,0.583,31-17_2017-12-13
