Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_156,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_251,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_252,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_253,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_254,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_255,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_256,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_257,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_258,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_259,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_260,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_31,-97,17,17,0,NA,NA
Ac_185,BaseLine,NA,7/31/2017,T0.1,Baseline,Acer_48,-106,8,8,0,NA,NA
Ac_279,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_48,-106,8,8,0,NA,NA
Ac_111,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_112,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_113,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_114,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_115,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_201,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_202,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_203,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_205,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_207,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_208,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_209,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_210,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_211,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_212,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_213,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_214,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_215,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_50,-97,17,17,0,NA,NA
Ac_127,BaseLine,NA,8/12/2017,T0.1,Baseline,Acer_62,-97,17,17,0,NA,NA
Ac_200,BaseLine,NA,7/31/2017,T0.1,Baseline,Acer_62,-106,8,8,0,NA,NA
Ac_162,Control,R1,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_169,Control,R1,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_261,Control,R1,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_267,Control,R1,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_273,Control,R1,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_166,Control,R2,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_173,Control,R2,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_264,Control,R2,3/8/2018,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_270,Control,R2,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_143,Control,R1,3/8/2018,T23,Heat,Ac_08,113,227,227,0,113,0
Ac_231,Control,R2,3/8/2018,T23,Heat,Ac_08,113,227,227,0,113,0
Ac_149,Control,R1,2/5/2018,T14,Nutrients,Ac_31,82,196,196,1,82,1
Ac_157,Control,R1,3/8/2018,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_248,Control,R1,3/8/2018,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_152,Control,R2,3/8/2018,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_160,Control,R2,3/8/2018,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_176,Control,R1,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_182,Control,R1,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_189,Control,R1,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_281,Control,R1,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_287,Control,R1,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_179,Control,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_186,Control,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_277,Control,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_284,Control,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_290,Control,R2,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_105,Control,R1,3/8/2018,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_204,Control,R1,3/8/2018,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_102,Control,R2,3/8/2018,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_108,Control,R2,3/8/2018,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_116,Control,R1,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_122,Control,R1,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_129,Control,R1,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_220,Control,R1,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_226,Control,R1,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_119,Control,R2,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_125,Control,R2,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_217,Control,R2,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_223,Control,R2,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_164,N,R1,2/12/2018,T16,Ramping,Ac_07,89,203,203,0,89,0
Ac_170,N,R1,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_262,N,R1,2/15/2018,T17,Heat,Ac_07,92,206,206,0,92,0
Ac_268,N,R1,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_274,N,R1,2/15/2018,T17,Heat,Ac_07,92,206,206,0,92,0
Ac_167,N,R2,1/25/2018,T12,Nutrients,Ac_07,71,185,185,0,71,0
Ac_174,N,R2,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_265,N,R2,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_271,N,R2,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_144,N,R1,2/15/2018,T17,Heat,Ac_08,92,206,206,0,92,0
Ac_232,N,R2,2/15/2018,T17,Heat,Ac_08,92,206,206,0,92,0
Ac_234,N,R2,2/5/2018,T14,Nutrients,Ac_08,82,196,196,1,82,1
Ac_150,N,R1,2/22/2018,T19,Heat,Ac_31,99,213,213,0,99,0
Ac_158,N,R1,2/5/2018,T14,Nutrients,Ac_31,82,196,196,1,82,1
Ac_249,N,R1,2/26/2018,T20,Heat,Ac_31,103,217,217,0,103,0
Ac_154,N,R2,2/22/2018,T19,Heat,Ac_31,99,213,213,0,99,0
Ac_246,N,R2,2/5/2018,T14,Nutrients,Ac_31,82,196,196,1,82,1
Ac_299,N,R2,2/26/2018,T20,Heat,Ac_31,103,217,217,0,103,0
Ac_177,N,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_183,N,R1,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_190,N,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_282,N,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_288,N,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_180,N,R2,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_187,N,R2,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_278,N,R2,3/1/2018,T21,Heat,Ac_48,106,220,220,0,106,0
Ac_285,N,R2,3/1/2018,T21,Heat,Ac_48,106,220,220,0,106,0
Ac_106,N,R1,2/15/2018,T17,Heat,Ac_50,92,206,206,0,92,0
Ac_206,N,R1,1/30/2018,T13,Nutrients,Ac_50,76,190,190,0,76,0
Ac_103,N,R2,1/25/2018,T12,Nutrients,Ac_50,71,185,185,0,71,0
Ac_109,N,R2,1/25/2018,T12,Nutrients,Ac_50,71,185,185,0,71,0
Ac_117,N,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_123,N,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_130,N,R1,3/1/2018,T21,Heat,Ac_62,106,220,220,0,106,0
Ac_221,N,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_227,N,R1,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_120,N,R2,2/26/2018,T20,Heat,Ac_62,103,217,217,0,103,0
Ac_126,N,R2,3/1/2018,T21,Heat,Ac_62,106,220,220,0,106,0
Ac_218,N,R2,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_224,N,R2,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_230,N,R2,3/1/2018,T21,Heat,Ac_62,106,220,220,0,106,0
Ac_165,N+P,R1,2/22/2018,T19,Heat,Ac_07,99,213,213,0,99,0
Ac_171,N+P,R1,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_263,N+P,R1,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_269,N+P,R1,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_168,N+P,R2,2/15/2018,T17,Heat,Ac_07,92,206,206,0,92,0
Ac_175,N+P,R2,2/15/2018,T17,Heat,Ac_07,92,206,206,0,92,0
Ac_266,N+P,R2,2/5/2018,T14,Nutrients,Ac_07,82,196,196,1,82,1
Ac_272,N+P,R2,2/19/2018,T18,Heat,Ac_07,96,210,210,0,96,0
Ac_145,N+P,R1,2/19/2018,T18,Heat,Ac_08,96,210,210,0,96,0
Ac_233,N+P,R2,2/22/2018,T19,Heat,Ac_08,99,213,213,0,99,0
Ac_235,N+P,R2,2/15/2018,T17,Heat,Ac_08,92,206,206,0,92,0
Ac_151,N+P,R1,2/19/2018,T18,Heat,Ac_31,96,210,210,0,96,0
Ac_159,N+P,R1,2/5/2018,T14,Nutrients,Ac_31,82,196,196,1,82,1
Ac_250,N+P,R1,3/1/2018,T21,Heat,Ac_31,106,220,220,0,106,0
Ac_155,N+P,R2,3/8/2018,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_247,N+P,R2,2/26/2018,T20,Heat,Ac_31,103,217,217,0,103,0
Ac_178,N+P,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_184,N+P,R1,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_276,N+P,R1,3/1/2018,T21,Heat,Ac_48,106,220,220,0,106,0
Ac_283,N+P,R1,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_289,N+P,R1,3/1/2018,T21,Heat,Ac_48,106,220,220,0,106,0
Ac_181,N+P,R2,2/5/2018,T14,Nutrients,Ac_48,82,196,196,1,82,1
Ac_188,N+P,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_280,N+P,R2,3/5/2018,T22,Heat,Ac_48,110,224,224,0,110,0
Ac_286,N+P,R2,3/8/2018,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_101,N+P,R1,2/19/2018,T18,Heat,Ac_50,96,210,210,0,96,0
Ac_107,N+P,R1,2/19/2018,T18,Heat,Ac_50,96,210,210,0,96,0
Ac_300,N+P,R1,1/19/2018,T11,Nutrients,Ac_50,65,179,179,0,65,0
Ac_104,N+P,R2,2/19/2018,T18,Heat,Ac_50,96,210,210,0,96,0
Ac_110,N+P,R2,2/5/2018,T14,Nutrients,Ac_50,82,196,196,1,82,1
Ac_118,N+P,R1,3/1/2018,T21,Heat,Ac_62,106,220,220,0,106,0
Ac_124,N+P,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_216,N+P,R1,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_222,N+P,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_228,N+P,R1,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
Ac_121,N+P,R2,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_128,N+P,R2,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_219,N+P,R2,2/5/2018,T14,Nutrients,Ac_62,82,196,196,1,82,1
Ac_225,N+P,R2,3/8/2018,T23,Heat,Ac_62,113,227,227,0,113,0
Ac_229,N+P,R2,3/5/2018,T22,Heat,Ac_62,110,224,224,0,110,0
