Fragment,Colony,Treatment,Replicate
A.cer_217,Green and Orange,Control,R2
A.cer_218,Green and Orange,N,R2
A.cer_219,Green and Orange,NP,R2
A.cer_220,Green and Orange,Control,R1
A.cer_221,Green and Orange,N,R1
A.cer_222,Green and Orange,NP,R1
A.cer_223,Green and Orange,Control,R2
A.cer_224,Green and Orange,N,R2
A.cer_225,Green and Orange,NP,R2
A.cer_226,Green and Orange,Control,R1
A.cer_227,Green and Orange,N,R1
A.cer_228,Green and Orange,NP,R1
A.cer_229,Green and Orange,NP,R2
A.cer_230,Green and Orange,N,R2
A.cer_231,Yellow,Control,R2
A.cer_232,Yellow,N,R2
A.cer_233,Yellow,NP,R2
A.cer_234,Yellow,N,R2
A.cer_235,Yellow,NP,R2
A.cer_236,Yellow,BaseLine,NA
A.cer_237,Yellow,BaseLine,NA
A.cer_238,Yellow,BaseLine,NA
A.cer_239,Yellow,BaseLine,NA
A.cer_240,Yellow,BaseLine,NA
A.cer_241,Yellow,BaseLine,NA
A.cer_242,Yellow,BaseLine,NA
A.cer_243,Yellow,BaseLine,NA
A.cer_244,Yellow,BaseLine,NA
A.cer_245,Yellow,BaseLine,NA
A.cer_246,Orange,N,R2
A.cer_247,Orange,NP,R2
A.cer_248,Orange,Control,R1
A.cer_249,Orange,N,R1
A.cer_250,Orange,NP,R1
A.cer_251,Orange,BaseLine,NA
A.cer_252,Orange,BaseLine,NA
A.cer_253,Orange,BaseLine,NA
A.cer_254,Orange,BaseLine,NA
A.cer_255,Orange,BaseLine,NA
A.cer_256,Orange,BaseLine,NA
A.cer_257,Orange,BaseLine,NA
A.cer_258,Orange,BaseLine,NA
A.cer_259,Orange,BaseLine,NA
A.cer_260,Orange,BaseLine,NA
A.cer_261,Red and Orange,Control,R1
A.cer_262,Red and Orange,N,R1
A.cer_263,Red and Orange,NP,R1
A.cer_264,Red and Orange,Control,R2
A.cer_265,Red and Orange,N,R2
A.cer_266,Red and Orange,NP,R2
A.cer_267,Red and Orange,Control,R1
A.cer_268,Red and Orange,N,R1
A.cer_269,Red and Orange,NP,R1
A.cer_270,Red and Orange,Control,R2
A.cer_271,Red and Orange,N,R2
A.cer_272,Red and Orange,NP,R2
A.cer_273,Red and Orange,Control,R1
A.cer_274,Red and Orange,N,R1
A.cer_275,Red and Orange,BaseLine,NA
A.cer_276,Green,NP,R1
A.cer_277,Green,Control,R2
A.cer_278,Green,N,R2
A.cer_279,Green,BaseLine,NA
A.cer_280,Green,NP,R2
A.cer_281,Green,Control,R1
A.cer_282,Green,N,R1
A.cer_283,Green,NP,R1
A.cer_284,Green,Control,R2
A.cer_285,Green,N,R2
A.cer_286,Green,NP,R2
A.cer_287,Green,Control,R1
A.cer_288,Green,N,R1
A.cer_289,Green,NP,R1
A.cer_290,Green,Control,R2
A.cer_299,Orange,N,R2
A.cer_300,Red and Yellow,NP,R1
