Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,C.Ssid,D.Ssid,TotalSH,logC.SH,logD.SH,logSH,D.Prp,Community
N,R1,Ss_23-61,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-61_T5,0.000431201915452,0.017907713477159,0.01833891539261,-3.36531931862794,-1.74695986293078,-1.73662635312255,0.976487054647447,D
N,R1,Ss_23-66,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-66_T5,0,0.012314434594683,0.012314434594683,NA,-1.90958552357691,-1.90958552357691,1,D
N,R1,Ss_27-12,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-12_T5,7.98E-05,0.022163971972075,0.022243770453089,-4.09800537548328,-1.65435240770817,-1.65279159531925,0.996412547001298,D
N,R1,Ss_27-21,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-21_T5,0.000962900596658,0.006573721611433,0.007536622208091,-3.01641854418499,-2.18218869167189,-2.12282325427228,0.872237114973807,D
N,R1,Ss_27-45,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-45_T5,3.70E-05,0.007263287449674,0.007300247673216,-4.43226541074983,-2.13886676799103,-2.13666240545673,0.994937127451451,D
N,R1,Ss_27-5,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-5_T5,0.000247072421297,0.009279853707975,0.009526926129272,-3.60717572868586,-2.03245887015181,-2.02104720224058,0.974065882537129,D
N,R1,Ss_28-3,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-3_T5,0.001847252536489,0.023007250065974,0.024854502602463,-2.73347372843277,-1.63813528713506,-1.60459492370048,0.925677348445267,D
N,R1,Ss_28-6,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-6_T5,0.004615951963101,0.005262882966988,0.009878834930089,-2.3357387194079,-2.27877628747019,-2.00529427133028,0.532743284429017,D
N,R1,Ss_28-9,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-9_T5,0.009086440398836,0.175792139181812,0.184878579580648,-2.0416062177581,-0.755000548979485,-0.733113404194116,0.950851848713644,D
N,R1,Ss_24-10,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-10_T5,0.019555887673221,0.0016462650053,0.021202152678521,-1.70872246593881,-2.78350025352486,-1.6736200424231,0.077646125384613,C3
N,R1,Ss_24-14,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-14_T5,0.013020538326886,0.000335708026105,0.01335624635299,-1.88537105973382,-3.47403827551892,-1.87431557907877,0.025134908209417,C3
N,R1,Ss_24-3,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-3_T5,0.01737523692569,0.000174450494387,0.017549687420077,-1.76006926473392,-3.75832779543763,-1.75573061440868,0.009940376156642,C3
N,R1,Ss_24-7,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-7_T5,0.015519079994079,0.00056200308083,0.016081083074908,-1.80913402826714,-3.25026130367714,-1.79368470449206,0.034948086407596,C3
N,R1,Ss_30-13,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-13_T5,0.017479747970887,0,0.017479747970887,-1.75746483346603,NA,-1.75746483346603,0,C3
N,R1,Ss_30-2,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-2_T5,0.009708989042101,0,0.009708989042101,-2.01282598907189,NA,-2.01282598907189,0,C3
N,R1,Ss_30-5,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-5_T5,0.014962948483336,0,0.014962948483336,-1.82498281931443,NA,-1.82498281931443,0,C3
N,R1,Ss_30-9,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-9_T5,0.016166023476313,0,0.016166023476313,-1.7913967948542,NA,-1.7913967948542,0,C3
N,R1,Ss_20-15,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-15_T5,0.00631172231672,8.61E-05,0.006397815970639,-2.1998521160992,-4.06502885980385,-2.19396825629401,0.013456725594282,C1
