Sample,TotalSH,D.Prp,Community
Ss_30-3_T22,0.000117429958635,0,C3
Ss_30-7_T22,1.15E-05,0,C3
Ss_30-14_T22,0.000325841998864,0,C3
Ss_20-26_T22,0.00275110258993,0,C1
Ss_20-32_T22,0.000357267603101,0,C1
Ss_20-38_T22,0.002058349630153,0,C1
Ss_22-32_T22,0.016144156900052,0.974562902136697,D
Ss_22-25_T22,0.02349573968612,1,D
Ss_22-35_T22,0.009485597033714,0.988789140267347,D
Ss_23-68_T22,0.007652984987656,0.973279155024053,D
Ss_23-72_T22,0.006157437721119,0.969361431290302,D
Ss_23-56_T22,0.030900086317588,0.999251666834206,D
Ss_23-63_T22,0.019545392366213,1,D
Ss_23-67_T22,0.028213558400894,1,D
Ss_24-5_T22,0.001591386016464,0.405553310401765,C3
Ss_24-15_T22,0.001634920287539,0,C3
Ss_27-6_T22,0.017026067063694,1,D
Ss_27-18_T22,0.020516538026067,0.986635969816586,D
Ss_23-54_T9,1.08990457961675,1,D
Ss_23-57_T9,0.343133641244488,1,D
Ss_23-60_T9,0.738913105364291,1,D
Ss_23-65_T9,0.521627634663164,0.992935610917831,D
Ss_24-2_T9,0.452254761134415,0,C3
Ss_24-6_T9,0.303757251108767,0,C3
Ss_24-9_T9,0.409741312672918,0.013271597720041,C3
Ss_27-3_T9,0.142626632581659,1,D
Ss_27-9_T9,0.185226064446595,1,D
Ss_20-1_T9,0.127971419282643,0.056797715884505,C1
Ss_27-19_T9,0.463312962565355,0.991867861191764,D
Ss_27-28_T9,0.127272128050882,0.755684998413954,D
Ss_28-2_T9,0.088253955713936,0.896993920536104,D
Ss_20-4_T9,0.486938734460104,0,C1
Ss_20-13_T9,0.350510582512953,0,C1
Ss_20-19_T9,0.133749276918455,0,C1
Ss_22-2_T9,0.249172442989726,1,D
Ss_22-8_T9,0.252719825980468,1,D
Ss_22-16_T9,0.693042623678218,1,D
Ss_22-21_T9,0.297522179759244,1,D
Ss_23-75_T22,0.001818200061531,1,D
Ss_30-15_T22,3.37E-06,0,C3
Ss_30-20_T22,0.000262487302375,0,C3
Ss_20-29_T22,0.001999203453901,0,C1
Ss_20-33_T22,9.87E-05,0,C1
Ss_20-46_T22,0.000186985438758,0,C1
Ss_22-27_T22,0.000890987122769,0.956718641707944,D
Ss_22-33_T22,0.001712169784486,1,D
Ss_22-41_T22,0.005770098819889,0.975620431508803,D
Ss_23-73_T22,0.009419855775398,0.981796007362417,D
Ss_24-16_T22,0.000310772701967,0.37977784795007,C3
Ss_23-80_T22,0.004397995597271,0.964472984838213,D
Ss_24-17_T22,2.14E-05,1,D
Ss_24-19_T22,0.000179960875944,1,D
Ss_27-73_T22,0.001784199420225,1,D
Ss_27-85_T22,0.001955973659775,0.994730442589681,D
Ss_28-11_T22,0.001083872905255,0.552793645580664,D
Ss_28-15_T22,0.000842124666619,0.437089313662782,C1
Ss_28-29_T22,0.000765844576654,0.094058872786148,C1
Ss_24-21_T22,0.000642158794504,0.917637865576838,D
Ss_30-21_T22,0.000868302583482,0,C3
Ss_30-27_T22,0.000241277638633,0,C3
Ss_20-30_T22,0.001744017244227,0,C1
Ss_20-41_T22,0.002866803305103,0,C1
Ss_22-34_T22,0.011311050242695,0.978833281687025,D
Ss_22-38_T22,0.010453644853976,1,D
Ss_23-74_T22,0.014529829131053,0.98487804384198,D
Ss_23-78_T22,0.017642019328683,1,D
Ss_24-24_T22,0.003548774044657,0.917535589182512,D
Ss_23-81_T22,0.025730743874488,1,D
Ss_24-18_T22,0.000517672061786,0.935335363385273,D
Ss_24-22_T22,0.001641167163618,0.940659094633075,D
Ss_27-67_T22,0.023104043151463,1,D
Ss_27-75_T22,0.022099717230482,1,D
Ss_27-86_T22,0.021953226535399,1,D
Ss_28-13_T22,0.018451362291567,0.946680738020847,D
Ss_28-18_T22,0.007894555800741,0.154031590314502,C1
Ss_28-21_T22,0.008928535304642,0.923538838333884,D
Ss_30-16_T22,0.000580598894381,0,C3
Ss_20-1_T5,0.005536509975364,0.042547031275833,C1
Ss_23-57_T5,0.341141130073255,1,D
Ss_23-60_T5,0.075252153790662,1,D
Ss_23-65_T5,0.041623603146895,1,D
Ss_24-2_T5,0.044904741932877,0.00037292922936,C3
Ss_24-9_T5,0.040472432868966,0.072548979119137,C3
Ss_24-12_T5,0.03025400111319,0.005563374577793,C3
Ss_27-3_T5,0.00832375807661,1,D
Ss_27-19_T5,0.013382993188527,1,D
Ss_20-4_T5,0.023190051742105,0,C1
Ss_27-28_T5,0.013189052410158,0.926301617593677,D
Ss_28-2_T5,0.033835085060009,0.962521910445291,D
Ss_28-5_T5,0.020114093818295,0.669196816510157,D
Ss_20-13_T5,0.004791443193919,0,C1
Ss_20-19_T5,0.012648553318184,0,C1
Ss_22-2_T5,0.033967737439938,1,D
Ss_22-8_T5,0.02808819138954,1,D
Ss_22-16_T5,0.026571363392388,1,D
Ss_22-21_T5,0.023931745702182,1,D
Ss_23-54_T5,1.02654443659913,1,D
Ss_28-8_T5,0.014908691282034,0.753486808266961,D
Ss_22-3_T5,0.02495116634047,1,D
Ss_22-11_T5,0.021369845632501,1,D
Ss_22-17_T5,0.01154446410159,1,D
Ss_22-24_T5,0.016000489534109,1,D
Ss_23-55_T5,0.016934183650356,1,D
Ss_23-58_T5,0.028190777063512,1,D
Ss_23-61_T5,0.01833891539261,0.976487054647447,D
Ss_23-66_T5,0.012314434594683,1,D
Ss_24-3_T5,0.017549687420077,0.009940376156642,C3
Ss_24-7_T5,0.016081083074908,0.034948086407596,C3
Ss_30-1_T5,0.017560052539484,0,C3
Ss_24-10_T5,0.021202152678521,0.077646125384613,C3
Ss_24-14_T5,0.01335624635299,0.025134908209417,C3
Ss_27-5_T5,0.009526926129272,0.974065882537129,D
Ss_30-4_T5,0.012498200740393,0,C3
Ss_30-8_T5,0.016011229740893,0,C3
Ss_30-12_T5,0.00924078141138,0,C3
Ss_20-2_T5,0.078507894938634,0,C1
Ss_20-8_T5,0.005489558784013,0,C1
