"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"150","228","N+P","R1",2017-11-16,2017-12-13,3.0385,3.0886,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_228_2","28_N+P","28_Nutrients"
"151","229","N+P","R2",2017-12-15,2018-01-16,1.2565,1.2803,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_229_3","62_N+P","62_Nutrients"
"152","227","N","R1",2017-12-15,2018-01-16,2.379,2.3892,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_227_3","62_N","62_Nutrients"
"153","217","A","R2",2018-01-29,2018-02-14,1.4889,1.3374,"G_62","Green and Orange","S",91,"91",5,"Ambient","Ac_217_5","0","0"
"154","224","N","R2",2017-12-15,2018-01-16,2.2532,2.2657,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_224_3","62_N","62_Nutrients"
"155","129","A","R1",2018-01-16,2018-01-29,3.6549,3.5805,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_129_4","0","0"
"156","116","A","R1",2017-12-15,2018-01-16,5.0677,5.1049,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_116_3","0","0"
"157","122","A","R1",2017-11-16,2017-12-13,3.1655,3.2299,"G_62","Green and Orange","S",28,"28",2,"Ambient","Ac_122_2","0","0"
"160","123","N","R1",2018-01-16,2018-01-29,2.6408,2.5848,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_123_4","75_N","75_Nutrients"
"161","128","N+P","R2",2018-02-14,2018-02-23,-0.9104,-0.7405,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_128_6","100_N+P","100_Nutrients"
"162","226","A","R1",2017-11-16,2017-12-13,3.2225,3.2871,"G_62","Green and Orange","S",28,"28",2,"Ambient","Ac_226_2","0","0"
"163","225","N+P","R2",2018-01-29,2018-02-14,1.6772,1.5694,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_225_5","91_N+P","91_Nutrients"
"165","124","N+P","R1",2018-01-29,2018-02-14,1.8947,1.7927,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_124_5","91_N+P","91_Nutrients"
"166","229","N+P","R2",2017-11-16,2017-12-13,1.9009,1.9574,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_229_2","28_N+P","28_Nutrients"
"167","122","A","R1",2018-01-16,2018-01-29,4.0144,3.9397,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_122_4","0","0"
"168","117","N","R1",2018-01-16,2018-01-29,2.0563,2.0007,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_117_4","75_N","75_Nutrients"
"169","228","N+P","R1",2017-12-15,2018-01-16,2.4959,2.5116,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_228_3","62_N+P","62_Nutrients"
"170","228","N+P","R1",2018-01-16,2018-01-29,1.852,1.8268,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_228_4","75_N+P","75_Nutrients"
"171","216","N+P","R1",2017-12-15,2018-01-16,2.3918,2.4074,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_216_3","62_N+P","62_Nutrients"
"173","222","N+P","R1",2018-02-14,2018-02-23,-0.9452,-0.6945,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_222_6","100_N+P","100_Nutrients"
"174","130","N","R1",2018-01-16,2018-01-29,1.5906,1.5354,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_130_4","75_N","75_Nutrients"
"175","128","N+P","R2",2018-01-29,2018-02-14,2.2077,2.0991,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_128_5","91_N+P","91_Nutrients"
"176","228","N+P","R1",2018-01-29,2018-02-14,1.4581,1.3568,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_228_5","91_N+P","91_Nutrients"
"177","118","N+P","R1",2017-11-16,2017-12-13,3.9596,4.0109,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_118_2","28_N+P","28_Nutrients"
"178","118","N+P","R1",2018-01-29,2018-02-14,1.7135,1.6118,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_118_5","91_N+P","91_Nutrients"
"179","223","A","R2",2017-12-15,2018-01-16,4.2022,4.2139,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_223_3","0","0"
"180","230","N","R2",2017-12-15,2018-01-16,2.0846,2.097,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_230_3","62_N","62_Nutrients"
"181","230","N","R2",2018-02-14,2018-02-23,-0.6667,-0.4178,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_230_6","100_N","100_Nutrients"
"182","220","A","R1",2017-12-15,2018-01-16,4.59,4.6267,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_220_3","0","0"
"184","220","A","R1",2017-11-16,2017-12-13,4.1577,4.2238,"G_62","Green and Orange","S",28,"28",2,"Ambient","Ac_220_2","0","0"
"185","225","N+P","R2",2017-11-16,2017-12-13,2.5694,2.6269,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_225_2","28_N+P","28_Nutrients"
"186","226","A","R1",2017-12-15,2018-01-16,4.1703,4.2066,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_226_3","0","0"
"187","126","N","R2",2018-02-14,2018-02-23,-0.7901,-0.5415,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_126_6","100_N","100_Nutrients"
"188","228","N+P","R1",2018-02-14,2018-02-23,-0.2832,-0.0309,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_228_6","100_N+P","100_Nutrients"
"189","222","N+P","R1",2017-12-15,2018-01-16,2.3815,2.3971,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_222_3","62_N+P","62_Nutrients"
"190","224","N","R2",2018-02-14,2018-02-23,-0.6403,-0.3913,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_224_6","100_N","100_Nutrients"
