Spp,Colony,Fragment,Treatment,Rep,Date,Chl_a,Sym/cm2,Sample,Previous sample
S.sid,20,20-8,N,R1,2018-03-08,1.1907541443,0.4558355709,Ss_20-8_T22,Ss_20-8_T22
S.sid,20,20-13,Control,R1,2018-03-08,0.83,0.6047069295,Ss_20-13_T22,Ss_20-13_T22
S.sid,20,20-17,NP,R1,2018-03-08,1.48,0.5534101096,Ss_20-17_T22,Ss_20-17_T22
S.sid,20,20-33,N,R2,2018-03-08,2.24,0.6225643024,Ss_20-33_T22,Ss_20-33_T22
S.sid,20,20-38,Control,R2,2018-03-08,1.23,0.3125687871,Ss_20-38_T22,Ss_20-38_T22
S.sid,20,20-41,NP,R2,2018-03-08,0.88,0.2701729107,Ss_20-41_T22,Ss_20-41_T22
S.sid,22,22-3,N,R1,2018-03-08,1.3,0.3985569692,Ss_22-3_T22,Ss_22-3_T22
S.sid,22,22-18,NP,R1,2018-03-08,1.31,0.4228187034,Ss_22-18_T22,Ss_22-18_T22
S.sid,22,22-21,Control,R1,2018-03-08,0.35,0.2009781875,Ss_22-21_T22,Ss_22-21_T22
S.sid,22,22-27,N,R2,2018-03-08,1.26,0.3718533382,Ss_22-27_T22,Ss_22-27_T22
S.sid,22,22-31,NP,R2,2018-03-08,0.94,0.3495970711,Ss_22-31_T22,Ss_22-31_T22
S.sid,22,22-32,Control,R2,2018-03-08,1.57,0.5241369143,Ss_22-32_T22,Ss_22-32_T22
S.sid,23,23-61,N,R1,2018-03-08,3.6,1.0654702128,Ss_23-61_T22,Ss_23-61_T22
S.sid,23,23-65,Control,R1,2018-03-08,2.1,0.5726515502,Ss_23-65_T22,Ss_23-65_T22
S.sid,23,23-67,NP,R1,2018-03-08,2.28,0.782844152,Ss_23-67_T22,Ss_23-67_T22
S.sid,23,23-72,Control,R2,2018-03-08,0.92,0.191217748,Ss_23-72_T22,Ss_23-72_T22
S.sid,23,23-76,N,R2,2018-03-08,3.56,0.8505794702,Ss_23-76_T22,Ss_23-76_T22
S.sid,23,23-81,NP,R2,2018-03-08,2.14,0.5772814601,Ss_23-81_T22,Ss_23-81_T22
S.sid,24,24-5,NP,R1,2018-03-08,0.87,0.2399700037,Ss_24-5_T22,Ss_24-5_T22
S.sid,24,24-6,Control,R1,2018-03-08,0.14,0.1677287375,Ss_24-6_T22,Ss_24-6_T22
S.sid,24,24-10,N,R1,2018-03-08,1.34,0.3750393123,Ss_24-10_T22,Ss_24-10_T22
S.sid,24,24-16,Control,R2,2018-03-08,0.46,0.1799794309,Ss_24-16_T22,Ss_24-16_T22
S.sid,24,24-24,N,R2,2018-03-08,0.64,0.252665608,Ss_24-24_T22,Ss_24-24_T22
S.sid,24,24-25,NP,R2,2018-03-08,1.7,0.2737226277,Ss_24-25_T22,Ss_24-25_T22
S.sid,27,27-5,N,R1,2018-03-08,2.48,0.8444964493,Ss_27-5_T22,Ss_27-5_T22
S.sid,27,27-6,NP,R1,2018-03-08,2.97,0.9355983773,Ss_27-6_T22,Ss_27-6_T22
S.sid,27,27-9,Control,R1,2018-03-08,2.21,0.4270845363,Ss_27-9_T22,Ss_27-9_T22
S.sid,27,27-73,Control,R2,2018-03-08,1.43,0.691404369,Ss_27-73_T22,Ss_27-73_T22
S.sid,27,27-75,N,R2,2018-03-08,3.08,1.4142413111,Ss_27-75_T22,Ss_27-75_T22
S.sid,27,27-87,NP,R2,2018-03-08,2.07,0.8784085829,Ss_27-87_T22,Ss_27-87_T22
S.sid,28,28-2,Control,R1,2018-03-08,1.99,0.7757236471,Ss_28-2_T22,Ss_28-2_T22
S.sid,28,28-3,N,R1,2018-03-08,2.55,0.2360938777,Ss_28-3_T22,Ss_28-3_T22
S.sid,28,28-10,NP,R1,2018-03-08,1.28,0.3295855379,Ss_28-10_T22,Ss_28-10_T22
S.sid,28,28-13,N,R2,2018-03-08,2.31,0.5258261857,Ss_28-13_T22,Ss_28-13_T22
S.sid,28,28-14,NP,R2,2018-03-08,0.87,0.166175191,Ss_28-14_T22,Ss_28-14_T22
S.sid,28,28-29,Control,R2,2018-03-08,0.98,0.1938010003,Ss_28-29_T22,Ss_28-29_T22
S.sid,30,30-3,NP,R1,2018-03-08,0.26,0.0912525957,Ss_30-3_T22,Ss_30-3_T22
S.sid,30,30-4,Control,R1,2018-03-08,0.38,0.0625522414,Ss_30-4_T22,Ss_30-4_T22
S.sid,30,30-13,N,R1,2018-03-08,0.26,0.1063514939,Ss_30-13_T22,Ss_30-13_T22
S.sid,30,30-15,Control,R2,2018-03-08,0.18,0.0876806046,Ss_30-15_T22,Ss_30-15_T22
S.sid,30,30-16,N,R2,2018-03-08,0.19,0.0917990702,Ss_30-16_T22,Ss_30-16_T22
S.sid,30,30-18,NP,R2,2018-03-08,0.3,0.0721974821,Ss_30-18_T22,Ss_30-18_T22
A.cer,Green,181,NP,R2,2018-02-05,7.71,8.0111715305,Ac_181_T14,Ac_181_T13
A.cer,Green,290,Control,R2,2018-02-05,3.13,4.5582217857,Ac_290_T14,Ac_290_T13
A.cer,Red and Orange,267,Control,R1,2018-02-05,3.74,4.2097978091,Ac_267_T14,Ac_267_T13
A.cer,Orange,159,NP,R1,2018-02-05,5.37,3.2377973456,Ac_159_T14,Ac_159_T13
A.cer,Red and Orange,266,NP,R2,2018-02-05,4.34,4.6972813065,Ac_266_T14,Ac_266_T13
A.cer,Orange,158,N,R1,2018-02-05,6.12,5.1947095871,Ac_158_T14,Ac_158_T13
A.cer,Orange,246,N,R2,2018-02-05,5.97,3.9171729166,Ac_246_T14,Ac_246_T13
A.cer,Green and Orange,121,NP,R2,2018-02-05,4.58,7.8853183854,Ac_121_T14,Ac_121_T13
A.cer,Red and Orange,269,NP,R1,2018-02-05,5.27,4.6259841604,Ac_269_T14,Ac_269_T13
A.cer,Green and Orange,216,NP,R1,2018-02-05,NA,4.5182756796,Ac_216_T14,Ac_216_T13
A.cer,Green,283,NP,R1,2018-02-05,3.7,4.1158007916,Ac_283_T14,Ac_283_T13
A.cer,Green and Orange,223,Control,R2,2018-02-05,3.28,4.8320634959,Ac_223_T14,Ac_223_T13
A.cer,Green and Orange,218,N,R2,2018-02-05,3.07,4.7375909875,Ac_218_T14,Ac_218_T13
A.cer,Green and Orange,129,Control,R1,2018-02-05,3.79,4.3694013499,Ac_129_T14,Ac_129_T13
A.cer,F,137,Control,R1,2018-02-05,2.87,2.818982244,Ac_137_T14,Ac_137_T13
A.cer,Green,189,Control,R1,2018-02-05,3.08,4.0906632557,Ac_189_T14,Ac_189_T13
A.cer,Orange,149,Control,R1,2018-02-05,4.12,3.1981313718,Ac_149_T14,Ac_149_T13
A.cer,Green,183,N,R1,2018-02-05,6.81,5.7894310923,Ac_183_T14,Ac_183_T13
A.cer,Green and Orange,227,N,R1,2018-02-05,6.09,5.4883695874,Ac_227_T14,Ac_227_T13
A.cer,Red and Orange,268,N,R1,2018-02-05,3.74,4.3991520531,Ac_268_T14,Ac_268_T13
A.cer,F,240,NP,R1,2018-02-05,12.58,1.9678905418,Ac_240_T14,Ac_240_T13
A.cer,F,241,Control,R2,2018-02-05,3.67,2.5338322225,Ac_241_T14,Ac_241_T13
A.cer,Red and Orange,270,Control,R2,2018-02-05,3.91,3.6856877783,Ac_270_T14,Ac_270_T13
A.cer,Green,180,N,R2,2018-02-05,3.81,4.4775308754,Ac_180_T14,Ac_180_T13
A.cer,Red and Orange,265,N,R2,2018-02-05,5.37,4.6254665779,Ac_265_T14,Ac_265_T13
A.cer,Yellow,234,N,R2,2018-02-05,3,5.0090381255,Ac_234_T14,Ac_234_T13
A.cer,Green and Orange,219,NP,R2,2018-02-05,3.82,6.2426702556,Ac_219_T14,Ac_219_T13
A.cer,Red and Yellow,110,NP,R2,2018-02-05,1.67,4.822379056,Ac_110_T14,Ac_110_T13
A.cer,Red and Orange,262,N,R1,2018-02-15,5.55,3.2570956158,Ac_262_T14,Ac_262_T13
A.cer,Green,281,Control,R1,2018-03-08,1.58,1.2922416505,Ac_281_T22,Ac_281_T22
A.cer,Green and Orange,220,Control,R1,2018-03-08,2.24,1.2605652236,Ac_220_T22,Ac_220_T22
A.cer,Orange,248,Control,R1,2018-03-08,1.02,0.6470608959,Ac_248_T22,Ac_248_T22
A.cer,Red and Orange,273,Control,R1,2018-03-08,0.92,0.7319849325,Ac_273_T22,Ac_273_T22
A.cer,Red and Yellow,105,Control,R1,2018-03-08,1.96,1.5796092191,Ac_105_T22,Ac_105_T22
A.cer,Green,186,Control,R2,2018-03-08,2.33,1.9070015626,Ac_186_T22,Ac_186_T22
A.cer,Green and Orange,125,Control,R2,2018-03-08,1.34,1.9552866039,Ac_125_T22,Ac_125_T22
A.cer,Orange,160,Control,R2,2018-03-08,0.93,0.5398237836,Ac_160_T22,Ac_160_T22
A.cer,Red and Orange,173,Control,R2,2018-03-08,0.47,0.2117623604,Ac_173_T22,Ac_173_T22
A.cer,Red and Yellow,102,Control,R2,2018-03-08,2.49,1.3641381737,Ac_102_T22,Ac_102_T22
A.cer,Green,188,NP,R2,2018-03-08,0.42,0.7802095592,Ac_188_T22,Ac_188_T22
