Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Of_31-30_T14,0.01484715187359,-1.82835684898755,1,D,Of_31-30_T14
Of_6-118_T14,0.006545711282163,-2.18404315444025,1,D,Of_6-118_T14
Of_6-86_T14,0.017108441447051,-1.76678955222253,1,D,Of_6-86_T14
Of_31-40_T14,0.001536958007049,-2.81333799818397,1,D,Of_31-40_T14
Of_6-82_T14,0.02985442283242,-1.52499132050022,0.990313881919678,D,Of_6-82_T14
Of_31-2_T14,0.008348027544622,-2.07841612663371,1,D,Of_31-2_T14
Of_34-20_T19,0.014161159183143,-1.84890119535828,1,D,Of_34-20_T19
Of_34-49_T19,0.028151211912196,-1.55050290399381,1,D,Of_34-49_T19
Of_20-19_T19,0.010087515746552,-1.99621577433823,1,D,Of_20-19_T19
Of_20-30_T19,0.016496935788422,-1.78259671601419,1,D,Of_20-30_T19
Of_6-112_T19,0.047654254743434,-1.32189831791961,1,D,Of_6-112_T19
Of_6-83_T19,0.018944514620132,-1.72251651736174,1,D,Of_6-83_T19
Of_31-41_T19,0.035979067815953,-1.44395009300915,0.022010683964476,B,Of_31-41_T19
Of_31-45_T19,0.066702274099773,-1.17585935930464,0,B,Of_31-45_T19
Of_34-23_T19,0.01173663318422,-1.93045646860967,1,D,Of_34-23_T19
Of_34-8_T19,0.088962119304393,-1.05079487963747,1,D,Of_34-8_T19
Of_20-3_T19,0.017786885953109,-1.74990007955864,1,D,Of_20-3_T19
Of_20-4_T19,0.023978623756809,-1.62017574667401,1,D,Of_20-4_T19
Of_6-116_T19,0.032227112432423,-1.49177860577669,1,D,Of_6-116_T19
Of_6-85_T19,0.043463890709248,-1.36187140001442,1,D,Of_6-85_T19
Of_31-46_T19,0.073313897284018,-1.13481369327587,0.010109430026564,B,Of_31-46_T19
Of_34-44_T19,0.067205379007054,-1.17259596534511,1,D,Of_34-44_T19
Of_20-2_T19,0.038116324846297,-1.41888898043451,1,D,Of_20-2_T19
Of_20-46_T19,0.03351829888526,-1.47471803071872,1,D,Of_20-46_T19
Of_6-9_T19,0.033922172219398,-1.46951634531,1,D,Of_6-9_T19
Of_6-96_T19,0.013462755661787,-1.87086603623256,1,D,Of_6-96_T19
