Spp,Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,A.Host,logA.SH,B.Host,C.Host,D.Host,TotalSH,logB.SH,logC.SH,logD.SH,logSH,D.Prp,Community
A.cer,N,R1,Ac_177,Green,2017-11-15,0,T5,Baseline,Ac_177_T5,0.346047663962707,-0.460864078171615,0,0,0,0.346047663962707,NA,NA,NA,-0.460864078171615,,A
A.cer,N,R1,Ac_183,Green,2017-11-15,0,T5,Baseline,Ac_183_T5,0.22688649938446,-0.644191345530978,0,0,0,0.22688649938446,NA,NA,NA,-0.644191345530978,,A
A.cer,N,R1,Ac_190,Green,2017-11-15,0,T5,Baseline,Ac_190_T5,0.126353950004027,-0.89841117686921,0,0,0,0.126353950004027,NA,NA,NA,-0.89841117686921,,A
A.cer,N,R1,Ac_206,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_206_T5,0.122898794596501,-0.910452376695769,0,0,0,0.122898794596501,NA,NA,NA,-0.910452376695769,,A
A.cer,N,R1,Ac_221,Green and Orange,2017-11-15,0,T5,Baseline,Ac_221_T5,0.355653106666228,-0.448973393342885,0,0,0,0.355653106666228,NA,NA,NA,-0.448973393342885,,A
A.cer,N,R1,Ac_227,Green and Orange,2017-11-15,0,T5,Baseline,Ac_227_T5,0.172963876880728,-0.762044588833426,0,0,0,0.172963876880728,NA,NA,NA,-0.762044588833426,,A
A.cer,N,R1,Ac_249,Orange,2017-11-15,0,T5,Baseline,Ac_249_T5,0.056879108801705,-1.24504721687628,0,0,0,0.056879108801705,NA,NA,NA,-1.24504721687628,,A
A.cer,N,R1,Ac_262,Red and Orange,2017-11-15,0,T5,Baseline,Ac_262_T5,0.301669902332044,-0.520468017313081,0,0,0,0.301669902332044,NA,NA,NA,-0.520468017313081,,A
A.cer,N,R1,Ac_268,Red and Orange,2017-11-15,0,T5,Baseline,Ac_268_T5,0.422212931379412,-0.37446846941605,0,0,0,0.422212931379412,NA,NA,NA,-0.37446846941605,,A
A.cer,N,R1,Ac_274,Red and Orange,2017-11-15,0,T5,Baseline,Ac_274_T5,0.105809617455687,-0.975474855759189,0,0,0,0.105809617455687,NA,NA,NA,-0.975474855759189,,A
A.cer,N,R1,Ac_282,Green,2017-11-15,0,T5,Baseline,Ac_282_T5,0.206475523099665,-0.685131424941279,0,0,0,0.206475523099665,NA,NA,NA,-0.685131424941279,,A
A.cer,N,R1,Ac_288,Green,2017-11-15,0,T5,Baseline,Ac_288_T5,0.193250314989944,-0.71387978952719,0,0,0,0.193250314989944,NA,NA,NA,-0.71387978952719,,A
A.cer,N,R2,Ac_103,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_103_T5,0.337051901819096,-0.472303218006844,0,0,0,0.337051901819096,NA,NA,NA,-0.472303218006844,,A
A.cer,N,R2,Ac_109,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_109_T5,0.112737756709208,-0.947930611155935,0,0,0,0.112737756709208,NA,NA,NA,-0.947930611155935,,A
A.cer,N,R2,Ac_120,Green and Orange,2017-11-15,0,T5,Baseline,Ac_120_T5,0.518365882064884,-0.285363590699512,0,0,0,0.518365882064884,NA,NA,NA,-0.285363590699512,,A
A.cer,N,R2,Ac_126,Green and Orange,2017-11-15,0,T5,Baseline,Ac_126_T5,0.244099741224086,-0.612432680988428,0,0,0,0.244099741224086,NA,NA,NA,-0.612432680988428,,A
A.cer,N,R2,Ac_167,Red and Orange,2017-11-15,0,T5,Baseline,Ac_167_T5,0.557499598365273,-0.253755441154795,0,0,0,0.557499598365273,NA,NA,NA,-0.253755441154795,,A
A.cer,N,R2,Ac_174,Red and Orange,2017-11-15,0,T5,Baseline,Ac_174_T5,0.644629747596269,-0.19068965706319,0,0,0,0.644629747596269,NA,NA,NA,-0.19068965706319,,A
A.cer,N,R2,Ac_180,Green,2017-11-15,0,T5,Baseline,Ac_180_T5,0.226179906128767,-0.645545980511466,0,0,0,0.226179906128767,NA,NA,NA,-0.645545980511466,,A
A.cer,N,R2,Ac_187,Green,2017-11-15,0,T5,Baseline,Ac_187_T5,0.563912282202302,-0.248788446226338,0,0,0,0.563912282202302,NA,NA,NA,-0.248788446226338,,A
A.cer,N,R2,Ac_218,Green and Orange,2017-11-15,0,T5,Baseline,Ac_218_T5,0.089998369262429,-1.04576535974673,0,0,0,0.089998369262429,NA,NA,NA,-1.04576535974673,,A
A.cer,N,R2,Ac_224,Green and Orange,2017-11-15,0,T5,Baseline,Ac_224_T5,0.263621998783286,-0.579018351469726,0,0,0,0.263621998783286,NA,NA,NA,-0.579018351469726,,A
A.cer,N,R2,Ac_232,Yellow,2017-11-15,0,T5,Baseline,Ac_232_T5,0.186796932729007,-0.728630259314723,0,0,0,0.186796932729007,NA,NA,NA,-0.728630259314723,,A
A.cer,N,R2,Ac_234,Yellow,2017-11-15,0,T5,Baseline,Ac_234_T5,0.11949669901789,-0.92264409152016,0,0,0,0.11949669901789,NA,NA,NA,-0.92264409152016,,A
A.cer,N,R2,Ac_246,Orange,2017-11-15,0,T5,Baseline,Ac_246_T5,0.270095717554961,-0.568482301621485,0,0,0,0.270095717554961,NA,NA,NA,-0.568482301621485,,A
A.cer,N,R2,Ac_265,Red and Orange,2017-11-15,0,T5,Baseline,Ac_265_T5,0.894741396124479,-0.048302469114127,0,0,0,0.894741396124479,NA,NA,NA,-0.048302469114127,,A
